bits,  st_st0,  st_st0_n,  st_st1,  st_st1_n,  st_st2,  st_st2_n,  st_st3,  st_st3_n,  st_st4,  st_st4_n,  st_st5,  st_st5_n,  st_st6,  st_st6_n,  st_st7,  st_st7_n,  st_st8,  st_st8_n,  st_st9,  st_st9_n, 
 13,  1229,  1581,  1675,  1191,  5267,  5262,  4253,  5657,  5765,  1985,  6024,  1708,  909,  5645,  1692,  717,  1745,  1734,  5832,  7305, 
 13, 0b0010011001101, 0b0011000101101, 0b0011010001011, 0b0010010100111, 0b1010010010011, 0b1010010001110, 0b1000010011101, 0b1011000011001, 0b1011010000101, 0b0011111000001, 0b1011110001000, 0b0011010101100, 0b0001110001101, 0b1011000001101, 0b0011010011100, 0b0001011001101, 0b0011011010001, 0b0011011000110, 0b1011011001000, 0b1110010001001, 
 12,  518,  37,  769,  3584,  1089,  2624,  3200,  641,  2051,  274,  145,  1057,  2057,  522,  2592,  49,  530,  2320,  386,  2688, 
 12, 0b001000000110, 0b000000100101, 0b001100000001, 0b111000000000, 0b010001000001, 0b101001000000, 0b110010000000, 0b001010000001, 0b100000000011, 0b000100010010, 0b000010010001, 0b010000100001, 0b100000001001, 0b001000001010, 0b101000100000, 0b000000110001, 0b001000010010, 0b100100010000, 0b000110000010, 0b101010000000, 
 11,  1141,  753,  371,  1587,  1890,  634,  1134,  1182,  1266,  249,  1649,  1842,  1396,  318,  1079,  1619,  215,  474,  500,  126, 
 11, 0b10001110101, 0b01011110001, 0b00101110011, 0b11000110011, 0b11101100010, 0b01001111010, 0b10001101110, 0b10010011110, 0b10011110010, 0b00011111001, 0b11001110001, 0b11100110010, 0b10101110100, 0b00100111110, 0b10000110111, 0b11001010011, 0b00011010111, 0b00111011010, 0b00111110100, 0b00001111110, 
 10,  816,  340,  534,  778,  326,  404,  135,  705,  773,  834,  708,  556,  610,  178,  898,  579,  275,  284,  294,  547, 
 10, 0b1100110000, 0b0101010100, 0b1000010110, 0b1100001010, 0b0101000110, 0b0110010100, 0b0010000111, 0b1011000001, 0b1100000101, 0b1101000010, 0b1011000100, 0b1000101100, 0b1001100010, 0b0010110010, 0b1110000010, 0b1001000011, 0b0100010011, 0b0100011100, 0b0100100110, 0b1000100011, 
 9,  108,  180,  197,  39,  356,  232,  60,  228,  113,  293,  480,  163,  172,  226,  216,  147,  169,  329,  29,  340, 
 9, 0b001101100, 0b010110100, 0b011000101, 0b000100111, 0b101100100, 0b011101000, 0b000111100, 0b011100100, 0b001110001, 0b100100101, 0b111100000, 0b010100011, 0b010101100, 0b011100010, 0b011011000, 0b010010011, 0b010101001, 0b101001001, 0b000011101, 0b101010100, 
 8,  149,  225,  45,  139,  204,  166,  210,  163,  184,  30,  51,  116,  71,  106,  54,  27,  113,  92,  228,  142, 
 8, 0b10010101, 0b11100001, 0b00101101, 0b10001011, 0b11001100, 0b10100110, 0b11010010, 0b10100011, 0b10111000, 0b00011110, 0b00110011, 0b01110100, 0b01000111, 0b01101010, 0b00110110, 0b00011011, 0b01110001, 0b01011100, 0b11100100, 0b10001110, 
