bits,  st_state_1,  st_state_10,  st_state_11,  st_state_12,  st_state_13,  st_state_14,  st_state_15,  st_state_2,  st_state_3,  st_state_4,  st_state_5,  st_state_6,  st_state_7,  st_state_8,  st_state_9, 
 12,  2449,  434,  3079,  2342,  2597,  2318,  3124,  2099,  2325,  3114,  2345,  2582,  62,  2330,  3352, 
 12, 0b100110010001, 0b000110110010, 0b110000000111, 0b100100100110, 0b101000100101, 0b100100001110, 0b110000110100, 0b100000110011, 0b100100010101, 0b110000101010, 0b100100101001, 0b101000010110, 0b000000111110, 0b100100011010, 0b110100011000, 
 11,  1104,  321,  448,  25,  38,  14,  521,  1029,  259,  1096,  1057,  1538,  296,  1664,  577, 
 11, 0b10001010000, 0b00101000001, 0b00111000000, 0b00000011001, 0b00000100110, 0b00000001110, 0b01000001001, 0b10000000101, 0b00100000011, 0b10001001000, 0b10000100001, 0b11000000010, 0b00100101000, 0b11010000000, 0b01001000001, 
 10,  186,  61,  838,  271,  167,  899,  87,  302,  908,  346,  205,  453,  203,  124,  488, 
 10, 0b0010111010, 0b0000111101, 0b1101000110, 0b0100001111, 0b0010100111, 0b1110000011, 0b0001010111, 0b0100101110, 0b1110001100, 0b0101011010, 0b0011001101, 0b0111000101, 0b0011001011, 0b0001111100, 0b0111101000, 
 9,  276,  266,  262,  290,  28,  193,  146,  7,  138,  273,  265,  388,  112,  26,  133, 
 9, 0b100010100, 0b100001010, 0b100000110, 0b100100010, 0b000011100, 0b011000001, 0b010010010, 0b000000111, 0b010001010, 0b100010001, 0b100001001, 0b110000100, 0b001110000, 0b000011010, 0b010000101, 
 8,  53,  209,  78,  83,  180,  177,  108,  92,  150,  201,  216,  141,  170,  228,  71, 
 8, 0b00110101, 0b11010001, 0b01001110, 0b01010011, 0b10110100, 0b10110001, 0b01101100, 0b01011100, 0b10010110, 0b11001001, 0b11011000, 0b10001101, 0b10101010, 0b11100100, 0b01000111, 
 7,  46,  116,  58,  75,  30,  27,  108,  83,  92,  29,  114,  53,  39,  105,  71, 
 7, 0b0101110, 0b1110100, 0b0111010, 0b1001011, 0b0011110, 0b0011011, 0b1101100, 0b1010011, 0b1011100, 0b0011101, 0b1110010, 0b0110101, 0b0100111, 0b1101001, 0b1000111, 
 6,  19,  37,  44,  26,  28,  41,  25,  56,  21,  35,  38,  50,  52,  13,  14, 
 6, 0b010011, 0b100101, 0b101100, 0b011010, 0b011100, 0b101001, 0b011001, 0b111000, 0b010101, 0b100011, 0b100110, 0b110010, 0b110100, 0b001101, 0b001110, 
