bits,  st_10,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st16,  st_st17,  st_st18,  st_st19,  st_st2,  st_st20,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 13,  4150,  4396,  2093,  3116,  2360,  7456,  1317,  3340,  6181,  6405,  6920,  6406,  2108,  4884,  4660,  6448,  2852,  309,  3632,  781,  2345, 
 13, 0b1000000110110, 0b1000100101100, 0b0100000101101, 0b0110000101100, 0b0100100111000, 0b1110100100000, 0b0010100100101, 0b0110100001100, 0b1100000100101, 0b1100100000101, 0b1101100001000, 0b1100100000110, 0b0100000111100, 0b1001100010100, 0b1001000110100, 0b1100100110000, 0b0101100100100, 0b0000100110101, 0b0111000110000, 0b0001100001101, 0b0100100101001, 
 12,  486,  2275,  1475,  1761,  3009,  3425,  2481,  2387,  3241,  2673,  1139,  3395,  2296,  2418,  489,  746,  3281,  497,  3552,  3459,  2501, 
 12, 0b000111100110, 0b100011100011, 0b010111000011, 0b011011100001, 0b101111000001, 0b110101100001, 0b100110110001, 0b100101010011, 0b110010101001, 0b101001110001, 0b010001110011, 0b110101000011, 0b100011111000, 0b100101110010, 0b000111101001, 0b001011101010, 0b110011010001, 0b000111110001, 0b110111100000, 0b110110000011, 0b100111000101, 
 11,  1480,  242,  721,  1504,  1226,  1208,  121,  155,  433,  1233,  369,  233,  339,  440,  618,  1618,  472,  203,  426,  602,  236, 
 11, 0b10111001000, 0b00011110010, 0b01011010001, 0b10111100000, 0b10011001010, 0b10010111000, 0b00001111001, 0b00010011011, 0b00110110001, 0b10011010001, 0b00101110001, 0b00011101001, 0b00101010011, 0b00110111000, 0b01001101010, 0b11001010010, 0b00111011000, 0b00011001011, 0b00110101010, 0b01001011010, 0b00011101100, 
 10,  356,  417,  195,  269,  904,  294,  674,  402,  43,  657,  900,  325,  390,  705,  139,  149,  771,  960,  526,  649,  394, 
 10, 0b0101100100, 0b0110100001, 0b0011000011, 0b0100001101, 0b1110001000, 0b0100100110, 0b1010100010, 0b0110010010, 0b0000101011, 0b1010010001, 0b1110000100, 0b0101000101, 0b0110000110, 0b1011000001, 0b0010001011, 0b0010010101, 0b1100000011, 0b1111000000, 0b1000001110, 0b1010001001, 0b0110001010, 
 9,  353,  204,  225,  60,  166,  89,  101,  139,  86,  449,  169,  240,  116,  85,  389,  480,  149,  71,  278,  210,  340, 
 9, 0b101100001, 0b011001100, 0b011100001, 0b000111100, 0b010100110, 0b001011001, 0b001100101, 0b010001011, 0b001010110, 0b111000001, 0b010101001, 0b011110000, 0b001110100, 0b001010101, 0b110000101, 0b111100000, 0b010010101, 0b001000111, 0b100010110, 0b011010010, 0b101010100, 
 8,  60,  147,  58,  156,  198,  166,  169,  99,  197,  201,  57,  85,  86,  225,  226,  216,  240,  89,  108,  54,  53, 
 8, 0b00111100, 0b10010011, 0b00111010, 0b10011100, 0b11000110, 0b10100110, 0b10101001, 0b01100011, 0b11000101, 0b11001001, 0b00111001, 0b01010101, 0b01010110, 0b11100001, 0b11100010, 0b11011000, 0b11110000, 0b01011001, 0b01101100, 0b00110110, 0b00110101, 
