bits,  st_10,  st_st1,  st_st10,  st_st10_n,  st_st11,  st_st11_n,  st_st12,  st_st12_n,  st_st13,  st_st13_n,  st_st14,  st_st14_n,  st_st15,  st_st15_n,  st_st16,  st_st16_n,  st_st17,  st_st17_n,  st_st18,  st_st18_n,  st_st19,  st_st19_n,  st_st1_n,  st_st2,  st_st20,  st_st2_n,  st_st3,  st_st4,  st_st5,  st_st5_n,  st_st6,  st_st6_n,  st_st7,  st_st7_n,  st_st8,  st_st9,  st_st9_n, 
 14,  4899,  723,  931,  1937,  882,  1859,  1938,  2835,  1762,  679,  1671,  1690,  3715,  3666,  1622,  5778,  1607,  791,  1175,  1265,  1363,  123,  5330,  4722,  1625,  119,  498,  4337,  1587,  1266,  4275,  5763,  5426,  3888,  8818,  2723,  694, 
 14, 0b01001100100011, 0b00001011010011, 0b00001110100011, 0b00011110010001, 0b00001101110010, 0b00011101000011, 0b00011110010010, 0b00101100010011, 0b00011011100010, 0b00001010100111, 0b00011010000111, 0b00011010011010, 0b00111010000011, 0b00111001010010, 0b00011001010110, 0b01011010010010, 0b00011001000111, 0b00001100010111, 0b00010010010111, 0b00010011110001, 0b00010101010011, 0b00000001111011, 0b01010011010010, 0b01001001110010, 0b00011001011001, 0b00000001110111, 0b00000111110010, 0b01000011110001, 0b00011000110011, 0b00010011110010, 0b01000010110011, 0b01011010000011, 0b01010100110010, 0b00111100110000, 0b10001001110010, 0b00101010100011, 0b00001010110110, 
 13,  6738,  2637,  4693,  4809,  6245,  4301,  111,  2247,  2281,  1133,  2913,  2165,  221,  1740,  365,  1229,  2772,  636,  4812,  1737,  461,  718,  2508,  2261,  1677,  1141,  2172,  2900,  741,  1607,  2676,  6753,  2605,  2284,  1644,  3173,  3777, 
 13, 0b1101001010010, 0b0101001001101, 0b1001001010101, 0b1001011001001, 0b1100001100101, 0b1000011001101, 0b0000001101111, 0b0100011000111, 0b0100011101001, 0b0010001101101, 0b0101101100001, 0b0100001110101, 0b0000011011101, 0b0011011001100, 0b0000101101101, 0b0010011001101, 0b0101011010100, 0b0001001111100, 0b1001011001100, 0b0011011001001, 0b0000111001101, 0b0001011001110, 0b0100111001100, 0b0100011010101, 0b0011010001101, 0b0010001110101, 0b0100001111100, 0b0101101010100, 0b0001011100101, 0b0011001000111, 0b0101001110100, 0b1101001100001, 0b0101000101101, 0b0100011101100, 0b0011001101100, 0b0110001100101, 0b0111011000001, 
 12,  2376,  58,  2086,  53,  2210,  232,  210,  177,  2160,  594,  338,  89,  2067,  523,  2122,  1106,  2089,  267,  305,  240,  169,  616,  2224,  3106,  2092,  2242,  658,  226,  99,  674,  2059,  2130,  736,  562,  147,  2338,  360, 
 12, 0b100101001000, 0b000000111010, 0b100000100110, 0b000000110101, 0b100010100010, 0b000011101000, 0b000011010010, 0b000010110001, 0b100001110000, 0b001001010010, 0b000101010010, 0b000001011001, 0b100000010011, 0b001000001011, 0b100001001010, 0b010001010010, 0b100000101001, 0b000100001011, 0b000100110001, 0b000011110000, 0b000010101001, 0b001001101000, 0b100010110000, 0b110000100010, 0b100000101100, 0b100011000010, 0b001010010010, 0b000011100010, 0b000001100011, 0b001010100010, 0b100000001011, 0b100001010010, 0b001011100000, 0b001000110010, 0b000010010011, 0b100100100010, 0b000101101000, 
 11,  338,  89,  1045,  1217,  538,  1052,  1035,  1601,  596,  1100,  579,  23,  71,  30,  78,  1093,  51,  368,  323,  282,  531,  848,  449,  330,  540,  1097,  139,  777,  1106,  586,  1304,  1345,  1666,  147,  58,  1608,  1553, 
 11, 0b00101010010, 0b00001011001, 0b10000010101, 0b10011000001, 0b01000011010, 0b10000011100, 0b10000001011, 0b11001000001, 0b01001010100, 0b10001001100, 0b01001000011, 0b00000010111, 0b00001000111, 0b00000011110, 0b00001001110, 0b10001000101, 0b00000110011, 0b00101110000, 0b00101000011, 0b00100011010, 0b01000010011, 0b01101010000, 0b00111000001, 0b00101001010, 0b01000011100, 0b10001001001, 0b00010001011, 0b01100001001, 0b10001010010, 0b01001001010, 0b10100011000, 0b10101000001, 0b11010000010, 0b00010010011, 0b00000111010, 0b11001001000, 0b11000010001, 
 10,  808,  708,  464,  86,  674,  480,  616,  804,  202,  71,  643,  449,  332,  526,  390,  658,  773,  356,  550,  650,  780,  78,  898,  534,  519,  282,  594,  326,  834,  593,  600,  788,  816,  720,  325,  904,  585, 
 10, 0b1100101000, 0b1011000100, 0b0111010000, 0b0001010110, 0b1010100010, 0b0111100000, 0b1001101000, 0b1100100100, 0b0011001010, 0b0001000111, 0b1010000011, 0b0111000001, 0b0101001100, 0b1000001110, 0b0110000110, 0b1010010010, 0b1100000101, 0b0101100100, 0b1000100110, 0b1010001010, 0b1100001100, 0b0001001110, 0b1110000010, 0b1000010110, 0b1000000111, 0b0100011010, 0b1001010010, 0b0101000110, 0b1101000010, 0b1001010001, 0b1001011000, 0b1100010100, 0b1100110000, 0b1011010000, 0b0101000101, 0b1110001000, 0b1001001001, 
 9,  180,  308,  150,  172,  58,  402,  166,  23,  424,  464,  156,  120,  389,  408,  281,  291,  480,  337,  114,  101,  212,  29,  57,  275,  332,  195,  417,  149,  177,  85,  418,  39,  232,  139,  353,  228,  45, 
 9, 0b010110100, 0b100110100, 0b010010110, 0b010101100, 0b000111010, 0b110010010, 0b010100110, 0b000010111, 0b110101000, 0b111010000, 0b010011100, 0b001111000, 0b110000101, 0b110011000, 0b100011001, 0b100100011, 0b111100000, 0b101010001, 0b001110010, 0b001100101, 0b011010100, 0b000011101, 0b000111001, 0b100010011, 0b101001100, 0b011000011, 0b110100001, 0b010010101, 0b010110001, 0b001010101, 0b110100010, 0b000100111, 0b011101000, 0b010001011, 0b101100001, 0b011100100, 0b000101101, 
