bits,  st_st0,  st_st0_n,  st_st1,  st_st10,  st_st10_n,  st_st11,  st_st11_n,  st_st1_n,  st_st2,  st_st2_n,  st_st3,  st_st3_n,  st_st4,  st_st4_n,  st_st5,  st_st5_n,  st_st6,  st_st6_n,  st_st7,  st_st7_n,  st_st8,  st_st8_n,  st_st9,  st_st9_n, 
 13,  7162,  7614,  5055,  7631,  4055,  6107,  7803,  1919,  6527,  7791,  5375,  2815,  6623,  3070,  3327,  7645,  7535,  4047,  7917,  4863,  7415,  5503,  6591,  3581, 
 13, 0b1101111111010, 0b1110110111110, 0b1001110111111, 0b1110111001111, 0b0111111010111, 0b1011111011011, 0b1111001111011, 0b0011101111111, 0b1100101111111, 0b1111001101111, 0b1010011111111, 0b0101011111111, 0b1100111011111, 0b0101111111110, 0b0110011111111, 0b1110111011101, 0b1110101101111, 0b0111111001111, 0b1111011101101, 0b1001011111111, 0b1110011110111, 0b1010101111111, 0b1100110111111, 0b0110111111101, 
 12,  586,  3144,  1545,  1290,  1112,  1548,  537,  1066,  650,  562,  1050,  1122,  1584,  54,  538,  2073,  657,  2321,  777,  417,  1297,  282,  1052,  3344, 
 12, 0b001001001010, 0b110001001000, 0b011000001001, 0b010100001010, 0b010001011000, 0b011000001100, 0b001000011001, 0b010000101010, 0b001010001010, 0b001000110010, 0b010000011010, 0b010001100010, 0b011000110000, 0b000000110110, 0b001000011010, 0b100000011001, 0b001010010001, 0b100100010001, 0b001100001001, 0b000110100001, 0b010100010001, 0b000100011010, 0b010000011100, 0b110100010000, 
 11,  344,  712,  209,  1043,  195,  267,  326,  1161,  897,  291,  177,  562,  60,  1328,  240,  456,  198,  225,  141,  1220,  404,  1668,  1200,  1560, 
 11, 0b00101011000, 0b01011001000, 0b00011010001, 0b10000010011, 0b00011000011, 0b00100001011, 0b00101000110, 0b10010001001, 0b01110000001, 0b00100100011, 0b00010110001, 0b01000110010, 0b00000111100, 0b10100110000, 0b00011110000, 0b00111001000, 0b00011000110, 0b00011100001, 0b00010001101, 0b10011000100, 0b00110010100, 0b11010000100, 0b10010110000, 0b11000011000, 
 10,  816,  960,  610,  89,  71,  338,  534,  83,  720,  368,  561,  804,  60,  51,  101,  593,  449,  226,  165,  113,  705,  553,  785,  325, 
 10, 0b1100110000, 0b1111000000, 0b1001100010, 0b0001011001, 0b0001000111, 0b0101010010, 0b1000010110, 0b0001010011, 0b1011010000, 0b0101110000, 0b1000110001, 0b1100100100, 0b0000111100, 0b0000110011, 0b0001100101, 0b1001010001, 0b0111000001, 0b0011100010, 0b0010100101, 0b0001110001, 0b1011000001, 0b1000101001, 0b1100010001, 0b0101000101, 
 9,  83,  92,  329,  209,  417,  178,  368,  326,  204,  195,  330,  269,  201,  198,  332,  323,  202,  15,  390,  180,  306,  43,  184,  226, 
 9, 0b001010011, 0b001011100, 0b101001001, 0b011010001, 0b110100001, 0b010110010, 0b101110000, 0b101000110, 0b011001100, 0b011000011, 0b101001010, 0b100001101, 0b011001001, 0b011000110, 0b101001100, 0b101000011, 0b011001010, 0b000001111, 0b110000110, 0b010110100, 0b100110010, 0b000101011, 0b010111000, 0b011100010, 
 8,  225,  184,  212,  209,  204,  120,  45,  153,  60,  178,  165,  23,  57,  108,  141,  53,  89,  43,  154,  86,  29,  51,  75,  198, 
 8, 0b11100001, 0b10111000, 0b11010100, 0b11010001, 0b11001100, 0b01111000, 0b00101101, 0b10011001, 0b00111100, 0b10110010, 0b10100101, 0b00010111, 0b00111001, 0b01101100, 0b10001101, 0b00110101, 0b01011001, 0b00101011, 0b10011010, 0b01010110, 0b00011101, 0b00110011, 0b01001011, 0b11000110, 
 7,  29,  39,  116,  51,  60,  101,  86,  89,  30,  77,  57,  114,  23,  102,  43,  71,  108,  58,  113,  92,  45,  78,  85,  105, 
 7, 0b0011101, 0b0100111, 0b1110100, 0b0110011, 0b0111100, 0b1100101, 0b1010110, 0b1011001, 0b0011110, 0b1001101, 0b0111001, 0b1110010, 0b0010111, 0b1100110, 0b0101011, 0b1000111, 0b1101100, 0b0111010, 0b1110001, 0b1011100, 0b0101101, 0b1001110, 0b1010101, 0b1101001, 
