bits,  st_IOwait,  st_IOwait_n,  st_RMACK,  st_RMACK_n,  st_START,  st_WMACK,  st_WMACK_n,  st_init0,  st_init0_n,  st_init1,  st_init1_n,  st_init2,  st_init4,  st_init4_n,  st_read0,  st_read1,  st_write0, 
 13,  6161,  7680,  6184,  58,  226,  2817,  2145,  4227,  4385,  6402,  2067,  4626,  83,  2136,  4632,  27,  3077, 
 13, 0b1100000010001, 0b1111000000000, 0b1100000101000, 0b0000000111010, 0b0000011100010, 0b0101100000001, 0b0100001100001, 0b1000010000011, 0b1000100100001, 0b1100100000010, 0b0100000010011, 0b1001000010010, 0b0000001010011, 0b0100001011000, 0b1001000011000, 0b0000000011011, 0b0110000000101, 
 12,  2062,  2146,  75,  114,  43,  58,  232,  2593,  2307,  2344,  354,  2818,  294,  534,  2067,  263,  2089, 
 12, 0b100000001110, 0b100001100010, 0b000001001011, 0b000001110010, 0b000000101011, 0b000000111010, 0b000011101000, 0b101000100001, 0b100100000011, 0b100100101000, 0b000101100010, 0b101100000010, 0b000100100110, 0b001000010110, 0b100000010011, 0b000100000111, 0b100000101001, 
 11,  381,  956,  827,  731,  1243,  1912,  1962,  1507,  875,  431,  719,  575,  883,  761,  1009,  1513,  1342, 
 11, 0b00101111101, 0b01110111100, 0b01100111011, 0b01011011011, 0b10011011011, 0b11101111000, 0b11110101010, 0b10111100011, 0b01101101011, 0b00110101111, 0b01011001111, 0b01000111111, 0b01101110011, 0b01011111001, 0b01111110001, 0b10111101001, 0b10100111110, 
 10,  466,  327,  213,  31,  47,  457,  779,  203,  460,  230,  566,  866,  227,  453,  598,  787,  707, 
 10, 0b0111010010, 0b0101000111, 0b0011010101, 0b0000011111, 0b0000101111, 0b0111001001, 0b1100001011, 0b0011001011, 0b0111001100, 0b0011100110, 0b1000110110, 0b1101100010, 0b0011100011, 0b0111000101, 0b1001010110, 0b1100010011, 0b1011000011, 
 9,  154,  177,  306,  394,  278,  114,  85,  58,  284,  89,  240,  195,  232,  396,  404,  387,  464, 
 9, 0b010011010, 0b010110001, 0b100110010, 0b110001010, 0b100010110, 0b001110010, 0b001010101, 0b000111010, 0b100011100, 0b001011001, 0b011110000, 0b011000011, 0b011101000, 0b110001100, 0b110010100, 0b110000011, 0b111010000, 
 8,  226,  139,  209,  163,  142,  150,  228,  77,  102,  90,  15,  204,  46,  120,  184,  43,  177, 
 8, 0b11100010, 0b10001011, 0b11010001, 0b10100011, 0b10001110, 0b10010110, 0b11100100, 0b01001101, 0b01100110, 0b01011010, 0b00001111, 0b11001100, 0b00101110, 0b01111000, 0b10111000, 0b00101011, 0b10110001, 
 7,  27,  114,  46,  29,  106,  53,  58,  51,  75,  85,  102,  60,  39,  113,  105,  78,  92, 
 7, 0b0011011, 0b1110010, 0b0101110, 0b0011101, 0b1101010, 0b0110101, 0b0111010, 0b0110011, 0b1001011, 0b1010101, 0b1100110, 0b0111100, 0b0100111, 0b1110001, 0b1101001, 0b1001110, 0b1011100, 
