bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st16,  st_st17,  st_st18,  st_st19,  st_st1_n,  st_st2,  st_st20,  st_st21,  st_st22,  st_st23,  st_st24,  st_st25,  st_st26,  st_st27,  st_st28,  st_st29,  st_st3,  st_st30,  st_st31,  st_st32,  st_st33,  st_st34,  st_st35,  st_st36,  st_st37,  st_st38,  st_st39,  st_st4,  st_st40,  st_st41,  st_st42,  st_st43,  st_st44,  st_st45,  st_st46,  st_st47,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 14,  151,  3220,  4153,  12848,  5656,  752,  1177,  2264,  241,  61,  9272,  8219,  220,  1178,  8497,  10321,  8777,  8849,  601,  79,  398,  4483,  62,  2220,  3248,  397,  2332,  10392,  12376,  12307,  8369,  944,  1202,  2280,  227,  3968,  1130,  314,  188,  122,  31,  2574,  115,  1171,  2721,  2616,  4280,  4150,  7216, 
 14, 0b00000010010111, 0b00110010010100, 0b01000000111001, 0b11001000110000, 0b01011000011000, 0b00001011110000, 0b00010010011001, 0b00100011011000, 0b00000011110001, 0b00000000111101, 0b10010000111000, 0b10000000011011, 0b00000011011100, 0b00010010011010, 0b10000100110001, 0b10100001010001, 0b10001001001001, 0b10001010010001, 0b00001001011001, 0b00000001001111, 0b00000110001110, 0b01000110000011, 0b00000000111110, 0b00100010101100, 0b00110010110000, 0b00000110001101, 0b00100100011100, 0b10100010011000, 0b11000001011000, 0b11000000010011, 0b10000010110001, 0b00001110110000, 0b00010010110010, 0b00100011101000, 0b00000011100011, 0b00111110000000, 0b00010001101010, 0b00000100111010, 0b00000010111100, 0b00000001111010, 0b00000000011111, 0b00101000001110, 0b00000001110011, 0b00010010010011, 0b00101010100001, 0b00101000111000, 0b01000010111000, 0b01000000110110, 0b01110000110000, 
 13,  4328,  6440,  824,  2356,  3376,  2597,  2330,  2348,  6920,  6466,  6220,  6412,  2108,  4141,  7178,  7216,  7304,  2106,  6282,  6217,  3097,  1564,  6277,  2093,  555,  4305,  4153,  7201,  5920,  4396,  5162,  1081,  4377,  2101,  301,  4363,  2257,  227,  3107,  1826,  5379,  4374,  2528,  2371,  4422,  87,  789,  2828,  1308, 
 13, 0b1000011101000, 0b1100100101000, 0b0001100111000, 0b0100100110100, 0b0110100110000, 0b0101000100101, 0b0100100011010, 0b0100100101100, 0b1101100001000, 0b1100101000010, 0b1100001001100, 0b1100100001100, 0b0100000111100, 0b1000000101101, 0b1110000001010, 0b1110000110000, 0b1110010001000, 0b0100000111010, 0b1100010001010, 0b1100001001001, 0b0110000011001, 0b0011000011100, 0b1100010000101, 0b0100000101101, 0b0001000101011, 0b1000011010001, 0b1000000111001, 0b1110000100001, 0b1011100100000, 0b1000100101100, 0b1010000101010, 0b0010000111001, 0b1000100011001, 0b0100000110101, 0b0000100101101, 0b1000100001011, 0b0100011010001, 0b0000011100011, 0b0110000100011, 0b0011100100010, 0b1010100000011, 0b1000100010110, 0b0100111100000, 0b0100101000011, 0b1000101000110, 0b0000001010111, 0b0001100010101, 0b0101100001100, 0b0010100011100, 
 12,  1289,  169,  1186,  228,  2720,  210,  2248,  225,  1409,  1304,  89,  780,  149,  408,  3592,  3078,  3840,  1074,  30,  344,  424,  178,  29,  792,  2704,  212,  688,  649,  771,  2824,  456,  240,  356,  2338,  163,  2625,  3108,  3330,  3232,  2848,  2632,  3152,  1224,  1345,  2376,  3112,  3204,  3082,  106, 
 12, 0b010100001001, 0b000010101001, 0b010010100010, 0b000011100100, 0b101010100000, 0b000011010010, 0b100011001000, 0b000011100001, 0b010110000001, 0b010100011000, 0b000001011001, 0b001100001100, 0b000010010101, 0b000110011000, 0b111000001000, 0b110000000110, 0b111100000000, 0b010000110010, 0b000000011110, 0b000101011000, 0b000110101000, 0b000010110010, 0b000000011101, 0b001100011000, 0b101010010000, 0b000011010100, 0b001010110000, 0b001010001001, 0b001100000011, 0b101100001000, 0b000111001000, 0b000011110000, 0b000101100100, 0b100100100010, 0b000010100011, 0b101001000001, 0b110000100100, 0b110100000010, 0b110010100000, 0b101100100000, 0b101001001000, 0b110001010000, 0b010011001000, 0b010101000001, 0b100101001000, 0b110000101000, 0b110010000100, 0b110000001010, 0b000001101010, 
 11,  23,  1073,  568,  1539,  45,  1560,  78,  156,  1157,  1796,  1545,  1554,  1050,  1556,  792,  1794,  282,  1304,  778,  30,  51,  368,  1298,  337,  624,  77,  277,  147,  450,  332,  408,  278,  519,  612,  705,  1076,  180,  305,  673,  209,  99,  594,  308,  212,  306,  688,  1808,  801,  562, 
 11, 0b00000010111, 0b10000110001, 0b01000111000, 0b11000000011, 0b00000101101, 0b11000011000, 0b00001001110, 0b00010011100, 0b10010000101, 0b11100000100, 0b11000001001, 0b11000010010, 0b10000011010, 0b11000010100, 0b01100011000, 0b11100000010, 0b00100011010, 0b10100011000, 0b01100001010, 0b00000011110, 0b00000110011, 0b00101110000, 0b10100010010, 0b00101010001, 0b01001110000, 0b00001001101, 0b00100010101, 0b00010010011, 0b00111000010, 0b00101001100, 0b00110011000, 0b00100010110, 0b01000000111, 0b01001100100, 0b01011000001, 0b10000110100, 0b00010110100, 0b00100110001, 0b01010100001, 0b00011010001, 0b00001100011, 0b01001010010, 0b00100110100, 0b00011010100, 0b00100110010, 0b01010110000, 0b11100010000, 0b01100100001, 0b01000110010, 
 10,  396,  777,  83,  210,  102,  786,  105,  354,  178,  116,  305,  39,  417,  298,  804,  263,  27,  43,  165,  390,  432,  169,  401,  284,  293,  778,  297,  139,  652,  202,  323,  706,  142,  149,  340,  29,  113,  92,  337,  387,  330,  353,  45,  389,  201,  281,  538,  610,  75, 
 10, 0b0110001100, 0b1100001001, 0b0001010011, 0b0011010010, 0b0001100110, 0b1100010010, 0b0001101001, 0b0101100010, 0b0010110010, 0b0001110100, 0b0100110001, 0b0000100111, 0b0110100001, 0b0100101010, 0b1100100100, 0b0100000111, 0b0000011011, 0b0000101011, 0b0010100101, 0b0110000110, 0b0110110000, 0b0010101001, 0b0110010001, 0b0100011100, 0b0100100101, 0b1100001010, 0b0100101001, 0b0010001011, 0b1010001100, 0b0011001010, 0b0101000011, 0b1011000010, 0b0010001110, 0b0010010101, 0b0101010100, 0b0000011101, 0b0001110001, 0b0001011100, 0b0101010001, 0b0110000011, 0b0101001010, 0b0101100001, 0b0000101101, 0b0110000101, 0b0011001001, 0b0100011001, 0b1000011010, 0b1001100010, 0b0001001011, 
 9,  249,  485,  335,  222,  119,  125,  219,  287,  215,  359,  350,  63,  473,  490,  231,  467,  349,  476,  437,  442,  429,  238,  413,  315,  380,  497,  252,  159,  430,  246,  235,  399,  435,  126,  371,  343,  189,  311,  486,  427,  183,  221,  175,  365,  498,  444,  187,  317,  469, 
