bits,  st_st0,  st_st0_n,  st_st1,  st_st10,  st_st10_n,  st_st11,  st_st11_n,  st_st12,  st_st12_n,  st_st13,  st_st13_n,  st_st14,  st_st14_n,  st_st15,  st_st16,  st_st16_n,  st_st17,  st_st17_n,  st_st18,  st_st19,  st_st2,  st_st20,  st_st21,  st_st21_n,  st_st22,  st_st22_n,  st_st23,  st_st23_n,  st_st24,  st_st25,  st_st26,  st_st27,  st_st27_n,  st_st28,  st_st28_n,  st_st29,  st_st29_n,  st_st2_n,  st_st3,  st_st3_n,  st_st4,  st_st5,  st_st6,  st_st6_n,  st_st7,  st_st7_n,  st_st8,  st_st9,  st_st9_n, 
 14,  3976,  5770,  14088,  1434,  1481,  3274,  5576,  7320,  3384,  11664,  16000,  10113,  16128,  10008,  15880,  10890,  3598,  11402,  3736,  14992,  11816,  11794,  11968,  3760,  3610,  7434,  3356,  5516,  9996,  5912,  9624,  5544,  1720,  3288,  5784,  7448,  13704,  7689,  3873,  7720,  3117,  15873,  7692,  11532,  15496,  11800,  13400,  7752,  1880, 
 14, 0b00111110001000, 0b01011010001010, 0b11011100001000, 0b00010110011010, 0b00010111001001, 0b00110011001010, 0b01010111001000, 0b01110010011000, 0b00110100111000, 0b10110110010000, 0b11111010000000, 0b10011110000001, 0b11111100000000, 0b10011100011000, 0b11111000001000, 0b10101010001010, 0b00111000001110, 0b10110010001010, 0b00111010011000, 0b11101010010000, 0b10111000101000, 0b10111000010010, 0b10111011000000, 0b00111010110000, 0b00111000011010, 0b01110100001010, 0b00110100011100, 0b01010110001100, 0b10011100001100, 0b01011100011000, 0b10010110011000, 0b01010110101000, 0b00011010111000, 0b00110011011000, 0b01011010011000, 0b01110100011000, 0b11010110001000, 0b01111000001001, 0b00111100100001, 0b01111000101000, 0b00110000101101, 0b11111000000001, 0b01111000001100, 0b10110100001100, 0b11110010001000, 0b10111000011000, 0b11010001011000, 0b01111001001000, 0b00011101011000, 
 13,  2690,  6528,  2310,  3232,  2600,  673,  6688,  3330,  2083,  2062,  2820,  2244,  660,  960,  771,  2577,  147,  226,  2434,  2115,  4230,  338,  610,  2880,  1218,  418,  1570,  3585,  561,  658,  3202,  3600,  2098,  6273,  1665,  688,  2193,  526,  139,  2241,  3208,  71,  2448,  2212,  4744,  1668,  2944,  4752,  2200, 
 13, 0b0101010000010, 0b1100110000000, 0b0100100000110, 0b0110010100000, 0b0101000101000, 0b0001010100001, 0b1101000100000, 0b0110100000010, 0b0100000100011, 0b0100000001110, 0b0101100000100, 0b0100011000100, 0b0001010010100, 0b0001111000000, 0b0001100000011, 0b0101000010001, 0b0000010010011, 0b0000011100010, 0b0100110000010, 0b0100001000011, 0b1000010000110, 0b0000101010010, 0b0001001100010, 0b0101101000000, 0b0010011000010, 0b0000110100010, 0b0011000100010, 0b0111000000001, 0b0001000110001, 0b0001010010010, 0b0110010000010, 0b0111000010000, 0b0100000110010, 0b1100010000001, 0b0011010000001, 0b0001010110000, 0b0100010010001, 0b0001000001110, 0b0000010001011, 0b0100011000001, 0b0110010001000, 0b0000001000111, 0b0100110010000, 0b0100010100100, 0b1001010001000, 0b0011010000100, 0b0101110000000, 0b1001010010000, 0b0100010011000, 
 12,  154,  2130,  3096,  2570,  78,  706,  904,  531,  43,  568,  2696,  2076,  3090,  538,  2122,  3208,  2256,  201,  3144,  2313,  57,  2124,  270,  456,  75,  2073,  600,  649,  202,  30,  554,  1035,  1560,  2185,  2434,  284,  912,  344,  306,  1410,  408,  1046,  537,  120,  267,  424,  2824,  2448,  2690, 
 12, 0b000010011010, 0b100001010010, 0b110000011000, 0b101000001010, 0b000001001110, 0b001011000010, 0b001110001000, 0b001000010011, 0b000000101011, 0b001000111000, 0b101010001000, 0b100000011100, 0b110000010010, 0b001000011010, 0b100001001010, 0b110010001000, 0b100011010000, 0b000011001001, 0b110001001000, 0b100100001001, 0b000000111001, 0b100001001100, 0b000100001110, 0b000111001000, 0b000001001011, 0b100000011001, 0b001001011000, 0b001010001001, 0b000011001010, 0b000000011110, 0b001000101010, 0b010000001011, 0b011000011000, 0b100010001001, 0b100110000010, 0b000100011100, 0b001110010000, 0b000101011000, 0b000100110010, 0b010110000010, 0b000110011000, 0b010000010110, 0b001000011001, 0b000001111000, 0b000100001011, 0b000110101000, 0b101100001000, 0b100110010000, 0b101010000010, 
 11,  216,  58,  540,  402,  1169,  281,  1050,  792,  330,  1608,  848,  1105,  147,  90,  368,  178,  60,  169,  549,  294,  149,  616,  116,  78,  650,  396,  30,  594,  71,  645,  344,  960,  393,  660,  86,  284,  57,  688,  172,  177,  1157,  212,  85,  180,  652,  912,  154,  706,  649, 
 11, 0b00011011000, 0b00000111010, 0b01000011100, 0b00110010010, 0b10010010001, 0b00100011001, 0b10000011010, 0b01100011000, 0b00101001010, 0b11001001000, 0b01101010000, 0b10001010001, 0b00010010011, 0b00001011010, 0b00101110000, 0b00010110010, 0b00000111100, 0b00010101001, 0b01000100101, 0b00100100110, 0b00010010101, 0b01001101000, 0b00001110100, 0b00001001110, 0b01010001010, 0b00110001100, 0b00000011110, 0b01001010010, 0b00001000111, 0b01010000101, 0b00101011000, 0b01111000000, 0b00110001001, 0b01010010100, 0b00001010110, 0b00100011100, 0b00000111001, 0b01010110000, 0b00010101100, 0b00010110001, 0b10010000101, 0b00011010100, 0b00001010101, 0b00010110100, 0b01010001100, 0b01110010000, 0b00010011010, 0b01011000010, 0b01010001001, 
 10,  593,  53,  240,  197,  464,  660,  86,  525,  836,  616,  77,  116,  864,  720,  649,  177,  281,  912,  773,  29,  90,  531,  645,  788,  153,  75,  643,  712,  538,  275,  778,  329,  897,  401,  23,  212,  736,  562,  834,  612,  198,  674,  201,  960,  582,  338,  195,  51,  658, 
 10, 0b1001010001, 0b0000110101, 0b0011110000, 0b0011000101, 0b0111010000, 0b1010010100, 0b0001010110, 0b1000001101, 0b1101000100, 0b1001101000, 0b0001001101, 0b0001110100, 0b1101100000, 0b1011010000, 0b1010001001, 0b0010110001, 0b0100011001, 0b1110010000, 0b1100000101, 0b0000011101, 0b0001011010, 0b1000010011, 0b1010000101, 0b1100010100, 0b0010011001, 0b0001001011, 0b1010000011, 0b1011001000, 0b1000011010, 0b0100010011, 0b1100001010, 0b0101001001, 0b1110000001, 0b0110010001, 0b0000010111, 0b0011010100, 0b1011100000, 0b1000110010, 0b1101000010, 0b1001100100, 0b0011000110, 0b1010100010, 0b0011001001, 0b1111000000, 0b1001000110, 0b0101010010, 0b0011000011, 0b0000110011, 0b1010010010, 
