bits,  st_st0,  st_st1,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 34,  9733799695,  11812208399,  9396289295,  9177923343,  8674869007,  3306155791,  3247374095,  9689628431,  13976469007,  9732881935, 
 34, 0b01000100001011011111111100001111, 0b11000000000011111111111100001111, 0b00110000000011111111111100001111, 0b00100011000010111111111100001111, 0b00000101000011111111111100001111, 0b11000101000011111110111100001111, 0b11000001100011101111111100001111, 0b01000001100010111111111100001111, 0b01000001000011111111111000001111, 0b01000100000111111111111000001111, 
 33,  4327538689,  4394584064,  4310715392,  4310696993,  4310706177,  4713351168,  5527046144,  4444915744,  4579395584,  4310894592, 
 33, 0b00000001111100010000000000000001, 0b00000101111100000000100000000000, 0b00000000111100000100110000000000, 0b00000000111100000000010000100001, 0b00000000111100000010100000000001, 0b00011000111100000000100000000000, 0b01001001011100000000100000000000, 0b00001000111100000000100000100000, 0b00010000111101000000100000000000, 0b00000000111100110000100000000000, 
 32,  922851678,  922803534,  2130713934,  1060113742,  923802974,  907074846,  840097102,  923946318,  907050318,  907073886, 
 32, 0b00110111000000011001100101011110, 0b00110111000000001101110101001110, 0b01111111000000000001110101001110, 0b00111111001100000000110101001110, 0b00110111000100000001110101011110, 0b00110110000100001101110100011110, 0b00110010000100101101110101001110, 0b00110111000100100100110101001110, 0b00110110000100000111110101001110, 0b00110110000100001101100101011110, 
 31,  1059392508,  1865157628,  2132937724,  2133134328,  1862732796,  1863205884,  1863192564,  1865354224,  1863158776,  789400572, 
 31, 0b0111111001001010000101111111100, 0b1101111001011000000101111111100, 0b1111111001000100000101111111100, 0b1111111001001010000101111111000, 0b1101111000001110000101111111100, 0b1101111000011100100001111111100, 0b1101111000011100000111111110100, 0b1101111001011110000101111110000, 0b1101111000011011000101111111000, 0b0101111000011010100101111111100, 
 30,  487569209,  252655419,  251918139,  253227833,  252704561,  252671922,  252442426,  252703035,  789541689,  521107256, 
 30, 0b011101000011111011011100111001, 0b001111000011110011011100111011, 0b001111000000111111011100111011, 0b001111000101111111001100111001, 0b001111000011111111011100110001, 0b001111000011110111011110110010, 0b001111000010111111011100111010, 0b001111000011111111000100111011, 0b101111000011110111001100111001, 0b011111000011110111011100111000, 
 29,  82811989,  351230997,  384506965,  384502941,  351210709,  349134033,  483351685,  351227021,  348081301,  347053205, 
 29, 0b00100111011111001110001010101, 0b10100111011110101110000010101, 0b10110111010110001110001010101, 0b10110111010110000110010011101, 0b10100111011110000110011010101, 0b10100110011110101110011010001, 0b11100110011110101110010000101, 0b10100111011110100110010001101, 0b10100101111110100110010010101, 0b10100101011111001110010010101, 
 28,  258996799,  260045607,  259979583,  259783095,  259783486,  264239926,  267893559,  259768119,  257949494,  253754175, 
 28, 0b1111011011111111101000111111, 0b1111011111111111101100100111, 0b1111011111101111100100111111, 0b1111011110111111100110110111, 0b1111011110111111101100111110, 0b1111101111111111101100110110, 0b1111111101111011101100110111, 0b1111011110111011111100110111, 0b1111010111111111111100110110, 0b1111000111111111101100111111, 
 27,  21156476,  258684,  4449016,  4453560,  4388472,  71479932,  4387700,  4387068,  4454520,  4389484, 
 27, 0b001010000101101001001111100, 0b000000000111111001001111100, 0b000010000111110001011111000, 0b000010000111111010010111000, 0b000010000101111011001111000, 0b100010000101011001001111100, 0b000010000101111001101110100, 0b000010000101111000011111100, 0b000010000111111100001111000, 0b000010000101111101001101100, 
 26,  328942,  2427116,  362605,  297212,  327933,  198908,  280828,  264941,  330981,  2360557, 
 26, 0b00000001010000010011101110, 0b00001001010000100011101100, 0b00000001011000100001101101, 0b00000001001000100011111100, 0b00000001010000000011111101, 0b00000000110000100011111100, 0b00000001000100100011111100, 0b00000001000000101011101101, 0b00000001010000110011100101, 0b00001001000000010011101101, 
 25,  29765635,  30810122,  30748680,  31207680,  32911360,  14037032,  13938698,  14561288,  30289922,  29765704, 
