bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 34,  3497258753,  3497225041,  3495128914,  3494113105,  4027837265,  3511218001,  7789602385,  7784877907,  3497127697,  3504566033,  3508760401,  3779293009,  3507711825,  3243503185,  3640913489,  3645075280, 
 34, 0b11010000011100111110111100000001, 0b11010000011100110110101101010001, 0b11010000010100110110111101010010, 0b11010000010000111110111101010001, 0b11110000000100111110101101010001, 0b11010001010010001110111101010001, 0b11010000010010111110011001010001, 0b11010000000000111100111101010011, 0b11010000011100011110111100010001, 0b11010000111000110110111100010001, 0b11010001001000110110111101010001, 0b11100001010000110110111101010001, 0b11010001000100110110111101010001, 0b11000001010100111110111001010001, 0b11011001000000111110111001010001, 0b11011001010000110110111101010000, 
 33,  8335140047,  4040174829,  4031823084,  8335172844,  4041254125,  8335254628,  5952808684,  5667726572,  4073989356,  8385471720,  4073858284,  4074808556,  4039177452,  3100697836,  7278216428,  2983242988, 
 33, 0b11110000110100000010010011001111, 0b11110000110100000010110011101101, 0b11110000010100001011110011101100, 0b11110000110100001010010011101100, 0b11110000111000001010010011101101, 0b11110000110100011110010001100100, 0b01100010110100001010011011101100, 0b01010001110100101010010011101100, 0b11110010110101000010010011101100, 0b11110011110100000010010011101000, 0b11110010110100100010010011101100, 0b11110010111000001010010011101100, 0b11110000110000001111010011101100, 0b10111000110100001110010011101100, 0b10110001110100001100010011101100, 0b10110001110100001010110011101100, 
 32,  2743733264,  2193230864,  2159676456,  2207910944,  2208959490,  3264744482,  2208172096,  2207385890,  2189036576,  2161806368,  2325384192,  2184875040,  2157628448,  2358905888,  2308443170,  2157579362, 
 32, 0b10100011100010100000110000010000, 0b10000010101110100000110000010000, 0b10000000101110100000110000101000, 0b10000011100110100000110000100000, 0b10000011101010100000110000000010, 0b11000010100110000000110000100010, 0b10000011100111100000100001000000, 0b10000011100100100000100100100010, 0b10000010011110100000110000100000, 0b10000000110110101000110000100000, 0b10001010100110101000110000000000, 0b10000010001110101000110000100000, 0b10000000100110101100110000100000, 0b10001100100110100000110000100000, 0b10001001100110000000110000100010, 0b10000000100110100000110001100010, 
 31,  1358086826,  1358087841,  485672608,  1492306592,  1358089872,  1492181728,  1483918176,  1492502688,  2029159073,  1488095921,  1488111280,  1492567584,  1391642272,  452120192,  1223872384,  418434976, 
 31, 0b1010000111100101100001010101010, 0b1010000111100101100011010100001, 0b0011100111100101100011010100000, 0b1011000111100101100101010100000, 0b1010000111100101100111010010000, 0b1011000111100001110001011100000, 0b1011000011100101100101101100000, 0b1011000111101011100100010100000, 0b1111000111100101000001010100001, 0b1011000101100101000101010110001, 0b1011000101100101100011010110000, 0b1011000111101101100011000100000, 0b1010010111100101100011010100000, 0b0011010111100101100111010000000, 0b1001000111100101100111110000000, 0b0011000111100001100111110100000, 
 30,  406790657,  440279808,  443441664,  473850368,  507257376,  473318928,  1010200576,  142500356,  389947904,  289301008,  406726160,  406611520,  438199808,  372139520,  355426816,  422470148, 
 30, 0b011000001111110010001000000001, 0b011010001111100010001100000000, 0b011010011011100110001000000000, 0b011100001111100110001000000000, 0b011110001111000010001000100000, 0b011100001101100100011000010000, 0b111100001101100111000000000000, 0b001000011111100110001000000100, 0b010111001111100010001000000000, 0b010001001111100110001000010000, 0b011000001111100010011000010000, 0b011000001111000110011001000000, 0b011010000111100110011000000000, 0b010110001011100110011000000000, 0b010101001011110110001000000000, 0b011001001011100110001000000100, 
