bits,  st_state_1,  st_state_10,  st_state_11,  st_state_12,  st_state_13,  st_state_14,  st_state_15,  st_state_2,  st_state_3,  st_state_4,  st_state_5,  st_state_6,  st_state_7,  st_state_8,  st_state_9, 
 34,  16130833301,  7842888596,  16934040461,  16481055637,  17033655061,  16932993877,  16397171542,  8346203029,  17000100757,  16397171605,  16429677461,  17000100694,  16396254164,  3547921301,  16329014165, 
 34, 0b11000001011110001111101110010101, 0b11010011011110001111101110010100, 0b11110001010110001111001110001101, 0b11010110010110001111001110010101, 0b11110111010010001111001100010101, 0b11110001010010001111101101010101, 0b11010001010110001111101101010110, 0b11110001011110001111001110010101, 0b11110101010010001111001110010101, 0b11010001010110001111101110010101, 0b11010011010010001111101110010101, 0b11110101010010001111001101010110, 0b11010001010010101111101111010100, 0b11010011011110001111101110010101, 0b11001101010010001111101110010101, 
 33,  4343485420,  4342436589,  11817981,  16045036,  549868540,  65033212,  60052461,  48518125,  551834620,  14046189,  149312492,  595874812,  63329260,  46552046,  14963695, 
 33, 0b00000010111001000101001111101100, 0b00000010110101000101001011101101, 0b00000000101101000101001111111101, 0b00000000111101001101001111101100, 0b00100000110001100101001111111100, 0b00000011111000000101001111111100, 0b00000011100101000101001111101101, 0b00000010111001000101001111101101, 0b00100000111001000101001111111100, 0b00000000110101100101001111101101, 0b00001000111001100101001111101100, 0b00100011100001000101001111111100, 0b00000011110001100101001111101100, 0b00000010110001100101001111101110, 0b00000000111001000101001111101111, 
 32,  1794121702,  1458577382,  3853524965,  1452351463,  3803193271,  4105199588,  3870302182,  3600818151,  4103086055,  1202724839,  3801161703,  4105183158,  2008031204,  1924145127,  1693458407, 
 32, 0b01101010111100000001111111100110, 0b01010110111100000001111111100110, 0b11100101101100000001111111100101, 0b01010110100100010001111111100111, 0b11100010101100000001111110110111, 0b11110100101100000101111111100100, 0b11100110101100000001111111100110, 0b11010110101000000001111111100111, 0b11110100100100000001111111100111, 0b01000111101100000001111111100111, 0b11100010100100010001111111100111, 0b11110100101100000001111110110110, 0b01110111101100000001111111100100, 0b01110010101100000001111111100111, 0b01100100111100000001111111100111, 
 31,  1999061235,  1997357303,  2083471606,  2116485373,  2087128308,  2083995894,  2083996021,  2114928885,  2116502772,  2084503797,  2116488433,  2087141876,  2084519991,  2117550321,  2116485367, 
 31, 0b1110111001001110100000011110011, 0b1110111000011010100000011110111, 0b1111100001011110100000011110110, 0b1111110001001110000000011111101, 0b1111100011001110000110011110100, 0b1111100001101110100000011110110, 0b1111100001101110100000101110101, 0b1111110000011110100000011110101, 0b1111110001001110100010011110100, 0b1111100001111110000000011110101, 0b1111110001001110000110011110001, 0b1111100011001110100000111110100, 0b1111100001111110100000000110111, 0b1111110001101110100000011110001, 0b1111110001001110000000011110111, 
 30,  781171701,  730315773,  732412407,  590871287,  238287359,  727972095,  195558390,  730069951,  723778551,  596114423,  775158519,  195295743,  724040439,  780401655,  732412917, 
 30, 0b101110100011111011101111110101, 0b101011100001111011101111111101, 0b101011101001111011100111110111, 0b100011001101111111101011110111, 0b001110001100111111100111111111, 0b101011011000111111100011111111, 0b001011101001111111101111110110, 0b101011100000111111101110111111, 0b101011001000111111101111110111, 0b100011100001111111101111110111, 0b101110001100111111101011110111, 0b001011101000111111100111111111, 0b101011001001111111101011110111, 0b101110100000111111101111110111, 0b101011101001111011101111110101, 
 29,  104395060,  70841137,  121426692,  108582406,  115925765,  107279878,  103346981,  104395316,  104658436,  104387366,  108589828,  107542021,  103084838,  104391588,  104460836, 
 29, 0b00110001110001111000100110100, 0b00100001110001111001100110001, 0b00111001111001101001100000100, 0b00110011110001101011000000110, 0b00110111010001110001100000101, 0b00110011001001111011000000110, 0b00110001010001111001100100101, 0b00110001110001111001000110100, 0b00110001111001111011000000100, 0b00110001110001101001100100110, 0b00110011110001111001100000100, 0b00110011010001111011000000101, 0b00110001001001111001100100110, 0b00110001110001110001110100100, 0b00110001110011111001000100100, 
 28,  566502,  730278,  138947808,  134755556,  2680032,  134800428,  143156400,  134751462,  134800608,  134753460,  566501,  145286176,  134766780,  134784116,  134785252, 
 28, 0b0000000010001010010011100110, 0b0000000010110010010010100110, 0b1000010010000010110011100000, 0b1000000010000011010011100100, 0b0000001010001110010011100000, 0b1000000010001110010000101100, 0b1000100010000110010010110000, 0b1000000010000010010011100110, 0b1000000010001110010011100000, 0b1000000010000010110010110100, 0b0000000010001010010011100101, 0b1000101010001110010000100000, 0b1000000010000110000010111100, 0b1000000010001010010001110100, 0b1000000010001010100011100100, 
 27,  4124564,  4112304,  70447058,  3993554,  20876755,  71224730,  88008082,  4110290,  71208914,  71231186,  4106195,  87989650,  71298194,  3991510,  71200658, 
 27, 0b000001111101110111110010100, 0b000001111101011111110110000, 0b100001100101110111111010010, 0b000001111001110111111010010, 0b001001111101000110111010011, 0b100001111101100110110011010, 0b101001111101110010110010010, 0b000001111101011011111010010, 0b100001111101000111111010010, 0b100001111101110011011010010, 0b000001111101010011111010011, 0b101001111101001110110010010, 0b100001111111110110010010010, 0b000001111001110011111010110, 0b100001111100110111110010010, 
 26,  11832014,  2542286,  45976070,  45910722,  44400855,  36408006,  45714068,  37128902,  45189830,  37587652,  44403395,  44665046,  48859844,  43354822,  7703238, 
 26, 0b00101101001000101011001110, 0b00001001101100101011001110, 0b10101111011000101000000110, 0b10101111001000101011000010, 0b10101001011000000011010111, 0b10001010111000101011000110, 0b10101110011000101010010100, 0b10001101101000101011000110, 0b10101100011000101011000110, 0b10001111011000101011000100, 0b10101001011000101011000011, 0b10101010011000100011010110, 0b10111010011000101011000100, 0b10100101011000101011000110, 0b00011101011000101011000110, 
 25,  6225614,  3931854,  16710346,  24575690,  6290959,  15990347,  24640078,  15990474,  8388170,  30931658,  23002702,  7863885,  30669391,  30605006,  14663370, 
 25, 0b0010111101111111011001110, 0b0001110111111111011001110, 0b0111111101111101011001010, 0b1011101101111111011001010, 0b0010111111111111000001111, 0b0111100111111111001001011, 0b1011101111111101001001110, 0b0111100111111111011001010, 0b0011111111111111001001010, 0b1110101111111101011001010, 0b1010111101111111001001110, 0b0011101111111111001001101, 0b1110100111111101001001111, 0b1110100101111111011001110, 0b0110111111011111011001010, 
 24,  3721786,  3713848,  2674476,  2673466,  3722058,  3185453,  3678008,  2673468,  2657071,  3723056,  2681614,  3709738,  3182393,  2681650,  2674474, 
 24, 0b001110001100101000111010, 0b001110001010101100111000, 0b001010001100111100101100, 0b001010001100101100111010, 0b001110001100101101001010, 0b001100001001101100101101, 0b001110000001111100111000, 0b001010001100101100111100, 0b001010001000101100101111, 0b001110001100111100110000, 0b001010001110101100001110, 0b001110001001101100101010, 0b001100001000111100111001, 0b001010001110101100110010, 0b001010001100111100101010, 
 23,  791298,  2884866,  2624560,  7078920,  7078402,  6620162,  820800,  2885635,  6818818,  2887168,  4984320,  2917378,  2459136,  789762,  2888706, 
