bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st16,  st_st17,  st_st18,  st_st19,  st_st2,  st_st20,  st_st21,  st_st22,  st_st23,  st_st24,  st_st25,  st_st26,  st_st27,  st_st28,  st_st29,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 35,  11787174308,  9631367589,  9643098532,  11777999270,  11777999780,  11788223140,  9645981860,  9639953572,  3197240486,  3197239722,  3213951400,  3214017704,  9639698821,  4807852459,  7492207016,  9631564212,  1050018724,  922091940,  9501540836,  3192259492,  11781931492,  11781939620,  9639567781,  11787248000,  1051926916,  9641853313,  1051853221,  9641795748,  9638715812,  9642852772, 
 35, 0b10111110100100100000000110100100, 0b00111110000100110000000110100101, 0b00111110110001100000000110100100, 0b10111110000001100000000110100110, 0b10111110000001100000001110100100, 0b10111110101000100000001010100100, 0b00111110111100100000000010100100, 0b00111110100101100000010010100100, 0b10111110100100100000010010100110, 0b10111110100100100000000110101010, 0b10111111100100010000000110101000, 0b10111111100100100000010010101000, 0b00111110100100100010000110000101, 0b00011110100100100000000110101011, 0b10111110100100100000000110101000, 0b00111110000101100000000110110100, 0b00111110100101100000001110100100, 0b00110110111101100000000110100100, 0b00110110010101100000000111100100, 0b10111110010001100000001110100100, 0b10111110010000100000000111100100, 0b10111110010000100010000110100100, 0b00111110100100000010000110100101, 0b10111110100100110010000110000000, 0b00111110101100110010000110000100, 0b00111110101100110000000110000001, 0b00111110101100100000000110100101, 0b00111110101100100010000010100100, 0b00111110100000110010000110100100, 0b00111110110000100100000110100100, 
 34,  2487304120,  3024371632,  2433040312,  3573627832,  3573628848,  7314948016,  4026613688,  3489783736,  2483154872,  2487330745,  11077269176,  2621548472,  3036757936,  2420209593,  2621454265,  3490791352,  3510706104,  3506646968,  3489808316,  3238215608,  2499952568,  2504343440,  3561176752,  356859824,  365706928,  2554675120,  2488090288,  3558948784,  2621521840,  2470526896, 
 34, 0b10010100010000010011111110111000, 0b10110100010001000011111110110000, 0b10010001000001010011111110111000, 0b11010101000000010011101110111000, 0b11010101000000010011111110110000, 0b10110100000000010011111110110000, 0b11110000000000010011111110111000, 0b11010000000000011101111110111000, 0b10010100000000011110111110111000, 0b10010100010000011010011110111001, 0b10010100010000011011011010111000, 0b10011100010000011010011110111000, 0b10110101000000010011111110110000, 0b10010000010000010111011110111001, 0b10011100010000000011011110111001, 0b11010000000100010011111110111000, 0b11010001010000010001111110111000, 0b11010001000000110010111110111000, 0b11010000000000100011111110111100, 0b11000001000000110011111110111000, 0b10010101000000100011111110111000, 0b10010101010001010011111110010000, 0b11010100010000110011111010110000, 0b00010101010001010011111110110000, 0b00010101110011000011111010110000, 0b10011000010001010011111110110000, 0b10010100010011010011111010110000, 0b11010100001000010011111110110000, 0b10011100010000010011111110110000, 0b10010011010000010011111110110000, 
 33,  1661957622,  1730098676,  1615820279,  1716418038,  1783592436,  1263236598,  1226798582,  1243444727,  1510962678,  1427076598,  2534372852,  990868980,  589247991,  89093630,  655324668,  1746892278,  1766815218,  1769944306,  1767863792,  1699706099,  1699706356,  839874039,  571471351,  5940131319,  6007006711,  1980708342,  1712272887,  588211711,  1661941239,  655320567, 
 33, 0b01100011000011110111010111110110, 0b01100111000111110011010111110100, 0b01100000010011110111010111110111, 0b01100110010011100111010111110110, 0b01101010010011110111010111110100, 0b01001011010010110111010111110110, 0b01001001000111110111010111110110, 0b01001010000111010111010111110111, 0b01011010000011110111010111110110, 0b01010101000011110111010111110110, 0b10010111000011110111010111110100, 0b00111011000011110111010111110100, 0b00100011000111110011010111110111, 0b00000101010011110111010111111110, 0b00100111000011110111010111111100, 0b01101000000111110111010111110110, 0b01101001010011110111010111110010, 0b01101001011111110011010011110010, 0b01101001010111110111010111110000, 0b01100101010011110111010011110011, 0b01100101010011110111010111110100, 0b00110010000011110111010111110111, 0b00100010000011111111010111110111, 0b01100010000011110011010111110111, 0b01100110000010111010010111110111, 0b01110110000011110011010111110110, 0b01100110000011110011010111110111, 0b00100011000011110110010111111111, 0b01100011000011110011010111110111, 0b00100111000011110110010111110111, 
 32,  4247236519,  4246712227,  4248808327,  4247777158,  4248807207,  4281706407,  4265062279,  4231262095,  3693604783,  4247252781,  3844599727,  3303534511,  4278693811,  3962564399,  3441946543,  4248284943,  4248282031,  4231489455,  4230459311,  4231509927,  4232032165,  3978276775,  4245663669,  4278693806,  4247760558,  4253527975,  4248809125,  4245138935,  4246709687,  3979847607, 
 32, 0b11111101001001111010111110100111, 0b11111101000111111010111110100011, 0b11111101001111111010101110000111, 0b11111101001011111110111110000110, 0b11111101001111111010011100100111, 0b11111111001101011010011110100111, 0b11111110001101111010111110000111, 0b11111100001100111110111110001111, 0b11011100001001111110111110101111, 0b11111101001001111110111100101101, 0b11100101001001111110111110101111, 0b11000100111001111110111110101111, 0b11111111000001111010111110110011, 0b11101100001011111110111100101111, 0b11001101001001111110111110101111, 0b11111101001101111010111100001111, 0b11111101001101111010001110101111, 0b11111100001101110110011110101111, 0b11111100001001111010111110101111, 0b11111100001101111011011110100111, 0b11111100001111111010111110100101, 0b11101101000111111010111110100111, 0b11111101000011111010111110110101, 0b11111111000001111010111110101110, 0b11111101001011111010111010101110, 0b11111101100001111010111110100111, 0b11111101001111111010111010100101, 0b11111101000001111010110111110111, 0b11111101000111111010010110110111, 0b11101101001101111010011110110111, 
 31,  169816859,  169300767,  187634459,  185414459,  1259025179,  1260139291,  169620347,  186528539,  185809691,  437465887,  185809679,  153041675,  169810718,  442118927,  438188811,  152023835,  170636059,  185578266,  186553115,  187396635,  186340123,  244257563,  504574747,  169229087,  1243036187,  169244191,  236417563,  236657435,  238490395,  236852123, 
 31, 0b0001010000111110011001100011011, 0b0001010000101110101001100011111, 0b0001011001011110001001100011011, 0b0001011000011010011001100111011, 0b1001011000010110011001100011011, 0b1001011000111000011001100011011, 0b0001010000111000011001101111011, 0b0001011000111100011001100011011, 0b0001011000100110011101100011011, 0b0011010000100110011001100011111, 0b0001011000100110011101100001111, 0b0001001000111110011101100001011, 0b0001010000111110001101100011110, 0b0011010010110100011001100001111, 0b0011010000111100011101100001011, 0b0001001000011111011001100011011, 0b0001010001010111011001100011011, 0b0001011000011111011001100011010, 0b0001011000111101001001100011011, 0b0001011001010110111001000011011, 0b0001011000110110101001100011011, 0b0001110100011110001001100011011, 0b0011110000100110011001100011011, 0b0001010000101100011101100011111, 0b1001010000101110011101000011011, 0b0001010000101100111011000011111, 0b0001110000101110111001000011011, 0b0001110000110110001101100011011, 0b0001110001101110001001100011011, 0b0001110000111100001001110011011, 
 30,  277017133,  8843917,  25354861,  310436461,  25228077,  75561517,  457261,  75690541,  352383533,  805368621,  281080620,  344060460,  8581820,  277410573,  344650252,  8643373,  25424397,  293720845,  12710669,  25227981,  8581965,  277014093,  813887517,  545321533,  813757197,  545448621,  8581917,  277016638,  277017103,  276889101, 
 30, 0b010000100000101111001000101101, 0b000000100001101111001010001101, 0b000001100000101110001001101101, 0b010010100000001110001001101101, 0b000001100000001111001100101101, 0b000100100000001111101000101101, 0b000000000001101111101000101101, 0b000100100000101111001000101101, 0b010101000000001111001000101101, 0b110000000000001111001100101101, 0b010000110000001111001100101100, 0b010100100000011111001000101100, 0b000000100000101111001010111100, 0b010000100010001111001100001101, 0b010100100010101111001000001100, 0b000000100000111110001100101101, 0b000001100000111111001000001101, 0b010001100000011101001100001101, 0b000000110000011111001100001101, 0b000001100000001111001011001101, 0b000000100000101111001101001101, 0b010000100000101110011001001101, 0b110000100000101111000000011101, 0b100000100000001111001000111101, 0b110000100000001111001100001101, 0b100000100000101110001010101101, 0b000000100000101111001100011101, 0b010000100000101111000000111110, 0b010000100000101111001000001111, 0b010000100000001111111000001101, 
 29,  308694542,  457575950,  359025166,  409422350,  283531790,  275139182,  323373614,  308169230,  307119646,  306661134,  309150478,  309117470,  438701583,  309085966,  309216286,  382093838,  375790094,  392450574,  373579278,  348543502,  342252558,  375794190,  459688458,  442896134,  459672590,  459542150,  459558412,  455493134,  455485966,  291924494, 
 29, 0b10010011001100100111000001110, 0b11011010001100000111000001110, 0b10101011001100100101000001110, 0b11000011001110100101000001110, 0b10000111001100101101000001110, 0b10000011001100100101001101110, 0b10011010001100100101000101110, 0b10010010111100100101000001110, 0b10010010011100100011000011110, 0b10010010001110100011100001110, 0b10010011011010100001100001110, 0b10010011011001100001000011110, 0b11010001001100000111000001111, 0b10010011011000100011100001110, 0b10010011011100100010000011110, 0b10110110001100100101000001110, 0b10110011001100001101000001110, 0b10111011001000101001000001110, 0b10110010001000101111000001110, 0b10100110001100101101000001110, 0b10100011001100101110000001110, 0b10110011001100010101000001110, 0b11011011001100100101000001010, 0b11010011001100000111100000110, 0b11011011001100000110000001110, 0b11011011001000000111010000110, 0b11011011001000100111000001100, 0b11011001001100100011000001110, 0b11011001001100010101000001110, 0b10001011001100110101000001110, 
 28,  189717175,  241081015,  38787775,  189778111,  22018743,  38730431,  189461183,  189463735,  189528755,  189750963,  256614067,  256572979,  224318135,  189789747,  189725243,  55565495,  122542775,  38795959,  21954231,  105757375,  55376575,  173972159,  240016063,  231659703,  147774391,  232692279,  173956023,  257841843,  243145403,  175037115, 
 28, 0b1011010011101101101010110111, 0b1110010111101001101010110111, 0b0010010011111101101010111111, 0b1011010011111100100010111111, 0b0001010011111111101010110111, 0b0010010011101111101010111111, 0b1011010010101111001010111111, 0b1011010010101111110010110111, 0b1011010010111111101010110011, 0b1011010011110101111010110011, 0b1111010010111001111010110011, 0b1111010010101111111000110011, 0b1101010111101101001010110111, 0b1011010011111111011000110011, 0b1011010011101111101000111011, 0b0011010011111101110010110111, 0b0111010011011101101010110111, 0b0010010011111111101010110111, 0b0001010011101111111010110111, 0b0110010011011011101010111111, 0b0011010011001111101010111111, 0b1010010111101001101010111111, 0b1110010011100101101010111111, 0b1101110011101101100010110111, 0b1000110011101101101110110111, 0b1101110111101001101000110111, 0b1010010111100101101110110111, 0b1111010111100101101010110011, 0b1110011111100001101010111011, 0b1010011011101101101010111011, 
 27,  33477089,  67039393,  66508256,  66376177,  33480096,  33217441,  33543072,  33542593,  16700873,  16699757,  16701281,  16766912,  134140193,  32428524,  33542600,  67096992,  67029472,  62819312,  62899168,  29346784,  29284320,  99538400,  100593761,  83874145,  16767585,  100593953,  67033185,  100585840,  100594080,  100586785, 
 27, 0b001111111101101000111100001, 0b011111111101111000010100001, 0b011111101101101010111100000, 0b011111101001101000111110001, 0b001111111101101110110100000, 0b001111110101101101110100001, 0b001111111111101001110100000, 0b001111111111101000111000001, 0b000111111101101010111001001, 0b000111111101101000101101101, 0b000111111101101011101100001, 0b000111111111101011111000000, 0b111111111101101000100100001, 0b001111011101101000111101100, 0b001111111111101000111001000, 0b011111111111101000110100000, 0b011111111101100100111100000, 0b011101111101000101111110000, 0b011101111111100001111100000, 0b001101111111100101111100000, 0b001101111101101011111100000, 0b101111011101101010111100000, 0b101111111101111000001100001, 0b100111111111101000101100001, 0b000111111111101101001100001, 0b101111111101111000100100001, 0b011111111101101100001100001, 0b101111111101101000101110000, 0b101111111101111000110100000, 0b101111111101101010100100001, 
 26,  3174446,  3156078,  3174949,  3305513,  1110061,  3207203,  2158650,  35680299,  35811372,  2126381,  2243109,  2765356,  53485614,  2110511,  2895918,  3239977,  3272740,  3273472,  3241224,  11628832,  3174697,  3166269,  3285102,  3154031,  3735659,  11608172,  3158123,  3219503,  3154045,  3682364, 
 26, 0b00001100000111000000101110, 0b00001100000010100001101110, 0b00001100000111001000100101, 0b00001100100111000000101001, 0b00000100001111000000101101, 0b00001100001111000000100011, 0b00001000001111000000111010, 0b10001000000111000000101011, 0b10001000100111000000101100, 0b00001000000111001000101101, 0b00001000100011101000100101, 0b00001010100011001000101100, 0b11001100000010000000101110, 0b00001000000011010000101111, 0b00001011000011000000101110, 0b00001100010111000000101001, 0b00001100011111000000100100, 0b00001100011111001100000000, 0b00001100010111010100001000, 0b00101100010111000100100000, 0b00001100000111000100101001, 0b00001100000101000000111101, 0b00001100100010000001101110, 0b00001100000010000001101111, 0b00001110010000000001101011, 0b00101100010010000001101100, 0b00001100000011000001101011, 0b00001100010010000000101111, 0b00001100000010000001111101, 0b00001110000011000000111100, 
 25,  17052206,  17047678,  16807466,  17183786,  16791100,  19149368,  20193836,  17049148,  17040190,  17060622,  21254700,  17187374,  405566,  17187343,  16917039,  292396,  16806445,  16888361,  16856620,  16986668,  16806700,  16806572,  16789742,  340540,  13244,  17105470,  16789822,  17182862,  17051836,  12990, 
 25, 0b1000001000011001000101110, 0b1000001000010000001111110, 0b1000000000111011000101010, 0b1000001100011010000101010, 0b1000000000011011000111100, 0b1001001000011001000111000, 0b1001101000010001000101100, 0b1000001000010011000111100, 0b1000001000000001100111110, 0b1000001000101001100001110, 0b1010001000101001000101100, 0b1000001100100001000101110, 0b0000001100011000000111110, 0b1000001100100001000001111, 0b1000000100010001000101111, 0b0000001000111011000101100, 0b1000000000111001000101101, 0b1000000011011001000101001, 0b1000000010011011000101100, 0b1000000110011001000101100, 0b1000000000111001100101100, 0b1000000000111001010101100, 0b1000000000011000011101110, 0b0000001010011001000111100, 0b0000000000011001110111100, 0b1000001010000001000111110, 0b1000000000011000100111110, 0b1000001100011000010001110, 0b1000001000011000010111100, 0b0000000000011001010111110, 
 24,  13623291,  4186107,  13631439,  15720287,  15728475,  14671711,  14671861,  14671103,  13500159,  13564927,  15138813,  14811135,  16505851,  2031615,  13434879,  15720159,  13631103,  1048575,  7331711,  11526015,  15654879,  5242878,  11534267,  14674939,  10484479,  16764915,  10477503,  15466483,  2883583,  2097147, 
 24, 0b110011111101111111111011, 0b001111111101111111111011, 0b110011111111111111001111, 0b111011111101111101011111, 0b111011111111111101011011, 0b110111111101111101011111, 0b110111111101111111110101, 0b110111111101110011111111, 0b110011011111111011111111, 0b110011101111101111111111, 0b111001101111111111111101, 0b111000011111111111111111, 0b111110111101101111111011, 0b000111101111111111111111, 0b110011001111111111111111, 0b111011111101111011011111, 0b110011111111111001111111, 0b000011111111111111111111, 0b011011111101111101111111, 0b101011111101111101111111, 0b111011101101111111011111, 0b010011111111111111111110, 0b101011111111111110111011, 0b110111111110101111111011, 0b100111111111101011111111, 0b111111111100111111110011, 0b100111111101111110111111, 0b111010111111111111110011, 0b001010111111111111111111, 0b000111111111111111111011, 
 23,  309186,  4634048,  438723,  435142,  504514,  374354,  1161026,  311106,  374608,  374688,  914304,  373680,  431562,  1226656,  311200,  309955,  431811,  430539,  299987,  439233,  439186,  438986,  4633922,  439776,  62946,  439622,  4515266,  439506,  439690,  403402, 
 23, 0b00001001011011111000010, 0b10001101011010111000000, 0b00001101011000111000011, 0b00001101010001111000110, 0b00001111011001011000010, 0b00001011011011001010010, 0b00100011011011101000010, 0b00001001011111101000010, 0b00001011011011101010000, 0b00001011011011110100000, 0b00011011111001110000000, 0b00001011011001110110000, 0b00001101001010111001010, 0b00100101011011110100000, 0b00001001011111110100000, 0b00001001011101011000011, 0b00001101001011011000011, 0b00001101001000111001011, 0b00001001001001111010011, 0b00001101011001111000001, 0b00001101011001110010010, 0b00001101011001011001010, 0b10001101011010101000010, 0b00001101011010111100000, 0b00000001111010111100010, 0b00001101011010101000110, 0b10001001110010111000010, 0b00001101011010011010010, 0b00001101011010110001010, 0b00001100010011111001010, 
 22,  140815,  141132,  1057551,  1220623,  3277327,  2238990,  2240005,  2124301,  2106127,  205582,  206597,  140061,  1193484,  336668,  402972,  2109967,  3154959,  2252815,  2240541,  74783,  1187871,  75533,  79373,  1074701,  1125900,  1189133,  12045,  14094,  79688,  145161, 
 22, 0b0000100010011000001111, 0b0000100010011101001100, 0b0100000010001100001111, 0b0100101010000000001111, 0b1100100000001000001111, 0b1000100010101000001110, 0b1000100010111000000101, 0b1000000110101000001101, 0b1000000010001100001111, 0b0000110010001100001110, 0b0000110010011100000101, 0b0000100010001100011101, 0b0100100011011000001100, 0b0001010010001100011100, 0b0001100010011000011100, 0b1000000011001000001111, 0b1100000010010000001111, 0b1000100110000000001111, 0b1000100011000000011101, 0b0000010010010000011111, 0b0100100010000000011111, 0b0000010010011100001101, 0b0000010011011000001101, 0b0100000110011000001101, 0b0100010010111000001100, 0b0100100010010100001101, 0b0000000010111100001101, 0b0000000011011100001110, 0b0000010011011101001000, 0b0000100011011100001001, 
 21,  659854,  1610118,  692239,  656015,  660558,  659818,  669962,  956680,  690570,  1704394,  1737106,  688540,  37263,  1184216,  528860,  693516,  688462,  689182,  660509,  529742,  529551,  557455,  1184135,  176524,  111492,  700802,  233862,  136077,  1085837,  299406, 
 21, 0b010100001000110001110, 0b110001001000110000110, 0b010101001000000001111, 0b010100000001010001111, 0b010100001010001001110, 0b010100001000101101010, 0b010100011100100001010, 0b011101001100100001000, 0b010101000100110001010, 0b110100000000111001010, 0b110101000000110010010, 0b010101000000110011100, 0b000001001000110001111, 0b100100001000111011000, 0b010000001000111011100, 0b010101001010100001100, 0b010101000000101001110, 0b010101000010000011110, 0b010100001010000011101, 0b010000001010101001110, 0b010000001010010001111, 0b010001000000110001111, 0b100100001000110000111, 0b000101011000110001100, 0b000011011001110000100, 0b010101011000110000010, 0b000111001000110000110, 0b000100001001110001101, 0b100001001000110001101, 0b001001001000110001110, 
 20,  600156,  335966,  993352,  732184,  854136,  534650,  592090,  729304,  598107,  862289,  795345,  270939,  589919,  342608,  336476,  862360,  862290,  796912,  993440,  600115,  731248,  207448,  272988,  853084,  339032,  66782,  338076,  335965,  90716,  125016, 
 20, 0b10010010100001011100, 0b01010010000001011110, 0b11110010100001001000, 0b10110010110000011000, 0b11010000100001111000, 0b10000010100001111010, 0b10010000100011011010, 0b10110010000011011000, 0b10010010000001011011, 0b11010010100001010001, 0b11000010001011010001, 0b01000010001001011011, 0b10010000000001011111, 0b01010011101001010000, 0b01010010001001011100, 0b11010010100010011000, 0b11010010100001010010, 0b11000010100011110000, 0b11110010100010100000, 0b10010010100000110011, 0b10110010100001110000, 0b00110010101001011000, 0b01000010101001011100, 0b11010000010001011100, 0b01010010110001011000, 0b00010000010011011110, 0b01010010100010011100, 0b01010010000001011101, 0b00010110001001011100, 0b00011110100001011000, 
 19,  226314,  144414,  291882,  161834,  359426,  357400,  29726,  154638,  159759,  225315,  152355,  160517,  160781,  213291,  225539,  31818,  356426,  293960,  163080,  488512,  357640,  406602,  487436,  220169,  87193,  146457,  218140,  406542,  405596,  160856, 
 19, 0b0110111010000001010, 0b0100011010000011110, 0b1000111010000101010, 0b0100111100000101010, 0b1010111110000000010, 0b1010111010000011000, 0b0000111010000011110, 0b0100101110000001110, 0b0100111000000001111, 0b0110111000000100011, 0b0100101001100100011, 0b0100111001100000101, 0b0100111010000001101, 0b0110100000100101011, 0b0110111000100000011, 0b0000111110001001010, 0b1010111000001001010, 0b1000111110001001000, 0b0100111110100001000, 0b1110111010001000000, 0b1010111010100001000, 0b1100011010001001010, 0b1110111000000001100, 0b0110101110000001001, 0b0010101010010011001, 0b0100011110000011001, 0b0110101010000011100, 0b1100011010000001110, 0b1100011000001011100, 0b0100111010001011000, 
 18,  155911,  156174,  156198,  139847,  152071,  156171,  188682,  172075,  147503,  155814,  155701,  81981,  188427,  147758,  213007,  143399,  159766,  143570,  159878,  221222,  151846,  189186,  57359,  188454,  156422,  254468,  172551,  28939,  25351,  180997, 
 18, 0b100110000100000111, 0b100110001000001110, 0b100110001000100110, 0b100010001001000111, 0b100101001000000111, 0b100110001000001011, 0b101110000100001010, 0b101010000000101011, 0b100100000000101111, 0b100110000010100110, 0b100110000000110101, 0b010100000000111101, 0b101110000000001011, 0b100100000100101110, 0b110100000000001111, 0b100011000000100111, 0b100111000000010110, 0b100011000011010010, 0b100111000010000110, 0b110110000000100110, 0b100101000100100110, 0b101110001100000010, 0b001110000000001111, 0b101110000000100110, 0b100110001100000110, 0b111110001000000100, 0b101010001000000111, 0b000111000100001011, 0b000110001100000111, 0b101100001100000101, 
 17,  130,  2304,  65540,  12288,  3072,  65537,  4608,  18432,  520,  65,  65538,  132,  516,  32770,  65544,  96,  513,  16640,  2560,  10,  4112,  2049,  10240,  17,  8448,  40,  68,  288,  49152,  768, 
 17, 0b00000000010000010, 0b00000100100000000, 0b10000000000000100, 0b00011000000000000, 0b00000110000000000, 0b10000000000000001, 0b00001001000000000, 0b00100100000000000, 0b00000001000001000, 0b00000000001000001, 0b10000000000000010, 0b00000000010000100, 0b00000001000000100, 0b01000000000000010, 0b10000000000001000, 0b00000000001100000, 0b00000001000000001, 0b00100000100000000, 0b00000101000000000, 0b00000000000001010, 0b00001000000010000, 0b00000100000000001, 0b00010100000000000, 0b00000000000010001, 0b00010000100000000, 0b00000000000101000, 0b00000000001000100, 0b00000000100100000, 0b01100000000000000, 0b00000001100000000, 
 16,  25601,  19584,  50688,  27136,  49409,  16913,  28688,  12801,  13376,  24656,  1616,  1352,  18945,  29184,  21512,  1793,  20993,  38400,  42240,  21632,  17696,  1539,  18176,  22016,  49696,  3600,  50180,  25216,  1668,  1169, 
 16, 0b0110010000000001, 0b0100110010000000, 0b1100011000000000, 0b0110101000000000, 0b1100000100000001, 0b0100001000010001, 0b0111000000010000, 0b0011001000000001, 0b0011010001000000, 0b0110000001010000, 0b0000011001010000, 0b0000010101001000, 0b0100101000000001, 0b0111001000000000, 0b0101010000001000, 0b0000011100000001, 0b0101001000000001, 0b1001011000000000, 0b1010010100000000, 0b0101010010000000, 0b0100010100100000, 0b0000011000000011, 0b0100011100000000, 0b0101011000000000, 0b1100001000100000, 0b0000111000010000, 0b1100010000000100, 0b0110001010000000, 0b0000011010000100, 0b0000010010010001, 
 15,  8279,  8350,  10317,  28741,  9245,  1175,  10387,  11345,  8561,  8314,  12401,  249,  8796,  12528,  246,  11271,  2079,  10510,  8335,  10389,  8412,  10759,  2583,  2142,  16726,  4382,  26646,  8758,  8731,  8239, 
