bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 8,  73,  101,  128,  169,  133,  65,  200,  24,  52,  33,  44,  48, 
 8, 0b01001001, 0b01100101, 0b10000000, 0b10101001, 0b10000101, 0b01000001, 0b11001000, 0b00011000, 0b00110100, 0b00100001, 0b00101100, 0b00110000, 
 7,  19,  0,  2,  30,  11,  6,  82,  34,  7,  10,  13,  65, 
 7, 0b0010011, 0b0000000, 0b0000010, 0b0011110, 0b0001011, 0b0000110, 0b1010010, 0b0100010, 0b0000111, 0b0001010, 0b0001101, 0b1000001, 
 6,  9,  5,  18,  27,  17,  48,  20,  6,  12,  36,  33,  0, 
 6, 0b001001, 0b000101, 0b010010, 0b011011, 0b010001, 0b110000, 0b010100, 0b000110, 0b001100, 0b100100, 0b100001, 0b000000, 
 5,  2,  9,  8,  5,  14,  18,  1,  24,  4,  3,  16,  27, 
 5, 0b00010, 0b01001, 0b01000, 0b00101, 0b01110, 0b10010, 0b00001, 0b11000, 0b00100, 0b00011, 0b10000, 0b11011, 
 4,  5,  1,  12,  4,  0,  2,  10,  14,  6,  7,  15,  13, 
 4, 0b0101, 0b0001, 0b1100, 0b0100, 0b0000, 0b0010, 0b1010, 0b1110, 0b0110, 0b0111, 0b1111, 0b1101, 
