bits,  st_st0,  st_st1,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 8,  14,  112,  80,  72,  96,  49,  16,  0,  33,  216, 
 8, 0b00001110, 0b01110000, 0b01010000, 0b01001000, 0b01100000, 0b00110001, 0b00010000, 0b00000000, 0b00100001, 0b11011000, 
 7,  4,  66,  23,  52,  17,  16,  2,  0,  50,  64, 
 7, 0b0000100, 0b1000010, 0b0010111, 0b0110100, 0b0010001, 0b0010000, 0b0000010, 0b0000000, 0b0110010, 0b1000000, 
 6,  48,  6,  2,  26,  36,  32,  9,  22,  0,  62, 
 6, 0b110000, 0b000110, 0b000010, 0b011010, 0b100100, 0b100000, 0b001001, 0b010110, 0b000000, 0b111110, 
 5,  24,  0,  9,  19,  18,  1,  5,  25,  14,  16, 
 5, 0b11000, 0b00000, 0b01001, 0b10011, 0b10010, 0b00001, 0b00101, 0b11001, 0b01110, 0b10000, 
 4,  4,  8,  10,  6,  0,  9,  1,  3,  2,  13, 
 4, 0b0100, 0b1000, 0b1010, 0b0110, 0b0000, 0b1001, 0b0001, 0b0011, 0b0010, 0b1101, 
