bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 8,  33,  28,  16,  195,  148,  100,  210,  2,  128,  64,  19,  48, 
 8, 0b00100001, 0b00011100, 0b00010000, 0b11000011, 0b10010100, 0b01100100, 0b11010010, 0b00000010, 0b10000000, 0b01000000, 0b00010011, 0b00110000, 
 7,  66,  68,  8,  117,  48,  6,  100,  9,  33,  28,  104,  16, 
 7, 0b1000010, 0b1000100, 0b0001000, 0b1110101, 0b0110000, 0b0000110, 0b1100100, 0b0001001, 0b0100001, 0b0011100, 0b1101000, 0b0010000, 
 6,  41,  2,  16,  42,  5,  55,  35,  32,  18,  31,  0,  8, 
 6, 0b101001, 0b000010, 0b010000, 0b101010, 0b000101, 0b110111, 0b100011, 0b100000, 0b010010, 0b011111, 0b000000, 0b001000, 
 5,  14,  13,  4,  27,  1,  26,  2,  6,  11,  21,  0,  8, 
 5, 0b01110, 0b01101, 0b00100, 0b11011, 0b00001, 0b11010, 0b00010, 0b00110, 0b01011, 0b10101, 0b00000, 0b01000, 
 4,  8,  1,  0,  15,  3,  7,  9,  11,  12,  4,  6,  2, 
 4, 0b1000, 0b0001, 0b0000, 0b1111, 0b0011, 0b0111, 0b1001, 0b1011, 0b1100, 0b0100, 0b0110, 0b0010, 
