bits,  st_IOwait,  st_RMACK,  st_START,  st_WMACK,  st_init0,  st_init1,  st_init2,  st_init4,  st_read0,  st_read1,  st_write0, 
 8,  8,  145,  15,  202,  72,  160,  0,  16,  81,  48,  32, 
 8, 0b00001000, 0b10010001, 0b00001111, 0b11001010, 0b01001000, 0b10100000, 0b00000000, 0b00010000, 0b01010001, 0b00110000, 0b00100000, 
 7,  4,  40,  0,  1,  82,  14,  9,  68,  80,  118,  31, 
 7, 0b0000100, 0b0101000, 0b0000000, 0b0000001, 0b1010010, 0b0001110, 0b0001001, 0b1000100, 0b1010000, 0b1110110, 0b0011111, 
 6,  28,  1,  4,  5,  37,  35,  48,  8,  9,  56,  12, 
 6, 0b011100, 0b000001, 0b000100, 0b000101, 0b100101, 0b100011, 0b110000, 0b001000, 0b001001, 0b111000, 0b001100, 
 5,  16,  0,  25,  10,  6,  1,  12,  26,  15,  17,  5, 
 5, 0b10000, 0b00000, 0b11001, 0b01010, 0b00110, 0b00001, 0b01100, 0b11010, 0b01111, 0b10001, 0b00101, 
 4,  11,  2,  5,  1,  6,  9,  3,  8,  0,  14,  10, 
 4, 0b1011, 0b0010, 0b0101, 0b0001, 0b0110, 0b1001, 0b0011, 0b1000, 0b0000, 0b1110, 0b1010, 
