bits,  st_st0,  st_st0_n,  st_st1,  st_st10,  st_st10_n,  st_st11,  st_st11_n,  st_st12,  st_st12_n,  st_st13,  st_st14,  st_st15,  st_st1_n,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st6_n,  st_st7,  st_st8,  st_st8_n,  st_st9, 
 35,  8993515789,  10067257868,  9798838285,  1208891469,  14093791245,  9798826252,  10066737165,  9798818317,  9798830860,  9798105372,  11963083012,  25770735885,  31273658380,  5503871244,  1208940556,  9798854670,  18388760590,  5503859724,  9664609293,  14496446476,  13288486924,  14093596684,  5503858702, 
 35, 0b00011000000011100010100100001101, 0b01011000000011100010101000001100, 0b01001000000011100110100000001101, 0b01001000000011100011100001001101, 0b01001000000011100011000000001101, 0b01001000000011100011100100001100, 0b01011000000001100011100000001101, 0b01001000000011100001101000001101, 0b01001000000011100100101100001100, 0b01001000000000110011100100011100, 0b11001001000011100010100100000100, 0b00000000000011100011100100001101, 0b01001000000011100010100000001100, 0b01001000000011100110100100001100, 0b01001000000011101111100000001100, 0b01001000000011101010100000001110, 0b01001000000011100011100000001110, 0b01001000000011100011110000001100, 0b01000000000011100011110000001101, 0b01100000000011100011100000001100, 0b00011000000011100011100000001100, 0b01001000000010110011100000001100, 0b01001000000011100011100000001110, 
 34,  3758076263,  12348010980,  16642978118,  12884881764,  12884881746,  12348010837,  3758076254,  12347945814,  12348011364,  16642990420,  12582891863,  12884873684,  17179848965,  16642978067,  12876493139,  17171460436,  16634589523,  16642978160,  16374542681,  17179783505,  16978522453,  14763929941,  17163071828, 
 34, 0b11011111111111111011000101100111, 0b11011111111111111011000111100100, 0b11011111111111111011000101000110, 0b11111111111111111011000101100100, 0b11111111111111111011000101010010, 0b11011111111111111011000101010101, 0b11011111111111111011000101011110, 0b11011111111111101011001101010110, 0b11011111111111111011001101100100, 0b11011111111111111110000101010100, 0b11101101111111111011000101010111, 0b11111111111111111001000111010100, 0b11111111111111111011000100000101, 0b11011111111111111011000100010011, 0b11111111011111111011000101010011, 0b11111111011111111011000101010100, 0b11011111011111111011000101010011, 0b11011111111111111011000101110000, 0b11001111111111111011000101011001, 0b11111111111111101011000101010001, 0b11110011111111111011000101010101, 0b01101111111111111011000101010101, 0b11111110111111111011000101010100, 
 33,  4117299135,  8396537790,  3027894207,  4135174078,  3195617215,  4235771839,  4234805167,  4235852991,  8396537279,  8472018367,  4241539071,  8564281279,  3564830655,  3430547391,  7758987199,  3866689471,  4269334462,  4269555646,  4269587901,  3195322303,  3174875071,  3170680735,  3162357694, 
 33, 0b11110101011010001111111110111111, 0b11110100011110001111111110111110, 0b10110100011110011111111110111111, 0b11110110011110011011111110111110, 0b10111110011110010011111110111111, 0b11111100011110001011111110111111, 0b11111100011010011111111110101111, 0b11111100011110011111110010111111, 0b11110100011110001111110110111111, 0b11111000111110001011110110111111, 0b11111100110100001011111111111111, 0b11111110011110001000111110111111, 0b11010100011110101111111110111111, 0b11001100011110011111111110111111, 0b11001110011110001011111110111111, 0b11100110011110001111111110111111, 0b11111110011110001101111110111110, 0b11111110011111000011111110111110, 0b11111110011111001011110110111101, 0b10111110011101001011111110111111, 0b10111101001111001011111110111111, 0b10111100111111001011111110011111, 0b10111100011111011011111110111110, 
 32,  3991994321,  4277205969,  4292931537,  4294241937,  4294029009,  4285595345,  4293973969,  4285648849,  4285722065,  4285591473,  4269080259,  3732733649,  4293947121,  4293951440,  4283531217,  4293935057,  4285693841,  4294098577,  4294483665,  4293934803,  4293983938,  4293979888,  4294110913, 
 32, 0b11101101111100001111111111010001, 0b11111110111100001111101111010001, 0b11111111111000001110111111010001, 0b11111111111101001110111010010001, 0b11111111111100011010111011010001, 0b11111111011100001111111011010001, 0b11111111111100001101011111010001, 0b11111111011100011100111111010001, 0b11111111011100101110110111010001, 0b11111111011100001110111110110001, 0b11111110011101001111111011000011, 0b11011110011111001111111011010001, 0b11111111111100000110111011110001, 0b11111111111100000111111111010000, 0b11111111010100010111111111010001, 0b11111111111100000011111111010001, 0b11111111011100100111111110010001, 0b11111111111100101011111010010001, 0b11111111111110001001111011010001, 0b11111111111100000011111011010011, 0b11111111111100001111111011000010, 0b11111111111100001110111011110000, 0b11111111111100101110111011000001, 
 31,  940250275,  940247219,  940197043,  944393347,  944391394,  940264610,  672089251,  940524720,  940199092,  706430114,  1347112098,  941116579,  403391670,  403392691,  2014003378,  957039666,  990596098,  944458818,  940276738,  1007373315,  940002339,  940723363,  944131234, 
 31, 0b0111000000010110001010010100011, 0b0111000000010110000100010110011, 0b0111000000010100100010010110011, 0b0111000010010100100110010000011, 0b0111000010010100100010011100010, 0b0111000000010110100110010100010, 0b0101000000011110100010010100011, 0b0111000000011110100010010110000, 0b0111000000010100100110010110100, 0b0101010000110110100010010100010, 0b1010000010010110100110010100010, 0b0111000000110000100110010100011, 0b0011000000010110100010010110110, 0b0011000000010110100100010110011, 0b1111000000010110100000010110010, 0b0111001000010110100010000110010, 0b0111011000010110100110000000010, 0b0111000010010110100110001000010, 0b0111000000010110111110000000010, 0b0111100000010110100110000000011, 0b0111000000001110100110000100011, 0b0111000000100100100110010100011, 0b0111000010001100100110010100010, 
 30,  369291008,  486600448,  286453504,  890269440,  357623552,  889382656,  336848640,  554952448,  822210304,  922791680,  889450752,  654505472,  336783232,  335736580,  353035780,  353953536,  890021632,  890283840,  889370176,  889333696,  893413184,  893429512,  894576384, 
 30, 0b010110000000101110111100000000, 0b011101000000001110111100000000, 0b010001000100101110111100000000, 0b110101000100000110111100000000, 0b010101010100001110011100000000, 0b110101000000101110011100000000, 0b010100000100111110011100000000, 0b100001000100111110011100000000, 0b110001000000011110111100000000, 0b110111000000001010111100000000, 0b110101000000111111000100000000, 0b100111000000101111011000000000, 0b010100000100101110011110000000, 0b010100000000101110111100000100, 0b010101000010101110011000000100, 0b010101000110001110011100000000, 0b110101000011001010011100000000, 0b110101000100001010011101000000, 0b110101000000101011011001000000, 0b110101000000100010011111000000, 0b110101010000000110011101000000, 0b110101010000001010011100001000, 0b110101010100100010011100000000, 
 29,  373434399,  374548493,  378677277,  371338269,  379660317,  369305693,  369240253,  370354233,  370288857,  369305942,  369567956,  381823005,  377629773,  311044189,  310454397,  378611789,  372320285,  237185053,  69937245,  235546717,  469904477,  503457949,  503393309, 
 29, 0b10110010000100010100000011111, 0b10110010100110010100000001101, 0b10110100100100010100000011101, 0b10110001000100010110000011101, 0b10110101000010010100000011101, 0b10110000000110010100001011101, 0b10110000000100010100010111101, 0b10110000100110010100000111001, 0b10110000100100010100011011001, 0b10110000000110010100101010110, 0b10110000001110010100011010100, 0b10110110000100010100000011101, 0b10110100000100010110001001101, 0b10010100010100010100001011101, 0b10010100000010010100001111101, 0b10110100100010010100001001101, 0b10110001100010010100000011101, 0b01110001000110010100000011101, 0b00100001010110010100001011101, 0b01110000010100010100001011101, 0b11100000000100010110001011101, 0b11110000000100010100010011101, 0b11110000000010010110000011101, 
 28,  264953861,  264825857,  265184257,  264987904,  264990721,  264923393,  248179713,  214854913,  248408069,  264923148,  264399110,  248163073,  264921603,  256797185,  261777921,  264793601,  130641153,  130769665,  266952961,  132801793,  262302977,  230911233,  264402177, 
