bits,  st_10,  st_st1,  st_st10,  st_st10_n,  st_st11,  st_st11_n,  st_st12,  st_st12_n,  st_st13,  st_st13_n,  st_st14,  st_st14_n,  st_st15,  st_st15_n,  st_st16,  st_st16_n,  st_st17,  st_st17_n,  st_st18,  st_st18_n,  st_st19,  st_st19_n,  st_st1_n,  st_st2,  st_st20,  st_st2_n,  st_st3,  st_st4,  st_st5,  st_st5_n,  st_st6,  st_st6_n,  st_st7,  st_st7_n,  st_st8,  st_st9,  st_st9_n, 
 16,  23609,  56097,  24105,  32513,  28449,  36769,  43811,  52771,  24225,  56355,  31281,  56880,  7971,  40353,  7985,  40833,  15265,  31329,  47937,  62049,  45865,  39593,  56641,  40800,  38817,  32352,  54089,  51041,  48673,  56868,  56417,  40233,  62241,  58915,  64034,  32033,  63649, 
 16, 0b0101110000111001, 0b1101101100100001, 0b0101111000101001, 0b0111111100000001, 0b0110111100100001, 0b1000111110100001, 0b1010101100100011, 0b1100111000100011, 0b0101111010100001, 0b1101110000100011, 0b0111101000110001, 0b1101111000110000, 0b0001111100100011, 0b1001110110100001, 0b0001111100110001, 0b1001111110000001, 0b0011101110100001, 0b0111101001100001, 0b1011101101000001, 0b1111001001100001, 0b1011001100101001, 0b1001101010101001, 0b1101110101000001, 0b1001111101100000, 0b1001011110100001, 0b0111111001100000, 0b1101001101001001, 0b1100011101100001, 0b1011111000100001, 0b1101111000100100, 0b1101110001100001, 0b1001110100101001, 0b1111001100100001, 0b1110011000100011, 0b1111101000100010, 0b0111110100100001, 0b1111100010100001, 
 15,  26256,  28288,  27908,  27408,  26132,  20036,  27654,  19988,  27660,  11796,  15880,  32000,  31760,  27653,  12036,  27400,  30209,  24080,  31752,  30210,  30850,  29313,  18128,  25284,  23200,  13956,  27728,  30272,  31236,  19084,  26148,  30464,  15380,  29956,  19974,  31776,  15492, 
 15, 0b110011010010000, 0b110111010000000, 0b110110100000100, 0b110101100010000, 0b110011000010100, 0b100111001000100, 0b110110000000110, 0b100111000010100, 0b110110000001100, 0b010111000010100, 0b011111000001000, 0b111110100000000, 0b111110000010000, 0b110110000000101, 0b010111100000100, 0b110101100001000, 0b111011000000001, 0b101111000010000, 0b111110000001000, 0b111011000000010, 0b111100010000010, 0b111001010000001, 0b100011011010000, 0b110001011000100, 0b101101010100000, 0b011011010000100, 0b110110001010000, 0b111011001000000, 0b111101000000100, 0b100101010001100, 0b110011000100100, 0b111011100000000, 0b011110000010100, 0b111010100000100, 0b100111000000110, 0b111110000100000, 0b011110010000100, 
 14,  4899,  723,  931,  1937,  882,  1859,  1938,  2835,  1762,  679,  1671,  1690,  3715,  3666,  1622,  5778,  1607,  791,  1175,  1265,  1363,  123,  5330,  4722,  1625,  119,  498,  4337,  1587,  1266,  4275,  5763,  5426,  3888,  8818,  2723,  694, 
 14, 0b01001100100011, 0b00001011010011, 0b00001110100011, 0b00011110010001, 0b00001101110010, 0b00011101000011, 0b00011110010010, 0b00101100010011, 0b00011011100010, 0b00001010100111, 0b00011010000111, 0b00011010011010, 0b00111010000011, 0b00111001010010, 0b00011001010110, 0b01011010010010, 0b00011001000111, 0b00001100010111, 0b00010010010111, 0b00010011110001, 0b00010101010011, 0b00000001111011, 0b01010011010010, 0b01001001110010, 0b00011001011001, 0b00000001110111, 0b00000111110010, 0b01000011110001, 0b00011000110011, 0b00010011110010, 0b01000010110011, 0b01011010000011, 0b01010100110010, 0b00111100110000, 0b10001001110010, 0b00101010100011, 0b00001010110110, 
 13,  6738,  2637,  4693,  4809,  6245,  4301,  111,  2247,  2281,  1133,  2913,  2165,  221,  1740,  365,  1229,  2772,  636,  4812,  1737,  461,  718,  2508,  2261,  1677,  1141,  2172,  2900,  741,  1607,  2676,  6753,  2605,  2284,  1644,  3173,  3777, 
 13, 0b1101001010010, 0b0101001001101, 0b1001001010101, 0b1001011001001, 0b1100001100101, 0b1000011001101, 0b0000001101111, 0b0100011000111, 0b0100011101001, 0b0010001101101, 0b0101101100001, 0b0100001110101, 0b0000011011101, 0b0011011001100, 0b0000101101101, 0b0010011001101, 0b0101011010100, 0b0001001111100, 0b1001011001100, 0b0011011001001, 0b0000111001101, 0b0001011001110, 0b0100111001100, 0b0100011010101, 0b0011010001101, 0b0010001110101, 0b0100001111100, 0b0101101010100, 0b0001011100101, 0b0011001000111, 0b0101001110100, 0b1101001100001, 0b0101000101101, 0b0100011101100, 0b0011001101100, 0b0110001100101, 0b0111011000001, 
 12,  2376,  58,  2086,  53,  2210,  232,  210,  177,  2160,  594,  338,  89,  2067,  523,  2122,  1106,  2089,  267,  305,  240,  169,  616,  2224,  3106,  2092,  2242,  658,  226,  99,  674,  2059,  2130,  736,  562,  147,  2338,  360, 
 12, 0b100101001000, 0b000000111010, 0b100000100110, 0b000000110101, 0b100010100010, 0b000011101000, 0b000011010010, 0b000010110001, 0b100001110000, 0b001001010010, 0b000101010010, 0b000001011001, 0b100000010011, 0b001000001011, 0b100001001010, 0b010001010010, 0b100000101001, 0b000100001011, 0b000100110001, 0b000011110000, 0b000010101001, 0b001001101000, 0b100010110000, 0b110000100010, 0b100000101100, 0b100011000010, 0b001010010010, 0b000011100010, 0b000001100011, 0b001010100010, 0b100000001011, 0b100001010010, 0b001011100000, 0b001000110010, 0b000010010011, 0b100100100010, 0b000101101000, 
