bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st16,  st_st17,  st_st18,  st_st19,  st_st1_n,  st_st2,  st_st20,  st_st21,  st_st22,  st_st23,  st_st24,  st_st25,  st_st26,  st_st27,  st_st28,  st_st29,  st_st3,  st_st30,  st_st31,  st_st32,  st_st33,  st_st34,  st_st35,  st_st36,  st_st37,  st_st38,  st_st39,  st_st4,  st_st40,  st_st41,  st_st42,  st_st43,  st_st44,  st_st45,  st_st46,  st_st47,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 36,  66298839039,  66571141119,  68719148767,  68719369983,  68718427867,  68719423231,  68718161915,  68719177711,  68713148415,  68713185211,  68708990970,  68719460027,  60128755710,  66571468794,  60129541695,  68719476375,  68719198111,  68706893727,  68706893563,  67914170107,  67377299443,  68181557235,  67360521983,  67377102847,  66303426558,  68181491455,  67913121783,  68449992700,  64151879678,  51534888958,  68718886908,  68702699508,  67645734904,  61203283711,  64416120447,  68450836479,  64424504063,  30064770814,  63082332158,  58787364831,  67377298687,  63350767351,  68714758071,  67573907455,  68719279869,  67645734652,  67511517149,  67645726431,  67645693949, 
 36, 0b01101111101101111111111111111111, 0b01111111111100101111111111111111, 0b11111111111110101111111011011111, 0b11111111111111100101111011111111, 0b11111111111011111111111011011011, 0b11111111111111110010111011111111, 0b11111111111010111110111111111011, 0b11111111111110110110111111101111, 0b11111111100111110110111111111111, 0b11111111100111111111111110111011, 0b11111111010111111111111111111010, 0b11111111111111111011111010111011, 0b11111111111100111111111111111110, 0b01111111111101111111111111111010, 0b11111111111111111111111000111111, 0b11111111111111111111111010010111, 0b11111111111110111011111110011111, 0b11111111001111111111111110011111, 0b11111111001111111111111011111011, 0b11001111111111111111111011111011, 0b10101111111111111111111111110011, 0b11011111111011111111111111110011, 0b10101110111111111111111011111111, 0b10101111111111001111111111111111, 0b01101111111111011111111111111110, 0b11011111111011101111111011111111, 0b11001111111011111111111111110111, 0b11101111111011111111111111111100, 0b11101111101111111111111111111110, 0b11111111101101111111111111111110, 0b11111111111101101111111111111100, 0b11111110111111111111111111110100, 0b10111111111111111111111111111000, 0b00111111111111111111111011111111, 0b11111111011111111111111001111111, 0b11101111111111001101111111111111, 0b11111111111111111110101011111111, 0b11111111111111111111111011111110, 0b10101111111111111111111111111110, 0b10101111111111111111111111011111, 0b10101111111111111111110011111111, 0b10111111111111111111111011110111, 0b11111111101101111111111110110111, 0b10111011101101111111111111111111, 0b11111111111111001111111011111101, 0b10111111111111111111111011111100, 0b10110111111111111111111111011101, 0b10111111111111111101111011011111, 0b10111111111111110101111111111101, 
 35,  34342952921,  34342952931,  8589868923,  17095917559,  8589934460,  17163091191,  17179852157,  17163091311,  33806057327,  33806057403,  33806090141,  34342927739,  34342363119,  34342952877,  31121735163,  22529703935,  32193347071,  25209864191,  33803993067,  33805041531,  34358677371,  34337718139,  33821818717,  34358689656,  34358681532,  34339807103,  34341900271,  32194363375,  32195477453,  33017561037,  34073477101,  16894656477,  16995319805,  34358652735,  25768492863,  32212254524,  34358681391,  33822842687,  17178812223,  17179868958,  27917287230,  30063722301,  34342952883,  34342690791,  32212253759,  31674335039,  32194428797,  34342895481,  34208677877, 
 35, 0b11111110111111111101111111011001, 0b11111110111111111101111111100011, 0b11111111111111101111111101111011, 0b11111010111111101111111111110111, 0b11111111111111111111111101111100, 0b11111110111111111111110011110111, 0b11111111111111111011110101111101, 0b11111110111111111111110101101111, 0b11011110111111110111111101101111, 0b11011110111111110111111110111011, 0b11011110111111111111111110011101, 0b11111110111111110111110101111011, 0b11111110111101101101111111101111, 0b11111110111111111101111110101101, 0b00111110111111111111110111111011, 0b00111110110111111111111111111111, 0b01111110110111110111110111111111, 0b11011110100111111111111111111111, 0b11011110110111111111111111101011, 0b11011110111011111111111101111011, 0b11111111111011111100111101111011, 0b11111110101011111111111101111011, 0b11011111111011111111111101011101, 0b11111111111011111111111101111000, 0b11111111111011111101111110111100, 0b11111110110011111101111101111111, 0b11111110111011111100111111101111, 0b01111110111011101111111111101111, 0b01111110111111111111111111001101, 0b10101111111111111111111111001101, 0b11101110111011111111111111101101, 0b11101110111111111111111111011101, 0b11110100111111111111111111111101, 0b11111111111011110110111100111111, 0b11111111111010111111111100111111, 0b01111111111111111111111100111100, 0b11111111111011111101111100101111, 0b11011111111111111001111100111111, 0b11111111111011111101111100111111, 0b11111111111111111111111100011110, 0b01111111111111111111111100111110, 0b11111111111011111111111100111101, 0b11111110111111111101111110110011, 0b11111110111110111101111111100111, 0b01111111111111111111110000111111, 0b01011111111011111111111100111111, 0b01111110111011111111111101111101, 0b11111110111111101111111101111001, 0b11110110111111101111111111110101, 
 34,  12201955270,  12168290246,  12647859176,  4158075616,  12681421728,  4153357280,  4158595888,  4153359152,  4147068704,  12199870242,  11092574178,  11133992739,  12168404946,  11094671302,  2544090922,  11131813674,  11134926626,  11134431010,  11134512946,  11100696371,  11102801715,  11104710451,  11096510259,  11094151095,  11094146998,  11105929011,  2513899323,  3049721662,  3068530494,  3086356238,  3217493774,  12746952454,  12747998086,  11102526395,  8955067322,  2506307518,  3034782651,  11104619451,  11102523319,  15397298103,  15399524275,  11104425979,  12199858086,  16494822318,  2514696107,  11104621547,  12715234280,  12716016608,  12747998176, 
 34, 0b11010111010010110000111111000110, 0b11010101010010010101111111000110, 0b11110001110111110000001111101000, 0b11110111110101110011001011100000, 0b11110011110111110010001110100000, 0b11110111100011110011001111100000, 0b11110111110111110010001100110000, 0b11110111100011110011101100110000, 0b11110111001011110011111100100000, 0b11010111001010110011111100100010, 0b10010101001010110011111111100010, 0b10010111101000110011111100100011, 0b11010101010010110001111111010010, 0b10010101010010110011111111000110, 0b10010111101000111011111100101010, 0b10010111100000011111111100101010, 0b10010111101100010111111100100010, 0b10010111101010011110111100100010, 0b10010111101010110010111100110010, 0b10010101101001110010111100110011, 0b10010101110001110100111100110011, 0b10010101111001000110111100110011, 0b10010101011001110100111100110011, 0b10010101010000110100111110110111, 0b10010101010000110011111110110110, 0b10010101111101110000011100110011, 0b10010101110101110000111100111011, 0b10110101110001110000111100111110, 0b10110110111001100000111100111110, 0b10110111111101100000111100001110, 0b10111111110001110000111100001110, 0b11110111110001110000111100000110, 0b11110111110101110000001110000110, 0b10010101110000110001101110111011, 0b00010101110000110111101110111010, 0b10010101011000110011011110111110, 0b10110100111000110001101110111011, 0b10010101111000110000101110111011, 0b10010101110000110000111110110111, 0b10010101110000000001111110110111, 0b10010101111000100001011110110011, 0b10010101111000000001011111111011, 0b11010111001010110000111110100110, 0b11010111001010110000001110101110, 0b10010101111000110011011110101011, 0b10010101111000110001001111101011, 0b11110101111000110001001111101000, 0b11110101111011110000001111100000, 0b11110111110101110000001111100000, 
 33,  8588872959,  6434049791,  8450440959,  4293909759,  8517582559,  8588868862,  8584560382,  8589769982,  8589766650,  6442414067,  8588873715,  8321396731,  6438244349,  8576290815,  8589897713,  8589897468,  7247720191,  8321396479,  8321494771,  8313044979,  8577282043,  4294897658,  8564701175,  8560570359,  8584687603,  6970867707,  8580399099,  8430452735,  6241026047,  7851671039,  7910260735,  8580300287,  8580496766,  8576237566,  2133852159,  8565817339,  4289724350,  8576303086,  8576303097,  8584687355,  8588619511,  8576040703,  6442413311,  8589897438,  8045715455,  8576262143,  8588828415,  8454627319,  8454659455, 
 33, 0b11111111111011111100110011111111, 0b01111111011111111100111011111111, 0b11110111101011110111111011111111, 0b11111111111011111101110011111111, 0b11111011101011111111111011011111, 0b11111111111011111011110011111110, 0b11111111101011011111111011111110, 0b11111111111111010111110011111110, 0b11111111111111010110111111111010, 0b01111111111111110110111111110011, 0b11111111111011111100111111110011, 0b11101111111111100110111111111011, 0b01111111101111111100111111111101, 0b11111111001011111100111111111111, 0b11111111111111110110111111110001, 0b11111111111111110110111011111100, 0b10101111111111110110111011111111, 0b11101111111111100110111011111111, 0b11101111111111111110111011110011, 0b11101111011111101111111111110011, 0b11111111001111101110111111111011, 0b11111111111111101110111111111010, 0b11111110011111101111011111110111, 0b11111110001111111110111111110111, 0b11111111101011111110111111110011, 0b10011111011111101111111111111011, 0b11111111011011100111111111111011, 0b11110110011111100111111111111111, 0b01110011111111100111111111111111, 0b11010011111111101111110111111111, 0b11010111011111001111111111111111, 0b11111111011011001111110111111111, 0b11111111011011111111110101111110, 0b11111111001011101111111111111110, 0b01111111001011111111111111111111, 0b11111110100011111111111111111011, 0b11111111101011111111111110111110, 0b11111111001011111111111111101110, 0b11111111001011111111111111111001, 0b11111111101011111110111011111011, 0b11111111111010111110111011110111, 0b11111111001010111111111011111111, 0b01111111111111110110110011111111, 0b11111111111111110110111011011110, 0b11011111100011111101111111111111, 0b11111111001011110101111111111111, 0b11111111111011110001111011111111, 0b11110111111011110101111111110111, 0b11110111111011111101110101111111, 
 32,  4283614175,  4287284191,  3423338367,  3261065087,  3460955007,  3328043903,  3461992319,  3965569919,  4238199663,  4288004975,  4278698991,  4019831791,  4289381231,  4283089903,  4019837803,  3887913835,  3887715183,  2008869739,  4156343151,  4158243695,  4280009583,  4292591727,  4292396879,  4279945167,  4278898543,  3824804719,  4084974447,  4217226095,  3142964207,  3139294079,  3009267583,  2740844351,  2992240511,  3877359471,  3877294078,  2064306175,  3944472427,  3944431471,  4279963503,  1864064879,  1863909231,  4078501743,  4283941711,  4283945566,  1662709759,  1662779247,  856424319,  3272343423,  3277453183, 
 32, 0b11111111010100101100001111011111, 0b11111111100010101100001111011111, 0b11001100000010111111111101111111, 0b11000010010111111110011101111111, 0b11001110010010011111101101111111, 0b11000110010111011110101101111111, 0b11001110010110011100111101111111, 0b11101100010111011100101101111111, 0b11111100100111011100101101101111, 0b11111111100101011100001101101111, 0b11111111000001111100001111101111, 0b11101111100110011100001111101111, 0b11111111101010101100001101101111, 0b11111111010010101100001111101111, 0b11101111100110011101101101101011, 0b11100111101111001101101101101011, 0b11100111101110011101001101101111, 0b01110111101111001110101101101011, 0b11110111101111001100001101101111, 0b11110111110110011100001101101111, 0b11111111000110111100001101101111, 0b11111111110110111100000001101111, 0b11111111110110001100011101001111, 0b11111111000110101100011111001111, 0b11111111000010101100111101101111, 0b11100011111110011110001101101111, 0b11110011011110111100001101101111, 0b11111011010111011100001101101111, 0b10111011010101011101001111101111, 0b10111011000111011101001101111111, 0b10110011010111011100011101111111, 0b10100011010111011111011100111111, 0b10110010010110011111011101111111, 0b11100111000110111100111101101111, 0b11100111000110101100111111111110, 0b01111011000010101100111111111111, 0b11101011000110111101111101101011, 0b11101011000110110011111101101111, 0b11111111000110110000111101101111, 0b01101111000110110101111101101111, 0b01101111000110001111111101101111, 0b11110011000110001111111101101111, 0b11111111010101111100001101001111, 0b11111111010101111101001001011110, 0b01100011000110101110111111111111, 0b01100011000110111111111101101111, 0b00110011000010111111111101111111, 0b11000011000010111111111101111111, 0b11000011010110011111011101111111, 
