bits,  st_st0,  st_st0_n,  st_st1,  st_st10,  st_st10_n,  st_st11,  st_st11_n,  st_st12,  st_st12_n,  st_st13,  st_st14,  st_st15,  st_st1_n,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st6_n,  st_st7,  st_st8,  st_st8_n,  st_st9, 
 9,  352,  384,  160,  341,  38,  100,  0,  301,  129,  4,  20,  130,  52,  289,  410,  72,  192,  264,  228,  405,  6,  386,  256, 
 9, 0b101100000, 0b110000000, 0b010100000, 0b101010101, 0b000100110, 0b001100100, 0b000000000, 0b100101101, 0b010000001, 0b000000100, 0b000010100, 0b010000010, 0b000110100, 0b100100001, 0b110011010, 0b001001000, 0b011000000, 0b100001000, 0b011100100, 0b110010101, 0b000000110, 0b110000010, 0b100000000, 
 8,  80,  33,  73,  192,  0,  164,  128,  20,  100,  69,  82,  177,  120,  139,  31,  52,  74,  16,  2,  5,  54,  78,  184, 
 8, 0b01010000, 0b00100001, 0b01001001, 0b11000000, 0b00000000, 0b10100100, 0b10000000, 0b00010100, 0b01100100, 0b01000101, 0b01010010, 0b10110001, 0b01111000, 0b10001011, 0b00011111, 0b00110100, 0b01001010, 0b00010000, 0b00000010, 0b00000101, 0b00110110, 0b01001110, 0b10111000, 
 7,  115,  100,  73,  26,  69,  97,  1,  28,  8,  32,  16,  20,  88,  44,  52,  4,  7,  64,  96,  48,  80,  85,  6, 
 7, 0b1110011, 0b1100100, 0b1001001, 0b0011010, 0b1000101, 0b1100001, 0b0000001, 0b0011100, 0b0001000, 0b0100000, 0b0010000, 0b0010100, 0b1011000, 0b0101100, 0b0110100, 0b0000100, 0b0000111, 0b1000000, 0b1100000, 0b0110000, 0b1010000, 0b1010101, 0b0000110, 
 6,  56,  11,  32,  18,  1,  33,  28,  9,  24,  10,  16,  4,  40,  42,  43,  23,  8,  49,  14,  12,  25,  38,  0, 
 6, 0b111000, 0b001011, 0b100000, 0b010010, 0b000001, 0b100001, 0b011100, 0b001001, 0b011000, 0b001010, 0b010000, 0b000100, 0b101000, 0b101010, 0b101011, 0b010111, 0b001000, 0b110001, 0b001110, 0b001100, 0b011001, 0b100110, 0b000000, 
 5,  14,  25,  1,  18,  24,  22,  13,  26,  6,  10,  20,  4,  0,  23,  12,  5,  9,  11,  29,  21,  3,  28,  8, 
 5, 0b01110, 0b11001, 0b00001, 0b10010, 0b11000, 0b10110, 0b01101, 0b11010, 0b00110, 0b01010, 0b10100, 0b00100, 0b00000, 0b10111, 0b01100, 0b00101, 0b01001, 0b01011, 0b11101, 0b10101, 0b00011, 0b11100, 0b01000, 
