bits,  st_st0,  st_st0_n,  st_st1,  st_st10,  st_st10_n,  st_st11,  st_st11_n,  st_st12,  st_st13,  st_st14,  st_st15,  st_st2,  st_st2_n,  st_st3,  st_st4,  st_st4_n,  st_st5,  st_st5_n,  st_st6,  st_st7,  st_st8,  st_st9,  st_st9_n, 
 9,  264,  228,  192,  160,  52,  352,  384,  72,  4,  20,  130,  341,  38,  256,  100,  0,  301,  129,  410,  289,  405,  6,  386, 
 9, 0b100001000, 0b011100100, 0b011000000, 0b010100000, 0b000110100, 0b101100000, 0b110000000, 0b001001000, 0b000000100, 0b000010100, 0b010000010, 0b101010101, 0b000100110, 0b100000000, 0b001100100, 0b000000000, 0b100101101, 0b010000001, 0b110011010, 0b100100001, 0b110010101, 0b000000110, 0b110000010, 
 8,  128,  162,  52,  14,  72,  65,  32,  196,  18,  17,  34,  76,  10,  58,  235,  98,  16,  0,  24,  56,  9,  64,  96, 
 8, 0b10000000, 0b10100010, 0b00110100, 0b00001110, 0b01001000, 0b01000001, 0b00100000, 0b11000100, 0b00010010, 0b00010001, 0b00100010, 0b01001100, 0b00001010, 0b00111010, 0b11101011, 0b01100010, 0b00010000, 0b00000000, 0b00011000, 0b00111000, 0b00001001, 0b01000000, 0b01100000, 
 7,  17,  66,  54,  107,  40,  13,  33,  76,  21,  0,  42,  64,  3,  4,  97,  104,  18,  32,  44,  52,  20,  51,  71, 
 7, 0b0010001, 0b1000010, 0b0110110, 0b1101011, 0b0101000, 0b0001101, 0b0100001, 0b1001100, 0b0010101, 0b0000000, 0b0101010, 0b1000000, 0b0000011, 0b0000100, 0b1100001, 0b1101000, 0b0010010, 0b0100000, 0b0101100, 0b0110100, 0b0010100, 0b0110011, 0b1000111, 
 6,  3,  33,  20,  24,  48,  1,  30,  57,  0,  10,  8,  61,  35,  54,  5,  17,  32,  16,  21,  12,  6,  40,  53, 
 6, 0b000011, 0b100001, 0b010100, 0b011000, 0b110000, 0b000001, 0b011110, 0b111001, 0b000000, 0b001010, 0b001000, 0b111101, 0b100011, 0b110110, 0b000101, 0b010001, 0b100000, 0b010000, 0b010101, 0b001100, 0b000110, 0b101000, 0b110101, 
 5,  12,  30,  19,  11,  15,  9,  20,  27,  1,  21,  8,  24,  28,  18,  10,  26,  2,  14,  16,  17,  25,  0,  6, 
 5, 0b01100, 0b11110, 0b10011, 0b01011, 0b01111, 0b01001, 0b10100, 0b11011, 0b00001, 0b10101, 0b01000, 0b11000, 0b11100, 0b10010, 0b01010, 0b11010, 0b00010, 0b01110, 0b10000, 0b10001, 0b11001, 0b00000, 0b00110, 
