bits,  st_st0,  st_st1,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 12,  1920,  792,  2073,  2832,  1297,  368,  594,  1556,  657,  833, 
 12, 0b011110000000, 0b001100011000, 0b100000011001, 0b101100010000, 0b010100010001, 0b000101110000, 0b001001010010, 0b011000010100, 0b001010010001, 0b001101000001, 
 11,  1632,  1796,  771,  1824,  840,  452,  1728,  898,  526,  708, 
 11, 0b11001100000, 0b11100000100, 0b01100000011, 0b11100100000, 0b01101001000, 0b00111000100, 0b11011000000, 0b01110000010, 0b01000001110, 0b01011000100, 
 10,  834,  298,  30,  408,  780,  108,  368,  329,  263,  550, 
 10, 0b1101000010, 0b0100101010, 0b0000011110, 0b0110011000, 0b1100001100, 0b0001101100, 0b0101110000, 0b0101001001, 0b0100000111, 0b1000100110, 
 9,  393,  323,  294,  297,  163,  197,  210,  27,  305,  480, 
 9, 0b110001001, 0b101000011, 0b100100110, 0b100101001, 0b010100011, 0b011000101, 0b011010010, 0b000011011, 0b100110001, 0b111100000, 
 8,  226,  113,  45,  149,  54,  106,  201,  71,  147,  43, 
 8, 0b11100010, 0b01110001, 0b00101101, 0b10010101, 0b00110110, 0b01101010, 0b11001001, 0b01000111, 0b10010011, 0b00101011, 
 7,  92,  105,  71,  108,  114,  78,  116,  39,  85,  27, 
 7, 0b1011100, 0b1101001, 0b1000111, 0b1101100, 0b1110010, 0b1001110, 0b1110100, 0b0100111, 0b1010101, 0b0011011, 
