bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 12,  1005,  3817,  3946,  4044,  3033,  3501,  3886,  1020,  2812,  2990,  1774,  1886,  1006,  3045,  2895,  4035, 
 12, 0b001111101101, 0b111011101001, 0b111101101010, 0b111111001100, 0b101111011001, 0b110110101101, 0b111100101110, 0b001111111100, 0b101011111100, 0b101110101110, 0b011011101110, 0b011101011110, 0b001111101110, 0b101111100101, 0b101101001111, 0b111111000011, 
 11,  255,  879,  1935,  987,  1879,  1515,  2040,  1275,  1823,  951,  1991,  1631,  703,  893,  1997,  2006, 
 11, 0b00011111111, 0b01101101111, 0b11110001111, 0b01111011011, 0b11101010111, 0b10111101011, 0b11111111000, 0b10011111011, 0b11100011111, 0b01110110111, 0b11111000111, 0b11001011111, 0b01010111111, 0b01101111101, 0b11111001101, 0b11111010110, 
 10,  524,  196,  176,  21,  548,  208,  259,  274,  592,  641,  321,  521,  784,  515,  560,  44, 
 10, 0b1000001100, 0b0011000100, 0b0010110000, 0b0000010101, 0b1000100100, 0b0011010000, 0b0100000011, 0b0100010010, 0b1001010000, 0b1010000001, 0b0101000001, 0b1000001001, 0b1100010000, 0b1000000011, 0b1000110000, 0b0000101100, 
 9,  229,  451,  358,  107,  334,  93,  248,  313,  217,  61,  155,  339,  94,  302,  31,  174, 
 9, 0b011100101, 0b111000011, 0b101100110, 0b001101011, 0b101001110, 0b001011101, 0b011111000, 0b100111001, 0b011011001, 0b000111101, 0b010011011, 0b101010011, 0b001011110, 0b100101110, 0b000011111, 0b010101110, 
 8,  194,  137,  176,  88,  19,  11,  148,  42,  196,  67,  224,  145,  41,  100,  50,  21, 
 8, 0b11000010, 0b10001001, 0b10110000, 0b01011000, 0b00010011, 0b00001011, 0b10010100, 0b00101010, 0b11000100, 0b01000011, 0b11100000, 0b10010001, 0b00101001, 0b01100100, 0b00110010, 0b00010101, 
 7,  97,  70,  88,  13,  81,  84,  42,  19,  26,  35,  52,  104,  67,  49,  100,  22, 
 7, 0b1100001, 0b1000110, 0b1011000, 0b0001101, 0b1010001, 0b1010100, 0b0101010, 0b0010011, 0b0011010, 0b0100011, 0b0110100, 0b1101000, 0b1000011, 0b0110001, 0b1100100, 0b0010110, 
