bits,  st_state_1,  st_state_10,  st_state_11,  st_state_12,  st_state_13,  st_state_14,  st_state_15,  st_state_16,  st_state_17,  st_state_18,  st_state_19,  st_state_2,  st_state_20,  st_state_21,  st_state_22,  st_state_23,  st_state_24,  st_state_25,  st_state_26,  st_state_27,  st_state_3,  st_state_4,  st_state_5,  st_state_6,  st_state_7,  st_state_8,  st_state_9, 
 13,  528,  3072,  1025,  257,  4098,  288,  1032,  1040,  80,  34,  4100,  66,  514,  1152,  192,  2176,  144,  272,  2064,  129,  12,  640,  2049,  4097,  320,  513,  1028, 
 13, 0b0001000010000, 0b0110000000000, 0b0010000000001, 0b0000100000001, 0b1000000000010, 0b0000100100000, 0b0010000001000, 0b0010000010000, 0b0000001010000, 0b0000000100010, 0b1000000000100, 0b0000001000010, 0b0001000000010, 0b0010010000000, 0b0000011000000, 0b0100010000000, 0b0000010010000, 0b0000100010000, 0b0100000010000, 0b0000010000001, 0b0000000001100, 0b0001010000000, 0b0100000000001, 0b1000000000001, 0b0000101000000, 0b0001000000001, 0b0010000000100, 
 12,  24,  384,  514,  132,  2064,  2049,  1026,  10,  520,  2050,  513,  516,  1280,  258,  20,  192,  288,  144,  68,  160,  320,  640,  33,  40,  36,  136,  66, 
 12, 0b000000011000, 0b000110000000, 0b001000000010, 0b000010000100, 0b100000010000, 0b100000000001, 0b010000000010, 0b000000001010, 0b001000001000, 0b100000000010, 0b001000000001, 0b001000000100, 0b010100000000, 0b000100000010, 0b000000010100, 0b000011000000, 0b000100100000, 0b000010010000, 0b000001000100, 0b000010100000, 0b000101000000, 0b001010000000, 0b000000100001, 0b000000101000, 0b000000100100, 0b000010001000, 0b000001000010, 
 11,  1966,  1003,  751,  2034,  1275,  2040,  1980,  509,  1405,  1020,  759,  1014,  894,  1971,  1013,  1662,  891,  927,  1726,  1526,  1018,  1406,  831,  447,  2022,  765,  1005, 
 11, 0b11110101110, 0b01111101011, 0b01011101111, 0b11111110010, 0b10011111011, 0b11111111000, 0b11110111100, 0b00111111101, 0b10101111101, 0b01111111100, 0b01011110111, 0b01111110110, 0b01101111110, 0b11110110011, 0b01111110101, 0b11001111110, 0b01101111011, 0b01110011111, 0b11010111110, 0b10111110110, 0b01111111010, 0b10101111110, 0b01100111111, 0b00110111111, 0b11111100110, 0b01011111101, 0b01111101101, 
 10,  897,  561,  277,  464,  660,  664,  308,  562,  114,  312,  785,  523,  113,  593,  390,  147,  525,  282,  340,  848,  432,  864,  291,  786,  338,  780,  281, 
 10, 0b1110000001, 0b1000110001, 0b0100010101, 0b0111010000, 0b1010010100, 0b1010011000, 0b0100110100, 0b1000110010, 0b0001110010, 0b0100111000, 0b1100010001, 0b1000001011, 0b0001110001, 0b1001010001, 0b0110000110, 0b0010010011, 0b1000001101, 0b0100011010, 0b0101010100, 0b1101010000, 0b0110110000, 0b1101100000, 0b0100100011, 0b1100010010, 0b0101010010, 0b1100001100, 0b0100011001, 
 9,  262,  265,  336,  19,  386,  26,  97,  176,  162,  289,  193,  76,  134,  98,  200,  148,  70,  25,  11,  145,  67,  38,  133,  324,  13,  296,  52, 
 9, 0b100000110, 0b100001001, 0b101010000, 0b000010011, 0b110000010, 0b000011010, 0b001100001, 0b010110000, 0b010100010, 0b100100001, 0b011000001, 0b001001100, 0b010000110, 0b001100010, 0b011001000, 0b010010100, 0b001000110, 0b000011001, 0b000001011, 0b010010001, 0b001000011, 0b000100110, 0b010000101, 0b101000100, 0b000001101, 0b100101000, 0b000110100, 
 8,  89,  58,  195,  240,  166,  78,  51,  156,  120,  170,  147,  23,  85,  197,  139,  43,  141,  90,  15,  101,  232,  102,  210,  45,  165,  60,  99, 
 8, 0b01011001, 0b00111010, 0b11000011, 0b11110000, 0b10100110, 0b01001110, 0b00110011, 0b10011100, 0b01111000, 0b10101010, 0b10010011, 0b00010111, 0b01010101, 0b11000101, 0b10001011, 0b00101011, 0b10001101, 0b01011010, 0b00001111, 0b01100101, 0b11101000, 0b01100110, 0b11010010, 0b00101101, 0b10100101, 0b00111100, 0b01100011, 
