bits,  st_IOwait,  st_RMACK,  st_START,  st_WMACK,  st_init0,  st_init1,  st_init2,  st_init4,  st_read0,  st_read1,  st_write0, 
 12,  235,  3273,  243,  1253,  603,  1737,  2265,  1272,  1230,  2506,  246, 
 12, 0b000011101011, 0b110011001001, 0b000011110011, 0b010011100101, 0b001001011011, 0b011011001001, 0b100011011001, 0b010011111000, 0b010011001110, 0b100111001010, 0b000011110110, 
 11,  691,  1594,  311,  1579,  1083,  190,  826,  821,  822,  1008,  1690, 
 11, 0b01010110011, 0b11000111010, 0b00100110111, 0b11000101011, 0b10000111011, 0b00010111110, 0b01100111010, 0b01100110101, 0b01100110110, 0b01111110000, 0b11010011010, 
 10,  533,  900,  23,  278,  284,  600,  582,  720,  325,  92,  401, 
 10, 0b1000010101, 0b1110000100, 0b0000010111, 0b0100010110, 0b0100011100, 0b1001011000, 0b1001000110, 0b1011010000, 0b0101000101, 0b0001011100, 0b0110010001, 
 9,  83,  281,  240,  330,  195,  154,  306,  450,  15,  326,  340, 
 9, 0b001010011, 0b100011001, 0b011110000, 0b101001010, 0b011000011, 0b010011010, 0b100110010, 0b111000010, 0b000001111, 0b101000110, 0b101010100, 
 8,  101,  149,  39,  195,  58,  172,  120,  29,  15,  106,  141, 
 8, 0b01100101, 0b10010101, 0b00100111, 0b11000011, 0b00111010, 0b10101100, 0b01111000, 0b00011101, 0b00001111, 0b01101010, 0b10001101, 
 7,  70,  97,  14,  44,  69,  52,  26,  35,  13,  19,  73, 
 7, 0b1000110, 0b1100001, 0b0001110, 0b0101100, 0b1000101, 0b0110100, 0b0011010, 0b0100011, 0b0001101, 0b0010011, 0b1001001, 
 6,  35,  13,  7,  14,  49,  22,  25,  44,  26,  52,  21, 
 6, 0b100011, 0b001101, 0b000111, 0b001110, 0b110001, 0b010110, 0b011001, 0b101100, 0b011010, 0b110100, 0b010101, 
