bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st16,  st_st17,  st_st18,  st_st19,  st_st2,  st_st20,  st_st21,  st_st22,  st_st23,  st_st24,  st_st25,  st_st26,  st_st27,  st_st28,  st_st29,  st_st3,  st_st30,  st_st31,  st_st32,  st_st33,  st_st34,  st_st35,  st_st36,  st_st37,  st_st38,  st_st39,  st_st4,  st_st40,  st_st41,  st_st42,  st_st43,  st_st44,  st_st45,  st_st46,  st_st47,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 14,  13073,  13124,  3715,  6450,  1587,  4662,  12849,  13362,  13104,  10928,  13008,  9016,  4976,  9994,  9507,  9516,  9584,  14448,  12348,  7212,  3880,  4332,  4653,  6705,  2364,  4460,  1508,  3748,  3619,  1127,  9231,  9270,  7490,  2375,  14888,  6512,  13424,  7472,  5906,  5203,  13409,  15232,  2947,  13354,  13506,  13827,  1803,  1842, 
 14, 0b11001100010001, 0b11001101000100, 0b00111010000011, 0b01100100110010, 0b00011000110011, 0b01001000110110, 0b11001000110001, 0b11010000110010, 0b11001100110000, 0b10101010110000, 0b11001011010000, 0b10001100111000, 0b01001101110000, 0b10011100001010, 0b10010100100011, 0b10010100101100, 0b10010101110000, 0b11100001110000, 0b11000000111100, 0b01110000101100, 0b00111100101000, 0b01000011101100, 0b01001000101101, 0b01101000110001, 0b00100100111100, 0b01000101101100, 0b00010111100100, 0b00111010100100, 0b00111000100011, 0b00010001100111, 0b10010000001111, 0b10010000110110, 0b01110101000010, 0b00100101000111, 0b11101000101000, 0b01100101110000, 0b11010001110000, 0b01110100110000, 0b01011100010010, 0b01010001010011, 0b11010001100001, 0b11101110000000, 0b00101110000011, 0b11010000101010, 0b11010011000010, 0b11011000000011, 0b00011100001011, 0b00011100110010, 
 13,  2152,  312,  226,  3075,  2130,  1794,  2584,  658,  4628,  6162,  2570,  6657,  680,  2055,  3137,  1793,  6273,  2083,  6240,  2092,  298,  120,  3168,  360,  353,  169,  712,  4620,  1292,  5640,  3586,  3084,  418,  676,  5160,  4320,  2224,  308,  101,  708,  2696,  2132,  4688,  108,  736,  594,  4738,  7680, 
 13, 0b0100001101000, 0b0000100111000, 0b0000011100010, 0b0110000000011, 0b0100001010010, 0b0011100000010, 0b0101000011000, 0b0001010010010, 0b1001000010100, 0b1100000010010, 0b0101000001010, 0b1101000000001, 0b0001010101000, 0b0100000000111, 0b0110001000001, 0b0011100000001, 0b1100010000001, 0b0100000100011, 0b1100001100000, 0b0100000101100, 0b0000100101010, 0b0000001111000, 0b0110001100000, 0b0000101101000, 0b0000101100001, 0b0000010101001, 0b0001011001000, 0b1001000001100, 0b0010100001100, 0b1011000001000, 0b0111000000010, 0b0110000001100, 0b0000110100010, 0b0001010100100, 0b1010000101000, 0b1000011100000, 0b0100010110000, 0b0000100110100, 0b0000001100101, 0b0001011000100, 0b0101010001000, 0b0100001010100, 0b1001001010000, 0b0000001101100, 0b0001011100000, 0b0001001010010, 0b1001010000010, 0b1111000000000, 
 12,  562,  2848,  3232,  708,  674,  774,  39,  676,  150,  51,  593,  1328,  3600,  1043,  579,  1570,  85,  594,  568,  2640,  2321,  281,  538,  2818,  2160,  92,  15,  83,  547,  3075,  523,  99,  1076,  1031,  326,  2340,  1824,  2352,  2369,  2073,  3105,  533,  340,  329,  293,  267,  3329,  1601, 
 12, 0b001000110010, 0b101100100000, 0b110010100000, 0b001011000100, 0b001010100010, 0b001100000110, 0b000000100111, 0b001010100100, 0b000010010110, 0b000000110011, 0b001001010001, 0b010100110000, 0b111000010000, 0b010000010011, 0b001001000011, 0b011000100010, 0b000001010101, 0b001001010010, 0b001000111000, 0b101001010000, 0b100100010001, 0b000100011001, 0b001000011010, 0b101100000010, 0b100001110000, 0b000001011100, 0b000000001111, 0b000001010011, 0b001000100011, 0b110000000011, 0b001000001011, 0b000001100011, 0b010000110100, 0b010000000111, 0b000101000110, 0b100100100100, 0b011100100000, 0b100100110000, 0b100101000001, 0b100000011001, 0b110000100001, 0b001000010101, 0b000101010100, 0b000101001001, 0b000100100101, 0b000100001011, 0b110100000001, 0b011001000001, 
 11,  563,  355,  738,  1126,  806,  1194,  1606,  1159,  1302,  295,  835,  171,  618,  211,  244,  434,  1221,  837,  109,  1549,  1574,  122,  1562,  566,  604,  31,  310,  484,  214,  1364,  405,  689,  227,  79,  1798,  1603,  626,  613,  789,  61,  213,  1543,  662,  1921,  659,  678,  696,  182, 
 11, 0b01000110011, 0b00101100011, 0b01011100010, 0b10001100110, 0b01100100110, 0b10010101010, 0b11001000110, 0b10010000111, 0b10100010110, 0b00100100111, 0b01101000011, 0b00010101011, 0b01001101010, 0b00011010011, 0b00011110100, 0b00110110010, 0b10011000101, 0b01101000101, 0b00001101101, 0b11000001101, 0b11000100110, 0b00001111010, 0b11000011010, 0b01000110110, 0b01001011100, 0b00000011111, 0b00100110110, 0b00111100100, 0b00011010110, 0b10101010100, 0b00110010101, 0b01010110001, 0b00011100011, 0b00001001111, 0b11100000110, 0b11001000011, 0b01001110010, 0b01001100101, 0b01100010101, 0b00000111101, 0b00011010101, 0b11000000111, 0b01010010110, 0b11110000001, 0b01010010011, 0b01010100110, 0b01010111000, 0b00010110110, 
 10,  401,  291,  705,  840,  519,  106,  53,  312,  54,  120,  298,  553,  816,  593,  101,  564,  232,  609,  586,  833,  71,  658,  900,  778,  43,  293,  225,  170,  27,  387,  774,  960,  864,  99,  75,  226,  216,  588,  904,  139,  771,  688,  808,  712,  792,  526,  594,  802, 
 10, 0b0110010001, 0b0100100011, 0b1011000001, 0b1101001000, 0b1000000111, 0b0001101010, 0b0000110101, 0b0100111000, 0b0000110110, 0b0001111000, 0b0100101010, 0b1000101001, 0b1100110000, 0b1001010001, 0b0001100101, 0b1000110100, 0b0011101000, 0b1001100001, 0b1001001010, 0b1101000001, 0b0001000111, 0b1010010010, 0b1110000100, 0b1100001010, 0b0000101011, 0b0100100101, 0b0011100001, 0b0010101010, 0b0000011011, 0b0110000011, 0b1100000110, 0b1111000000, 0b1101100000, 0b0001100011, 0b0001001011, 0b0011100010, 0b0011011000, 0b1001001100, 0b1110001000, 0b0010001011, 0b1100000011, 0b1010110000, 0b1100101000, 0b1011001000, 0b1100011000, 0b1000001110, 0b1001010010, 0b1100100010, 
 9,  197,  75,  78,  106,  360,  267,  204,  30,  108,  312,  89,  116,  353,  198,  141,  177,  420,  169,  216,  281,  464,  170,  456,  418,  180,  120,  284,  23,  269,  401,  344,  424,  57,  92,  150,  156,  77,  300,  102,  178,  408,  232,  153,  275,  139,  46,  396,  166, 
 9, 0b011000101, 0b001001011, 0b001001110, 0b001101010, 0b101101000, 0b100001011, 0b011001100, 0b000011110, 0b001101100, 0b100111000, 0b001011001, 0b001110100, 0b101100001, 0b011000110, 0b010001101, 0b010110001, 0b110100100, 0b010101001, 0b011011000, 0b100011001, 0b111010000, 0b010101010, 0b111001000, 0b110100010, 0b010110100, 0b001111000, 0b100011100, 0b000010111, 0b100001101, 0b110010001, 0b101011000, 0b110101000, 0b000111001, 0b001011100, 0b010010110, 0b010011100, 0b001001101, 0b100101100, 0b001100110, 0b010110010, 0b110011000, 0b011101000, 0b010011001, 0b100010011, 0b010001011, 0b000101110, 0b110001100, 0b010100110, 
 8,  202,  184,  60,  166,  228,  177,  210,  27,  71,  139,  150,  45,  114,  113,  29,  180,  54,  165,  142,  39,  172,  197,  83,  225,  195,  106,  154,  212,  78,  23,  153,  15,  43,  90,  149,  77,  46,  141,  85,  105,  209,  58,  163,  101,  232,  57,  216,  86, 
 8, 0b11001010, 0b10111000, 0b00111100, 0b10100110, 0b11100100, 0b10110001, 0b11010010, 0b00011011, 0b01000111, 0b10001011, 0b10010110, 0b00101101, 0b01110010, 0b01110001, 0b00011101, 0b10110100, 0b00110110, 0b10100101, 0b10001110, 0b00100111, 0b10101100, 0b11000101, 0b01010011, 0b11100001, 0b11000011, 0b01101010, 0b10011010, 0b11010100, 0b01001110, 0b00010111, 0b10011001, 0b00001111, 0b00101011, 0b01011010, 0b10010101, 0b01001101, 0b00101110, 0b10001101, 0b01010101, 0b01101001, 0b11010001, 0b00111010, 0b10100011, 0b01100101, 0b11101000, 0b00111001, 0b11011000, 0b01010110, 
