bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st16,  st_st17,  st_st18,  st_st19,  st_st2,  st_st20,  st_st21,  st_st22,  st_st23,  st_st24,  st_st25,  st_st26,  st_st27,  st_st28,  st_st29,  st_st3,  st_st30,  st_st31,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 13,  538,  6658,  4628,  6161,  1283,  4124,  4196,  5160,  1112,  4180,  1556,  1073,  4625,  1232,  1808,  771,  1091,  4115,  2130,  2055,  1035,  3201,  3082,  2640,  2067,  786,  706,  5138,  6168,  4362,  5129,  1539, 
 13, 0b0001000011010, 0b1101000000010, 0b1001000010100, 0b1100000010001, 0b0010100000011, 0b1000000011100, 0b1000001100100, 0b1010000101000, 0b0010001011000, 0b1000001010100, 0b0011000010100, 0b0010000110001, 0b1001000010001, 0b0010011010000, 0b0011100010000, 0b0001100000011, 0b0010001000011, 0b1000000010011, 0b0100001010010, 0b0100000000111, 0b0010000001011, 0b0110010000001, 0b0110000001010, 0b0101001010000, 0b0100000010011, 0b0001100010010, 0b0001011000010, 0b1010000010010, 0b1100000011000, 0b1000100001010, 0b1010000001001, 0b0011000000011, 
 12,  1275,  1743,  1391,  2430,  3891,  3485,  3982,  3694,  3855,  3687,  3446,  3766,  3795,  3863,  3422,  2554,  3315,  3449,  3293,  3539,  1247,  2782,  3291,  2003,  4056,  3867,  1502,  3135,  255,  2491,  3322,  3287, 
 12, 0b010011111011, 0b011011001111, 0b010101101111, 0b100101111110, 0b111100110011, 0b110110011101, 0b111110001110, 0b111001101110, 0b111100001111, 0b111001100111, 0b110101110110, 0b111010110110, 0b111011010011, 0b111100010111, 0b110101011110, 0b100111111010, 0b110011110011, 0b110101111001, 0b110011011101, 0b110111010011, 0b010011011111, 0b101011011110, 0b110011011011, 0b011111010011, 0b111111011000, 0b111100011011, 0b010111011110, 0b110000111111, 0b000011111111, 0b100110111011, 0b110011111010, 0b110011010111, 
 11,  620,  1140,  1832,  805,  1798,  333,  206,  157,  1196,  1417,  1173,  1113,  566,  59,  271,  409,  809,  625,  1109,  1114,  93,  587,  604,  94,  286,  1180,  1101,  1549,  1193,  1700,  1317,  789, 
 11, 0b01001101100, 0b10001110100, 0b11100101000, 0b01100100101, 0b11100000110, 0b00101001101, 0b00011001110, 0b00010011101, 0b10010101100, 0b10110001001, 0b10010010101, 0b10001011001, 0b01000110110, 0b00000111011, 0b00100001111, 0b00110011001, 0b01100101001, 0b01001110001, 0b10001010101, 0b10001011010, 0b00001011101, 0b01001001011, 0b01001011100, 0b00001011110, 0b00100011110, 0b10010011100, 0b10001001101, 0b11000001101, 0b10010101001, 0b11010100100, 0b10100100101, 0b01100010101, 
 10,  553,  424,  833,  816,  554,  23,  78,  282,  75,  326,  802,  643,  664,  550,  531,  113,  312,  106,  523,  616,  674,  394,  449,  792,  579,  226,  897,  291,  778,  360,  610,  90, 
 10, 0b1000101001, 0b0110101000, 0b1101000001, 0b1100110000, 0b1000101010, 0b0000010111, 0b0001001110, 0b0100011010, 0b0001001011, 0b0101000110, 0b1100100010, 0b1010000011, 0b1010011000, 0b1000100110, 0b1000010011, 0b0001110001, 0b0100111000, 0b0001101010, 0b1000001011, 0b1001101000, 0b1010100010, 0b0110001010, 0b0111000001, 0b1100011000, 0b1001000011, 0b0011100010, 0b1110000001, 0b0100100011, 0b1100001010, 0b0101101000, 0b1001100010, 0b0001011010, 
 9,  11,  88,  280,  262,  50,  276,  38,  69,  41,  7,  137,  35,  296,  386,  352,  273,  416,  208,  74,  268,  290,  321,  25,  21,  133,  392,  70,  44,  324,  134,  224,  289, 
 9, 0b000001011, 0b001011000, 0b100011000, 0b100000110, 0b000110010, 0b100010100, 0b000100110, 0b001000101, 0b000101001, 0b000000111, 0b010001001, 0b000100011, 0b100101000, 0b110000010, 0b101100000, 0b100010001, 0b110100000, 0b011010000, 0b001001010, 0b100001100, 0b100100010, 0b101000001, 0b000011001, 0b000010101, 0b010000101, 0b110001000, 0b001000110, 0b000101100, 0b101000100, 0b010000110, 0b011100000, 0b100100001, 
 8,  92,  46,  102,  163,  15,  51,  45,  204,  120,  209,  116,  197,  71,  166,  240,  58,  216,  114,  177,  60,  141,  184,  29,  23,  101,  78,  75,  150,  53,  83,  202,  27, 
 8, 0b01011100, 0b00101110, 0b01100110, 0b10100011, 0b00001111, 0b00110011, 0b00101101, 0b11001100, 0b01111000, 0b11010001, 0b01110100, 0b11000101, 0b01000111, 0b10100110, 0b11110000, 0b00111010, 0b11011000, 0b01110010, 0b10110001, 0b00111100, 0b10001101, 0b10111000, 0b00011101, 0b00010111, 0b01100101, 0b01001110, 0b01001011, 0b10010110, 0b00110101, 0b01010011, 0b11001010, 0b00011011, 
 7,  53,  89,  105,  58,  85,  23,  114,  75,  46,  77,  27,  60,  15,  101,  92,  106,  30,  116,  51,  71,  113,  29,  90,  99,  57,  83,  108,  102,  43,  120,  45,  78, 
 7, 0b0110101, 0b1011001, 0b1101001, 0b0111010, 0b1010101, 0b0010111, 0b1110010, 0b1001011, 0b0101110, 0b1001101, 0b0011011, 0b0111100, 0b0001111, 0b1100101, 0b1011100, 0b1101010, 0b0011110, 0b1110100, 0b0110011, 0b1000111, 0b1110001, 0b0011101, 0b1011010, 0b1100011, 0b0111001, 0b1010011, 0b1101100, 0b1100110, 0b0101011, 0b1111000, 0b0101101, 0b1001110, 
