bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 12,  1006,  1886,  3817,  1005,  1774,  3501,  3886,  1020,  3946,  4035,  4044,  3033,  2990,  2812,  3045,  2895, 
 12, 0b001111101110, 0b011101011110, 0b111011101001, 0b001111101101, 0b011011101110, 0b110110101101, 0b111100101110, 0b001111111100, 0b111101101010, 0b111111000011, 0b111111001100, 0b101111011001, 0b101110101110, 0b101011111100, 0b101111100101, 0b101101001111, 
 11,  703,  1631,  879,  255,  1991,  1515,  2040,  1275,  1935,  2006,  987,  1879,  951,  1823,  893,  1997, 
 11, 0b01010111111, 0b11001011111, 0b01101101111, 0b00011111111, 0b11111000111, 0b10111101011, 0b11111111000, 0b10011111011, 0b11110001111, 0b11111010110, 0b01111011011, 0b11101010111, 0b01110110111, 0b11100011111, 0b01101111101, 0b11111001101, 
 10,  784,  521,  196,  524,  321,  208,  259,  274,  176,  44,  21,  548,  641,  592,  515,  560, 
 10, 0b1100010000, 0b1000001001, 0b0011000100, 0b1000001100, 0b0101000001, 0b0011010000, 0b0100000011, 0b0100010010, 0b0010110000, 0b0000101100, 0b0000010101, 0b1000100100, 0b1010000001, 0b1001010000, 0b1000000011, 0b1000110000, 
 9,  94,  339,  451,  229,  155,  93,  248,  313,  358,  174,  107,  334,  61,  217,  302,  31, 
 9, 0b001011110, 0b101010011, 0b111000011, 0b011100101, 0b010011011, 0b001011101, 0b011111000, 0b100111001, 0b101100110, 0b010101110, 0b001101011, 0b101001110, 0b000111101, 0b011011001, 0b100101110, 0b000011111, 
 8,  41,  145,  137,  194,  224,  11,  148,  42,  176,  21,  88,  19,  67,  196,  100,  50, 
 8, 0b00101001, 0b10010001, 0b10001001, 0b11000010, 0b11100000, 0b00001011, 0b10010100, 0b00101010, 0b10110000, 0b00010101, 0b01011000, 0b00010011, 0b01000011, 0b11000100, 0b01100100, 0b00110010, 
 7,  67,  104,  70,  97,  52,  84,  42,  19,  88,  22,  13,  81,  35,  26,  49,  100, 
 7, 0b1000011, 0b1101000, 0b1000110, 0b1100001, 0b0110100, 0b1010100, 0b0101010, 0b0010011, 0b1011000, 0b0010110, 0b0001101, 0b1010001, 0b0100011, 0b0011010, 0b0110001, 0b1100100, 
