bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 34,  6439220723,  6426637823,  8452511479,  6439278323,  6426621919,  15016556531,  5889816567,  7768881143,  8045311991,  17138562551,  12848018935,  4157552119, 
 34, 0b01111111110011101011010111110011, 0b01111111000011101011010111111111, 0b11110111110011110001011011110111, 0b01111111110011111001011011110011, 0b01111111000011100111011111011111, 0b01111111000011100111011111110011, 0b01011111000011110111011111110111, 0b11001111000011111011011111110111, 0b11011111100010011011011111110111, 0b11111101100010011011010111110111, 0b11111101110011010011010111110111, 0b11110111110011110011010111110111, 
 33,  589285491,  4884203763,  4883678963,  4883727475,  5151588599,  4346282999,  5151589364,  5164171508,  869139444,  869139379,  860292083,  2739341043, 
 33, 0b00100011000111111100100001110011, 0b00100011000111110000100011110011, 0b00100011000101110000011011110011, 0b00100011000101111100010001110011, 0b00110011000011110000000011110111, 0b00000011000011110000001111110111, 0b00110011000011110000001111110100, 0b00110011110011110000000011110100, 0b00110011110011100000001111110100, 0b00110011110011100000001110110011, 0b00110011010001110000001111110011, 0b10100011010001110000011011110011, 
 32,  4110357746,  3891991794,  4143386874,  4141290994,  3875214585,  3808365817,  603917565,  670961397,  670187253,  653672157,  922107129,  4143330552, 
 32, 0b11110100111111110001010011110010, 0b11100111111110110001010011110010, 0b11110110111101110001000011111010, 0b11110110110101110001010111110010, 0b11100110111110110001010011111001, 0b11100010111111110000110011111001, 0b00100011111111110000110011111101, 0b00100111111111100000111011110101, 0b00100111111100100011111011110101, 0b00100110111101100011111011011101, 0b00110110111101100011110011111001, 0b11110110111101100011010011111000, 
 31,  117908996,  117900302,  50799749,  117908616,  50802702,  17240591,  17046063,  18094254,  51779746,  117837987,  50745483,  50794631, 
 31, 0b0000111000001110010011000000100, 0b0000111000001110000010000001110, 0b0000011000001110010010010000101, 0b0000111000001110010010010001000, 0b0000011000001110011000000001110, 0b0000001000001110001001000001111, 0b0000001000001000001101000101111, 0b0000001000101000001100010101110, 0b0000011000101100001100010100010, 0b0000111000001100001000010100011, 0b0000011000001100101000010001011, 0b0000011000001110001000010000111, 
 30,  51182403,  50985826,  982977,  51314241,  50985797,  571208517,  285995845,  319025957,  51116805,  54196993,  51051289,  51051457, 
 30, 0b000011000011001111101101000011, 0b000011000010011111101101100010, 0b000000000011101111111111000001, 0b000011000011101111111001000001, 0b000011000010011111101101000101, 0b100010000010111111001101000101, 0b010001000010111111001101000101, 0b010011000000111111001100100101, 0b000011000010111111101100000101, 0b000011001110101111101100000001, 0b000011000010101111101100011001, 0b000011000010101111101111000001, 
 29,  203255802,  135135226,  220163763,  219115506,  139329395,  149778291,  149753851,  147787647,  164564957,  152014815,  219131859,  220179379, 
 29, 0b01100000111010110111111111010, 0b01000000011011111111111111010, 0b01101000111110110111010110011, 0b01101000011110110111111110010, 0b01000010011011111111101110011, 0b01000111011010110111101110011, 0b01000111011010000111111111011, 0b01000110011110000111101111111, 0b01001110011110000111111011101, 0b01001000011111000111111011111, 0b01101000011111010111111010011, 0b01101000111111010101110110011, 
 28,  342064,  77875,  75833,  75890,  86577,  553520,  563760,  1088560,  24112,  73504,  102048,  101432, 
 28, 0b0000000001010011100000110000, 0b0000000000010011000000110011, 0b0000000000010010100000111001, 0b0000000000010010100001110010, 0b0000000000010101001000110001, 0b0000000010000111001000110000, 0b0000000010001001101000110000, 0b0000000100001001110000110000, 0b0000000000000101111000110000, 0b0000000000010001111100100000, 0b0000000000011000111010100000, 0b0000000000011000110000111000, 
 27,  134217129,  133953465,  134150391,  134216931,  130809789,  130777071,  130743807,  132904191,  133297919,  133300220,  116522999,  117112567, 
