bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st16,  st_st17,  st_st18,  st_st19,  st_st2,  st_st20,  st_st21,  st_st22,  st_st23,  st_st24,  st_st25,  st_st26,  st_st27,  st_st28,  st_st29,  st_st3,  st_st30,  st_st31,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 35,  12073095037,  12072308735,  12068900671,  12345675583,  12075966447,  12078386046,  12029234046,  12076419966,  16371321723,  16373288819,  16360705919,  16373287295,  12073094654,  16370928639,  12075503615,  12077830015,  12077305723,  29257141627,  3489435007,  12079368687,  12073078767,  12878384943,  16368045935,  12073078527,  33480789871,  12077256559,  12073095102,  12076224383,  11270918141,  12077273069,  11003531007,  12345708270, 
 35, 0b11001111100111001100111101111101, 0b11001111100100001100111111111111, 0b11001111010111001100111100111111, 0b11011111110111000000111100111111, 0b11001111110010001001111111101111, 0b11001111111011011000101101111110, 0b11001100111111111000101101111110, 0b11001111110011111000101101111110, 0b11001111110011101000101101111011, 0b11001111111011001000111101110011, 0b11001111001011001000111101111111, 0b11001111111011001000100101111111, 0b11001111100111001100110111111110, 0b11001111110010001000101111111111, 0b11001111110000011000111111111111, 0b11001111111001010000111101111111, 0b11001111110111010000111101111011, 0b11001111110111001000110101111011, 0b11001111111111001000110101111111, 0b11001111111111001000100111101111, 0b11001111100111001000111111101111, 0b11111111100111001000111100101111, 0b11001111100111001000111101101111, 0b11001111100111001000111011111111, 0b11001011100111000100111101101111, 0b11001111110111000100111101101111, 0b11001111100111001100111110111110, 0b11001111110011001000111101111111, 0b10011111110011001000111111111101, 0b11001111110111001000111111101101, 0b10001111110111001000111011111111, 0b11011111110111001000111011101110, 
 34,  4076863295,  16960978751,  14814215999,  10536025982,  12779847551,  12750483319,  10603196215,  4093640503,  4143972143,  4160618299,  4294967051,  4294770491,  16156458815,  12884696863,  12750552847,  12750552635,  17028677183,  8371830335,  12683574335,  12851280959,  12650020159,  16944922175,  16944791479,  16961568575,  16978345775,  12683575055,  16961764415,  12683378495,  11593056063,  12645826367,  12782075711,  12782071805, 
 34, 0b11110010111111111111111100111111, 0b11110010111100111111111100111111, 0b01110010111111101111111100111111, 0b01110011111111101111111101111110, 0b11111001101111001111111101111111, 0b11110111111111001110111101110111, 0b01110111111111111110111100110111, 0b11110011111111111111111100110111, 0b11110110111111111111111100101111, 0b11110111111111011111111100111011, 0b11111111111111111111111100001011, 0b11111111111111001111111100111011, 0b11000010111111111111111100111111, 0b11111111111111001101111100011111, 0b11110111111111011111111100001111, 0b11110111111111011111111000111011, 0b11110110111111001111111000111111, 0b11110010111111111111111000111111, 0b11110011111111111111110000111111, 0b11111101111111101111110000111111, 0b11110001111111111111110100111111, 0b11110001111111101111111000111111, 0b11110001111111001111111110110111, 0b11110010111111001111111100111111, 0b11110011111111001111111100101111, 0b11110011111111111111111100001111, 0b11110010111111111111110000111111, 0b11110011111111001111111100111111, 0b10110010111111111111111100111111, 0b11110001101111111111111100111111, 0b11111001110111101111111100111111, 0b11111001110111101110111111111101, 
 33,  4826619652,  4825571152,  4826675972,  5363545856,  4826608868,  4826608577,  4825823168,  4825822996,  4826994448,  4759762768,  4763694916,  4759631436,  4825599812,  4759631427,  4759696964,  4726142492,  4793251588,  4663162644,  4428150612,  4829755216,  4629477204,  4629485142,  4759508806,  4792082244,  4826617636,  5900351264,  5865758484,  4826609476,  4809848708,  4826625572,  4826605356,  531638093, 
 33, 0b00011111101100000101111100000100, 0b00011111101000000101111101010000, 0b00011111101100010011101100000100, 0b00111111101100010011011100000000, 0b00011111101100000011010011100100, 0b00011111101100000011001111000001, 0b00011111101001000011011111000000, 0b00011111101001000011011100010100, 0b00011111101101100001011100010000, 0b00011011101101000011011101010000, 0b00011011111100000011011101000100, 0b00011011101100100011011001001100, 0b00011111101000001100111101000100, 0b00011011101100100011011001000011, 0b00011011101100110011011001000100, 0b00011001101100110011011000011100, 0b00011101101100110011011100000100, 0b00010101111100100011011100010100, 0b00000111111100000011011101010100, 0b00011111111000000011011101010000, 0b00010011111100000011011101010100, 0b00010011111100000101011001010110, 0b00011011101100000101011101000110, 0b00011101101000010101111101000100, 0b00011111101100000101011100100100, 0b01011111101100000011011100100000, 0b01011101101000000101111100010100, 0b00011111101100000011011101000100, 0b00011110101100000111011110000100, 0b00011111101100000111011000100100, 0b00011111101100000010011100101100, 0b00011111101100000010011101001101, 
 32,  1309320832,  1309451424,  1250616448,  1221305472,  1225696385,  1242285121,  1208738819,  168486019,  1241572515,  1241638081,  1241744593,  1225491601,  1308796065,  1258988673,  1242212513,  1242213441,  3389238273,  3389174849,  3389568129,  3406341256,  2315887753,  3389629480,  3398149120,  1309451840,  3360662528,  1280025728,  504145536,  1242276993,  1242211468,  1246667904,  1229628545,  1230668992, 
 32, 0b01001110000010101010011010000000, 0b01001110000011001010010010100000, 0b01001010100010101110010010000000, 0b01001000110010111010010010000000, 0b01001001000011101010010010000001, 0b01001010000010111100010001000001, 0b01001000000010111110010000000011, 0b00001010000010101110010010000011, 0b01001010000000001110010010100011, 0b01001010000000011110010011000001, 0b01001010000000111000010011010001, 0b01001001000010111000010010010001, 0b01001110000000101010010010100001, 0b01001011000010101010010010000001, 0b01001010000010101010100010100001, 0b01001010000010101010110001000001, 0b11001010000000111010110000000001, 0b11001010000000101011010001000001, 0b11001010000010001011010010000001, 0b11001011000010001010010010001000, 0b10001010000010011010010010001001, 0b11001010000010011010010000101000, 0b11001010100010111010010000000000, 0b01001110000011001010011001000000, 0b11001000010011111010010000000000, 0b01001100010010111010010010000000, 0b00011110000011001010011010000000, 0b01001010000010111010010010000001, 0b01001010000010101010010010001100, 0b01001010010011101010010010000000, 0b01001001010010101010010010000001, 0b01001001010110101000010011000000, 
 31,  262209510,  765525927,  65077238,  332464054,  264503078,  130670518,  264888241,  231342004,  244055988,  243859383,  264797623,  264798070,  799080238,  130219894,  398639030,  391167927,  399568822,  267448230,  259063730,  267452242,  267452294,  800257926,  263255990,  212008935,  260112311,  264306643,  262340391,  264306614,  264306535,  264372166,  264306142,  133234138, 
 31, 0b0001111101000001111111111100110, 0b0101101101000001111111110100111, 0b0000011111000001111111111110110, 0b0010011110100001111111110110110, 0b0001111110000111111111100100110, 0b0000111110010011101111110110110, 0b0001111110010011101111110110001, 0b0001101110010011111111110110100, 0b0001110100010111111111110110100, 0b0001110100010001111111110110111, 0b0001111110010000111110110110111, 0b0001111110010000111111101110110, 0b0101111101000001111111100101110, 0b0000111110000101111111101110110, 0b0010111110000101011111110110110, 0b0010111010100001011111110110111, 0b0010111110100001110111110110110, 0b0001111111100001110111110100110, 0b0001111011100001111111110110010, 0b0001111111100001111111101010010, 0b0001111111100001111111110000110, 0b0101111101100101111011110000110, 0b0001111101100001111011110110110, 0b0001100101000101111111111100111, 0b0001111100000001111111110110111, 0b0001111110000001111111111010011, 0b0001111101000101111111100100111, 0b0001111110000001111111110110110, 0b0001111110000001111111101100111, 0b0001111110000011111111111000110, 0b0001111110000001111110111011110, 0b0000111111100001111110111011010, 
