bits,  st_10,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st16,  st_st17,  st_st18,  st_st19,  st_st2,  st_st20,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 9,  280,  143,  116,  201,  48,  4,  272,  3,  96,  27,  390,  258,  240,  149,  197,  16,  92,  66,  384,  32,  371, 
 9, 0b100011000, 0b010001111, 0b001110100, 0b011001001, 0b000110000, 0b000000100, 0b100010000, 0b000000011, 0b001100000, 0b000011011, 0b110000110, 0b100000010, 0b011110000, 0b010010101, 0b011000101, 0b000010000, 0b001011100, 0b001000010, 0b110000000, 0b000100000, 0b101110011, 
 8,  37,  85,  82,  74,  28,  60,  64,  48,  42,  40,  8,  3,  70,  228,  27,  35,  164,  16,  1,  4,  21, 
 8, 0b00100101, 0b01010101, 0b01010010, 0b01001010, 0b00011100, 0b00111100, 0b01000000, 0b00110000, 0b00101010, 0b00101000, 0b00001000, 0b00000011, 0b01000110, 0b11100100, 0b00011011, 0b00100011, 0b10100100, 0b00010000, 0b00000001, 0b00000100, 0b00010101, 
 7,  17,  9,  77,  10,  94,  92,  100,  81,  44,  86,  8,  72,  121,  33,  69,  4,  64,  75,  82,  70,  0, 
 7, 0b0010001, 0b0001001, 0b1001101, 0b0001010, 0b1011110, 0b1011100, 0b1100100, 0b1010001, 0b0101100, 0b1010110, 0b0001000, 0b1001000, 0b1111001, 0b0100001, 0b1000101, 0b0000100, 0b1000000, 0b1001011, 0b1010010, 0b1000110, 0b0000000, 
 6,  41,  40,  8,  50,  42,  11,  2,  34,  28,  32,  5,  37,  6,  21,  45,  0,  60,  24,  17,  48,  4, 
 6, 0b101001, 0b101000, 0b001000, 0b110010, 0b101010, 0b001011, 0b000010, 0b100010, 0b011100, 0b100000, 0b000101, 0b100101, 0b000110, 0b010101, 0b101101, 0b000000, 0b111100, 0b011000, 0b010001, 0b110000, 0b000100, 
 5,  29,  24,  21,  5,  28,  14,  17,  18,  1,  3,  4,  7,  20,  2,  12,  8,  0,  16,  6,  10,  25, 
 5, 0b11101, 0b11000, 0b10101, 0b00101, 0b11100, 0b01110, 0b10001, 0b10010, 0b00001, 0b00011, 0b00100, 0b00111, 0b10100, 0b00010, 0b01100, 0b01000, 0b00000, 0b10000, 0b00110, 0b01010, 0b11001, 
