bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st16,  st_st17,  st_st18,  st_st19,  st_st2,  st_st20,  st_st21,  st_st22,  st_st23,  st_st24,  st_st25,  st_st26,  st_st27,  st_st28,  st_st29,  st_st3,  st_st30,  st_st31,  st_st32,  st_st33,  st_st34,  st_st35,  st_st36,  st_st37,  st_st38,  st_st39,  st_st4,  st_st40,  st_st41,  st_st42,  st_st43,  st_st44,  st_st45,  st_st46,  st_st47,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 10,  84,  813,  68,  1,  56,  336,  114,  140,  32,  388,  2,  16,  832,  550,  52,  258,  708,  514,  525,  540,  132,  728,  265,  419,  536,  8,  11,  141,  522,  533,  529,  33,  400,  706,  282,  256,  27,  329,  17,  26,  468,  769,  64,  44,  908,  658,  561,  60, 
 10, 0b0001010100, 0b1100101101, 0b0001000100, 0b0000000001, 0b0000111000, 0b0101010000, 0b0001110010, 0b0010001100, 0b0000100000, 0b0110000100, 0b0000000010, 0b0000010000, 0b1101000000, 0b1000100110, 0b0000110100, 0b0100000010, 0b1011000100, 0b1000000010, 0b1000001101, 0b1000011100, 0b0010000100, 0b1011011000, 0b0100001001, 0b0110100011, 0b1000011000, 0b0000001000, 0b0000001011, 0b0010001101, 0b1000001010, 0b1000010101, 0b1000010001, 0b0000100001, 0b0110010000, 0b1011000010, 0b0100011010, 0b0100000000, 0b0000011011, 0b0101001001, 0b0000010001, 0b0000011010, 0b0111010100, 0b1100000001, 0b0001000000, 0b0000101100, 0b1110001100, 0b1010010010, 0b1000110001, 0b0000111100, 
 9,  66,  129,  196,  457,  50,  37,  498,  8,  60,  224,  150,  46,  139,  48,  432,  4,  216,  257,  82,  400,  5,  128,  256,  3,  260,  16,  296,  321,  0,  32,  65,  192,  100,  270,  130,  373,  168,  393,  2,  72,  34,  97,  10,  69,  272,  161,  132,  41, 
 9, 0b001000010, 0b010000001, 0b011000100, 0b111001001, 0b000110010, 0b000100101, 0b111110010, 0b000001000, 0b000111100, 0b011100000, 0b010010110, 0b000101110, 0b010001011, 0b000110000, 0b110110000, 0b000000100, 0b011011000, 0b100000001, 0b001010010, 0b110010000, 0b000000101, 0b010000000, 0b100000000, 0b000000011, 0b100000100, 0b000010000, 0b100101000, 0b101000001, 0b000000000, 0b000100000, 0b001000001, 0b011000000, 0b001100100, 0b100001110, 0b010000010, 0b101110101, 0b010101000, 0b110001001, 0b000000010, 0b001001000, 0b000100010, 0b001100001, 0b000001010, 0b001000101, 0b100010000, 0b010100001, 0b010000100, 0b000101001, 
 8,  202,  101,  106,  80,  3,  34,  6,  8,  162,  33,  194,  84,  9,  82,  65,  153,  20,  1,  37,  44,  145,  107,  26,  64,  138,  200,  93,  173,  112,  17,  137,  182,  128,  0,  140,  129,  177,  16,  7,  25,  131,  40,  132,  139,  70,  152,  208,  142, 
 8, 0b11001010, 0b01100101, 0b01101010, 0b01010000, 0b00000011, 0b00100010, 0b00000110, 0b00001000, 0b10100010, 0b00100001, 0b11000010, 0b01010100, 0b00001001, 0b01010010, 0b01000001, 0b10011001, 0b00010100, 0b00000001, 0b00100101, 0b00101100, 0b10010001, 0b01101011, 0b00011010, 0b01000000, 0b10001010, 0b11001000, 0b01011101, 0b10101101, 0b01110000, 0b00010001, 0b10001001, 0b10110110, 0b10000000, 0b00000000, 0b10001100, 0b10000001, 0b10110001, 0b00010000, 0b00000111, 0b00011001, 0b10000011, 0b00101000, 0b10000100, 0b10001011, 0b01000110, 0b10011000, 0b11010000, 0b10001110, 
 7,  1,  66,  56,  41,  98,  100,  20,  53,  29,  21,  72,  35,  112,  73,  108,  13,  2,  102,  6,  33,  12,  104,  36,  76,  96,  52,  8,  17,  49,  32,  25,  64,  0,  34,  117,  48,  69,  109,  5,  88,  38,  4,  40,  9,  77,  7,  3,  79, 
 7, 0b0000001, 0b1000010, 0b0111000, 0b0101001, 0b1100010, 0b1100100, 0b0010100, 0b0110101, 0b0011101, 0b0010101, 0b1001000, 0b0100011, 0b1110000, 0b1001001, 0b1101100, 0b0001101, 0b0000010, 0b1100110, 0b0000110, 0b0100001, 0b0001100, 0b1101000, 0b0100100, 0b1001100, 0b1100000, 0b0110100, 0b0001000, 0b0010001, 0b0110001, 0b0100000, 0b0011001, 0b1000000, 0b0000000, 0b0100010, 0b1110101, 0b0110000, 0b1000101, 0b1101101, 0b0000101, 0b1011000, 0b0100110, 0b0000100, 0b0101000, 0b0001001, 0b1001101, 0b0000111, 0b0000011, 0b1001111, 
 6,  7,  37,  25,  18,  41,  40,  13,  28,  57,  39,  24,  48,  2,  8,  31,  29,  45,  33,  6,  16,  26,  38,  3,  23,  32,  51,  60,  54,  34,  56,  61,  5,  42,  9,  63,  52,  4,  53,  1,  10,  11,  36,  0,  59,  47,  55,  35,  49, 
 6, 0b000111, 0b100101, 0b011001, 0b010010, 0b101001, 0b101000, 0b001101, 0b011100, 0b111001, 0b100111, 0b011000, 0b110000, 0b000010, 0b001000, 0b011111, 0b011101, 0b101101, 0b100001, 0b000110, 0b010000, 0b011010, 0b100110, 0b000011, 0b010111, 0b100000, 0b110011, 0b111100, 0b110110, 0b100010, 0b111000, 0b111101, 0b000101, 0b101010, 0b001001, 0b111111, 0b110100, 0b000100, 0b110101, 0b000001, 0b001010, 0b001011, 0b100100, 0b000000, 0b111011, 0b101111, 0b110111, 0b100011, 0b110001, 
