bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 8,  8,  73,  32,  14,  57,  24,  59,  133,  104,  17,  128,  83,  192,  130,  49,  168, 
 8, 0b00001000, 0b01001001, 0b00100000, 0b00001110, 0b00111001, 0b00011000, 0b00111011, 0b10000101, 0b01101000, 0b00010001, 0b10000000, 0b01010011, 0b11000000, 0b10000010, 0b00110001, 0b10101000, 
 7,  8,  116,  24,  14,  61,  7,  5,  64,  102,  42,  41,  4,  43,  18,  16,  66, 
 7, 0b0001000, 0b1110100, 0b0011000, 0b0001110, 0b0111101, 0b0000111, 0b0000101, 0b1000000, 0b1100110, 0b0101010, 0b0101001, 0b0000100, 0b0101011, 0b0010010, 0b0010000, 0b1000010, 
 6,  16,  4,  49,  9,  30,  0,  28,  51,  3,  1,  8,  29,  11,  32,  24,  14, 
 6, 0b010000, 0b000100, 0b110001, 0b001001, 0b011110, 0b000000, 0b011100, 0b110011, 0b000011, 0b000001, 0b001000, 0b011101, 0b001011, 0b100000, 0b011000, 0b001110, 
 5,  0,  3,  5,  13,  4,  6,  2,  29,  12,  17,  10,  19,  28,  24,  9,  16, 
 5, 0b00000, 0b00011, 0b00101, 0b01101, 0b00100, 0b00110, 0b00010, 0b11101, 0b01100, 0b10001, 0b01010, 0b10011, 0b11100, 0b11000, 0b01001, 0b10000, 
 4,  0,  9,  15,  12,  14,  2,  5,  10,  7,  11,  3,  4,  13,  6,  8,  1, 
 4, 0b0000, 0b1001, 0b1111, 0b1100, 0b1110, 0b0010, 0b0101, 0b1010, 0b0111, 0b1011, 0b0011, 0b0100, 0b1101, 0b0110, 0b1000, 0b0001, 
