bits,  st_st0,  st_st1,  st_st10,  st_st11,  st_st12,  st_st13,  st_st14,  st_st15,  st_st16,  st_st17,  st_st18,  st_st19,  st_st2,  st_st20,  st_st21,  st_st22,  st_st23,  st_st24,  st_st25,  st_st26,  st_st27,  st_st28,  st_st29,  st_st3,  st_st4,  st_st5,  st_st6,  st_st7,  st_st8,  st_st9, 
 9,  370,  480,  158,  258,  22,  65,  289,  128,  209,  0,  325,  304,  64,  129,  6,  349,  256,  137,  139,  32,  57,  224,  176,  4,  8,  419,  488,  264,  132,  56, 
 9, 0b101110010, 0b111100000, 0b010011110, 0b100000010, 0b000010110, 0b001000001, 0b100100001, 0b010000000, 0b011010001, 0b000000000, 0b101000101, 0b100110000, 0b001000000, 0b010000001, 0b000000110, 0b101011101, 0b100000000, 0b010001001, 0b010001011, 0b000100000, 0b000111001, 0b011100000, 0b010110000, 0b000000100, 0b000001000, 0b110100011, 0b111101000, 0b100001000, 0b010000100, 0b000111000, 
 8,  25,  130,  146,  133,  141,  99,  21,  64,  8,  160,  63,  2,  161,  208,  244,  3,  56,  19,  15,  22,  35,  13,  26,  1,  16,  12,  72,  170,  32,  132, 
 8, 0b00011001, 0b10000010, 0b10010010, 0b10000101, 0b10001101, 0b01100011, 0b00010101, 0b01000000, 0b00001000, 0b10100000, 0b00111111, 0b00000010, 0b10100001, 0b11010000, 0b11110100, 0b00000011, 0b00111000, 0b00010011, 0b00001111, 0b00010110, 0b00100011, 0b00001101, 0b00011010, 0b00000001, 0b00010000, 0b00001100, 0b01001000, 0b10101010, 0b00100000, 0b10000100, 
 7,  30,  73,  119,  24,  8,  4,  5,  27,  82,  28,  106,  67,  79,  41,  96,  102,  26,  32,  72,  58,  81,  64,  34,  33,  77,  121,  69,  22,  97,  10, 
 7, 0b0011110, 0b1001001, 0b1110111, 0b0011000, 0b0001000, 0b0000100, 0b0000101, 0b0011011, 0b1010010, 0b0011100, 0b1101010, 0b1000011, 0b1001111, 0b0101001, 0b1100000, 0b1100110, 0b0011010, 0b0100000, 0b1001000, 0b0111010, 0b1010001, 0b1000000, 0b0100010, 0b0100001, 0b1001101, 0b1111001, 0b1000101, 0b0010110, 0b1100001, 0b0001010, 
 6,  45,  27,  19,  42,  24,  1,  13,  3,  33,  22,  9,  48,  36,  25,  35,  0,  12,  4,  8,  18,  32,  6,  41,  38,  10,  54,  16,  28,  34,  53, 
 6, 0b101101, 0b011011, 0b010011, 0b101010, 0b011000, 0b000001, 0b001101, 0b000011, 0b100001, 0b010110, 0b001001, 0b110000, 0b100100, 0b011001, 0b100011, 0b000000, 0b001100, 0b000100, 0b001000, 0b010010, 0b100000, 0b000110, 0b101001, 0b100110, 0b001010, 0b110110, 0b010000, 0b011100, 0b100010, 0b110101, 
 5,  1,  14,  19,  20,  23,  15,  0,  22,  10,  21,  7,  25,  27,  17,  4,  28,  11,  12,  2,  30,  18,  9,  5,  6,  3,  26,  16,  13,  8,  24, 
 5, 0b00001, 0b01110, 0b10011, 0b10100, 0b10111, 0b01111, 0b00000, 0b10110, 0b01010, 0b10101, 0b00111, 0b11001, 0b11011, 0b10001, 0b00100, 0b11100, 0b01011, 0b01100, 0b00010, 0b11110, 0b10010, 0b01001, 0b00101, 0b00110, 0b00011, 0b11010, 0b10000, 0b01101, 0b01000, 0b11000, 
