bits,  st_st0,  st_st0_n,  st_st1,  st_st10,  st_st10_n,  st_st11,  st_st11_n,  st_st1_n,  st_st2,  st_st2_n,  st_st3,  st_st3_n,  st_st4,  st_st4_n,  st_st5,  st_st5_n,  st_st6,  st_st6_n,  st_st7,  st_st7_n,  st_st8,  st_st8_n,  st_st9,  st_st9_n, 
 35,  7842290751,  3530554687,  7791967807,  3755984959,  16631449663,  3746552895,  3622818879,  16414932542,  8362393134,  8362389023,  8362393357,  7305166733,  7038041869,  2885680901,  6641680141,  5031001871,  4729077519,  17647533838,  21942492687,  22009531951,  21942488127,  4823436351,  534768703,  2145380407, 
 35, 0b11010011011011111101110000111111, 0b11010010011011111111110100111111, 0b11010000011011111111111000111111, 0b11011111110111111100100000111111, 0b11011111010011111100100000111111, 0b11011111010011111101110000111111, 0b11010111111011111101010000111111, 0b11010010011001111111111000111110, 0b11110010011011111111111000101110, 0b11110010011011111110111000011111, 0b11110010011011111111111100001101, 0b10110011011010111111111110001101, 0b10100011011111111111111100001101, 0b10101011111111111111111100000101, 0b10001011110111111111111100001101, 0b00101011110111101111111100001111, 0b00011001110111111111111100001111, 0b00011011110111111111111100001110, 0b00011011110111111101111000001111, 0b00011111110111101100111000101111, 0b00011011110111111100110000111111, 0b00011111011111111100110000111111, 0b00011111110111111110110000111111, 0b01111111110111111110100000110111, 
 34,  8717988623,  13008761613,  13015053070,  8716022573,  9254986540,  8719037228,  8717991692,  131201806,  13011909386,  13146127120,  13095795482,  13097890574,  13087404862,  13094810430,  8791520126,  204202878,  2351166332,  2384713580,  2401497900,  2668229420,  260829996,  118223804,  8708159276,  8716548900, 
 34, 0b00000111101000011111001100001111, 0b00000111011000011111001100001101, 0b00000111110000011111001100001110, 0b00000111100000111111001100101101, 0b00100111101000111110001100101100, 0b00000111101100011111001100101100, 0b00000111101000011111111100001100, 0b00000111110100011111101100001110, 0b00000111100100011111101100001010, 0b00001111100100011111101100010000, 0b00001100100100011111101100011010, 0b00001100101100011111001100001110, 0b00001100000100011111001100111110, 0b00001100100000101111001100111110, 0b00001100000000111111001101111110, 0b00001100001010111110001101111110, 0b10001100001000111111001101111100, 0b10001110001000111101011101101100, 0b10001111001000111111001100101100, 0b10011111000010011111001100101100, 0b00001111100010111111001100101100, 0b00000111000010111111001110111100, 0b00000111000010111111011100101100, 0b00000111100010111111101100100100, 
 33,  5029035712,  5021695169,  5021957760,  4357947075,  4345560771,  4358143680,  4961988288,  7035222660,  7035219840,  2739203980,  6984888204,  8058605453,  7051956109,  4904468365,  7046725517,  1678016413,  2785050525,  4932599693,  4865458077,  6459293597,  6476070559,  6761282191,  4345364175,  4348509891, 
 33, 0b00101011110000001111111011000000, 0b00101011010100001111110011000001, 0b00101011010101001111111010000000, 0b00000011110000001111111011000011, 0b00000011000000111111111011000011, 0b00000011110000111111111011000000, 0b00100111110000011110111011000000, 0b10100011010101001111101010000100, 0b10100011010101001110111110000000, 0b10100011010001001110111110001100, 0b10100000010101001110111110001100, 0b11100000010101001000111110001101, 0b10100100010101000100111110001101, 0b00100100010101000011111110001101, 0b10100100000001000111111110001101, 0b01100100000001000111111110011101, 0b10100110000000000111111110011101, 0b00100110000000010111111110001101, 0b00100010000000001111111110011101, 0b10000001000000001111111110011101, 0b10000010000000001111111010011111, 0b10010011000000001111101010001111, 0b00000011000000001111111011001111, 0b00000011001100001111111011000011, 
 32,  859836482,  827457602,  292556866,  838938881,  1648439297,  859844609,  859837696,  812652546,  812650576,  812654610,  812712464,  275849488,  274801170,  4268567,  541139538,  542188042,  542122690,  544252418,  542257666,  563229184,  813838850,  813707395,  805384707,  806433026, 
 32, 0b00110011010000000001000001000010, 0b00110001010100100000000001000010, 0b00010001011100000001000001000010, 0b00110010000000010011000100000001, 0b01100010010000010011000000000001, 0b00110011010000000011000000000001, 0b00110011010000000001010100000000, 0b00110000011100000001100000000010, 0b00110000011100000001000001010000, 0b00110000011100000010000000010010, 0b00110000011100010000001000010000, 0b00010000011100010010000100010000, 0b00010000011000010010001000010010, 0b00000000010000010010001000010111, 0b00100000010000010010001001010010, 0b00100000010100010010001000001010, 0b00100000010100000010001011000010, 0b00100000011100001010001000000010, 0b00100000010100100011001000000010, 0b00100001100100100011001000000000, 0b00110000100000100011001000000010, 0b00110000100000000011000010000011, 0b00110000000000010011001000000011, 0b00110000000100010011000100000010, 
 31,  1945235504,  1945155636,  1945284657,  1878048828,  1810989372,  1945223228,  1945211000,  1945273137,  1945264689,  1941097009,  1941056177,  1605509809,  1408377529,  1139942140,  1911694012,  1978867772,  2045927484,  2146451516,  2062573630,  535846974,  1743806526,  1744126012,  1710342206,  1710276988, 
 31, 0b1110011111100011111000000110000, 0b1110011111100001011100000110100, 0b1110011111100101011000000110001, 0b1101111111100001100000000111100, 0b1101011111100011000000100111100, 0b1110011111100011100000000111100, 0b1110011111100011001000001111000, 0b1110011111100101000001100110001, 0b1110011111100100110001000110001, 0b1110011101100101100101000110001, 0b1110011101100100010101010110001, 0b1011111101100100010001010110001, 0b1010011111100100010001010111001, 0b1000011111100100010001011111100, 0b1110001111100100010001010111100, 0b1110101111100110010000000111100, 0b1111001111100100110000000111100, 0b1111111111100000100000000111100, 0b1111010111100000110000000111110, 0b0011111111100000110000000111110, 0b1100111111100000110000000111110, 0b1100111111101010100000000111100, 0b1100101111100011100000000111110, 0b1100101111100001100000101111100, 
 30,  805240659,  268369719,  268418931,  803209172,  803200727,  769654615,  805175126,  268416507,  268386043,  267796479,  268386111,  192937791,  243253119,  1044365175,  1047510907,  1053818491,  1045364731,  1060044793,  1063190520,  1071316978,  1072627696,  804192213,  267386868,  533725148, 
 30, 0b101111111111101111111101010011, 0b001111111111101111111100110111, 0b001111111111111011111101110011, 0b101111110111111111111111010100, 0b101111110111111101111011010111, 0b101101110111111111111101010111, 0b101111111111011111111101010110, 0b001111111111111011010111111011, 0b001111111111110011111011111011, 0b001111111101100011111111111111, 0b001111111111110011111100111111, 0b001011011111111111111100111111, 0b001110011111111011111101111111, 0b111110001111111011111101110111, 0b111110011011111011111101111011, 0b111110110011111111111001111011, 0b111110010011101111111111111011, 0b111111001011101111111111111001, 0b111111010111101111111111111000, 0b111111110110101111111111110010, 0b111111111011101111111111110000, 0b101111111011101111111111010101, 0b001111111011111111111111110100, 0b011111110011111111111111011100, 
 29,  37433904,  37168688,  53817904,  37434116,  35271476,  37368364,  54014520,  52113968,  57225776,  54866736,  55194416,  54801202,  50803504,  50844448,  50795488,  55776192,  20124640,  20132513,  154342273,  166925056,  145953541,  238097157,  36901639,  36844325, 
 29, 0b00010001110110011001000110000, 0b00010001101110010011000110000, 0b00011001101010011001000110000, 0b00010001110110011001100000100, 0b00010000110100011001100110100, 0b00010001110100011001000101100, 0b00011001110000011001000111000, 0b00011000110110011001000110000, 0b00011011010010011001000110000, 0b00011010001010011001100110000, 0b00011010010100011001100110000, 0b00011010001000011001100110010, 0b00011000001110011001100110000, 0b00011000001111101001100100000, 0b00011000001110001001111100000, 0b00011010100110001001111000000, 0b00001001100110001001111100000, 0b00001001100110011001010100001, 0b01001001100110001001110000001, 0b01001111100110001001100000000, 0b01000101100110001001100000101, 0b01110001100010001001100000101, 0b00010001100110001001100000111, 0b00010001100100011001100100101, 
 28,  51420005,  63996773,  59871589,  21019632,  16826340,  16817141,  50437089,  61018469,  117674341,  117641596,  117637487,  119210311,  117637975,  218301398,  201526103,  201395163,  201444179,  134532947,  134344529,  142659441,  134336496,  83939312,  16899056,  16842480, 
 28, 0b0011000100001001101101100101, 0b0011110100001000001101100101, 0b0011100100011001000101100101, 0b0001010000001011101111110000, 0b0001000000001011111111100100, 0b0001000000001001101111110101, 0b0011000000011001101111100001, 0b0011101000110001000101100101, 0b0111000000111001000101100101, 0b0111000000110001000101111100, 0b0111000000110000000101101111, 0b0111000110110000000101000111, 0b0111000000110000001101010111, 0b1101000000110000001111010110, 0b1100000000110000101101010111, 0b1100000000010000101111011011, 0b1100000000011100101101010011, 0b1000000001001100111101010011, 0b1000000000011110111101010001, 0b1000100000001100111101110001, 0b1000000000011100111111110000, 0b0101000000001100111111110000, 0b0001000000011101101111110000, 0b0001000000001111111011110000, 
 27,  4071876,  975300,  7242180,  110960900,  77537600,  10297796,  1843685,  7120068,  3072196,  2777812,  451284,  304092,  443352,  1213432,  918520,  917755,  68092152,  67570104,  68092728,  68619056,  68102448,  102508848,  102705408,  101655300, 
 27, 0b000001111100010000111000100, 0b000000011101110000111000100, 0b000011011101000000111000100, 0b110100111010010000100000100, 0b100100111110010000101000000, 0b000100111010010000111000100, 0b000000111000010000111100101, 0b000011011001010010011000100, 0b000001011101110000011000100, 0b000001010100110001011010100, 0b000000001101110001011010100, 0b000000001001010001111011100, 0b000000001101100001111011000, 0b000000100101000001111111000, 0b000000011100000001111111000, 0b000000011100000000011111011, 0b100000011110000000011111000, 0b100000001110000100110111000, 0b100000011110000001100111000, 0b100000101110000101100110000, 0b100000011110010100100110000, 0b110000111000010100100110000, 0b110000111110010100100000000, 0b110000011110010001100000100, 
 26,  191236,  191105,  8571649,  33618560,  33860228,  326148,  18934276,  8440656,  58772224,  33741568,  50436864,  37858048,  39950848,  39031296,  37985280,  34573312,  35892224,  33664160,  35695808,  33599360,  35692160,  38836864,  33594244,  33608325, 
 26, 0b00000000101110101100000100, 0b00000000101110101010000001, 0b00100000101100101100000001, 0b10000000001111101010000000, 0b10000001001010101010000100, 0b00000001001111101000000100, 0b01001000001110101000000100, 0b00100000001100101101010000, 0b11100000001100101100000000, 0b10000000101101101100000000, 0b11000000011001101100000000, 0b10010000011010101100000000, 0b10011000011001101000000000, 0b10010100111001001000000000, 0b10010000111001110000000000, 0b10000011111000110000000000, 0b10001000111010110000000000, 0b10000000011010110010100000, 0b10001000001010110011000000, 0b10000000001010111110000000, 0b10001000001001111010000000, 0b10010100001001101010000000, 0b10000000001001101110000100, 0b10000000001101001010000101, 
 25,  17793283,  19759111,  3112971,  33063170,  31015170,  30245122,  27197698,  2526219,  2722827,  6851722,  6917154,  6392034,  4754658,  4820050,  13143362,  22578498,  12092738,  3835170,  3704161,  1578353,  5800305,  14164336,  16286048,  16285858, 
 25, 0b1000011111000000100000011, 0b1001011011000000000000111, 0b0001011111000000000001011, 0b1111110001000000100000010, 0b1110110010100000100000010, 0b1110011011000000100000010, 0b1100111110000000100000010, 0b0001001101000110000001011, 0b0001010011000110000001011, 0b0011010001000110010001010, 0b0011010011000110000100010, 0b0011000011000100011100010, 0b0010010001000110011100010, 0b0010010011000110001010010, 0b0110010001000110101000010, 0b1010110001000010101000010, 0b0101110001000010101000010, 0b0001110101000010100100010, 0b0001110001000010101100001, 0b0000110000001010101110001, 0b0010110001000000101110001, 0b0110110000010000101110000, 0b0111110001000000101100000, 0b0111110001000000010100010, 
 24,  16749327,  16642829,  16708366,  14545770,  16511818,  14676747,  16233259,  14611308,  13562686,  5233470,  13615935,  15696827,  13599727,  16745295,  12551149,  10413037,  10461679,  10482156,  10351055,  13497039,  10351215,  10416703,  10351419,  16642827, 
 24, 0b111111111001001100001111, 0b111111011111001100001101, 0b111111101111001100001110, 0b110111011111001101101010, 0b111110111111001101001010, 0b110111111111001100001011, 0b111101111011001100101011, 0b110111101111001101101100, 0b110011101111001100111110, 0b010011111101101100111110, 0b110011111100001100111111, 0b111011111000001110111011, 0b110011111000001111101111, 0b111111111000001101001111, 0b101111111000001111101101, 0b100111101110001111101101, 0b100111111010000111101111, 0b100111111111000111101100, 0b100111011111000111001111, 0b110011011111001011001111, 0b100111011111001001101111, 0b100111101111001000111111, 0b100111011111001100111011, 0b111111011111001100001011, 
 23,  5225278,  5241639,  5241772,  5193596,  6209388,  4898686,  5177148,  6946732,  2882477,  262077,  2883257,  2228157,  2293691,  2285439,  3309435,  5275519,  4423547,  7550843,  6518399,  7042423,  5207167,  5144175,  5078654,  4538239, 
 23, 0b10011111011101100111110, 0b10011111111101100100111, 0b10011111111101110101100, 0b10011110011111101111100, 0b10111101011111101101100, 0b10010101011111101111110, 0b10011101111111100111100, 0b11010011111111110101100, 0b01010111111101110101101, 0b00000111111111110111101, 0b01010111111111010111001, 0b01000011111111110111101, 0b01000101111111110111011, 0b01000101101111101111111, 0b01100100111111101111011, 0b10100000111111101111111, 0b10000110111111101111011, 0b11100110011011101111011, 0b11000110111011001111111, 0b11010110111010101110111, 0b10011110111010001111111, 0b10011100111111001101111, 0b10011010111111001111110, 0b10001010011111101111111, 
