bits,  st_IOwait,  st_IOwait_n,  st_RMACK,  st_RMACK_n,  st_START,  st_WMACK,  st_WMACK_n,  st_init0,  st_init0_n,  st_init1,  st_init1_n,  st_init2,  st_init4,  st_init4_n,  st_read0,  st_read1,  st_write0, 
 35,  4345237616,  4345196640,  4311701600,  4311382128,  382085490,  4345242208,  4311560928,  49686898,  4344662130,  4344658032,  4344723648,  4345247776,  4311562352,  4311552115,  4343093360,  4344600688,  4328468576, 
 35, 0b00000010111111110001000001110000, 0b00000010111111100111000001100000, 0b00000000111111110101100001100000, 0b00000000111110100111100001110000, 0b00010110110001100010100101110010, 0b00000010111111110010001001100000, 0b00000000111111010011001011100000, 0b00000010111101100010100101110010, 0b00000010111101100100100001110010, 0b00000010111101100011100001110000, 0b00000010111101110011100011000000, 0b00000010111111110011100000100000, 0b00000000111111010011100001110000, 0b00000000111111010001000001110011, 0b00000010110111100101100001110000, 0b00000010111101010101100001110000, 0b00000001111111110011000001100000, 
 34,  2938830915,  2939355267,  11529814017,  7235108864,  2922004897,  2804875395,  3072917651,  2922053985,  2905276515,  2921529571,  3206676675,  2905014467,  2872508483,  2871200067,  2939879616,  2873032770,  2938830993, 
 34, 0b10101111001010110000000001000011, 0b10101111001100110000000010000011, 0b10101111001110110000000000000001, 0b10101111001111110000000000000000, 0b10101110001010100100000110100001, 0b10100111001011110000000010000011, 0b10110111001010010000000010010011, 0b10101110001010110000000101100001, 0b10101101001010110000000001100011, 0b10101110001000110000000011100011, 0b10111111001000100000000011000011, 0b10101101001001110000000011000011, 0b10101011001101110000000001000011, 0b10101011001000110000100101000011, 0b10101111001110110000000011000000, 0b10101011001111110000000001000010, 0b10101111001010110000000010010001, 
 33,  4292607735,  8570666999,  8579186675,  4219207671,  4023910367,  8589541095,  8572698607,  4283957239,  8579448818,  8578138103,  8587574519,  8587558899,  8587575033,  4292870129,  8520400887,  4292804598,  4277927911, 
 33, 0b11111111110110111111111011110111, 0b11111110110110011111111111110111, 0b11111111010110111111111111110011, 0b11111011011110111111111111110111, 0b11101111110101111111111111011111, 0b11111111111110011111111011100111, 0b11111110111110001111111111101111, 0b11111111010101111111111111110111, 0b11111111010111111111111111110010, 0b11111111010010111111111111110111, 0b11111111110110111111110011110111, 0b11111111110110111011111111110011, 0b11111111110110111111111011111001, 0b11111111110111111111111111110001, 0b11111011110110101111111111110111, 0b11111111110111101111111111110110, 0b11111110111110111111111111100111, 
 32,  2196767315,  2213544459,  3807379971,  3270509322,  602996750,  2480931347,  2464155395,  586154574,  2196766926,  2213544518,  2196767317,  2213544769,  2212496977,  2213544560,  3269460507,  2191589979,  3002073603, 
 32, 0b10000010111100000000001001010011, 0b10000011111100000000001000001011, 0b11100010111100000000001000000011, 0b11000010111100000000001100001010, 0b00100011111100010000000000001110, 0b10010011111000000000001000010011, 0b10010010111000000000011100000011, 0b00100010111100000000001001001110, 0b10000010111100000000000011001110, 0b10000011111100000000001001000110, 0b10000010111100000000001001010101, 0b10000011111100000000001101000001, 0b10000011111000000000011001010001, 0b10000011111100000000001001110000, 0b11000010111000000000001000011011, 0b10000010101000010000001001011011, 0b10110010111100000000001000000011, 
 31,  1871589902,  1670263406,  1804350158,  1805398110,  1871647528,  1736847934,  1737372175,  1871581987,  1871589895,  1871589986,  1871589932,  1737372326,  1737405066,  1737372301,  1788752462,  1864118862,  1737380398, 
 31, 0b1101111100011100011001000001110, 0b1100011100011100011001001101110, 0b1101011100011000011001011001110, 0b1101011100111000011000001011110, 0b1101111100011110001001100101000, 0b1100111100001100011001000111110, 0b1100111100011100011001000001111, 0b1101111100011100001001100100011, 0b1101111100011100011001000000111, 0b1101111100011100011001001100010, 0b1101111100011100011001000101100, 0b1100111100011100011001010100110, 0b1100111100011101011001010001010, 0b1100111100011100011001010001101, 0b1101010100111100011001001001110, 0b1101111000111000011001001001110, 0b1100111100011100101001000101110, 
 30,  79872003,  12764418,  12635139,  79711490,  12619017,  12764169,  12780555,  12731657,  12748035,  12735491,  29529090,  14844931,  79889411,  79822947,  348177410,  339918854,  29524995, 
 30, 0b000100110000101100000000000011, 0b000000110000101100010100000010, 0b000000110000001100110000000011, 0b000100110000000100110100000010, 0b000000110000001000110100001001, 0b000000110000101100010000001001, 0b000000110000110000010000001011, 0b000000110000100100010100001001, 0b000000110000101000010100000011, 0b000000110000100101010000000011, 0b000001110000101001010000000010, 0b000000111000101000010000000011, 0b000100110000110000010000000011, 0b000100110000100000000001100011, 0b010100110000001100010000000010, 0b010100010000101100000000000110, 0b000001110000101000010000000011, 
 29,  2506382,  10698254,  10632845,  10698316,  7417404,  3612174,  10960396,  5451436,  6450860,  2305710,  137571978,  1261198,  5652102,  17219206,  10632906,  933578,  11812366, 
 29, 0b00000001001100011111010001110, 0b00000101000110011111000001110, 0b00000101000100011111010001101, 0b00000101000110011111001001100, 0b00000011100010010111000111100, 0b00000001101110001111000001110, 0b00000101001110011111000001100, 0b00000010100110010111010101100, 0b00000011000100110111010101100, 0b00000001000110010111010101110, 0b01000001100110010111010001010, 0b00000000100110011111010001110, 0b00000010101100011111010000110, 0b00001000001101011111010000110, 0b00000101000100011111011001010, 0b00000000011100011111011001010, 0b00000101101000011111000001110, 
 28,  219050622,  17724287,  22966910,  73299518,  99100535,  18773630,  30306942,  227157879,  235546495,  219030399,  157164414,  151938046,  152004222,  152007287,  69104255,  202273527,  17758846, 
 28, 0b1101000011100111001001111110, 0b0001000011100111001101111111, 0b0001010111100111001001111110, 0b0100010111100111011000111110, 0b0101111010000010011101110111, 0b0001000111100111011001111110, 0b0001110011100111001001111110, 0b1101100010100010011101110111, 0b1110000010100010011101111111, 0b1101000011100010001101111111, 0b1001010111100010001101111110, 0b1001000011100110001111111110, 0b1001000011110110011001111110, 0b1001000011110111001001110111, 0b0100000111100111001001111111, 0b1100000011100111001011110111, 0b0001000011101111101001111110, 
 27,  25612558,  21422350,  25584398,  25322046,  2422162,  17101071,  21033261,  2422156,  2405647,  2552078,  1437966,  5689614,  88264974,  67555614,  25354542,  25424138,  21287214, 
 27, 0b001100001101101000100001110, 0b001010001101110000100001110, 0b001100001100110001100001110, 0b001100000100110001000111110, 0b000001001001111010110010010, 0b001000001001111000100001111, 0b001010000001111000100101101, 0b000001001001111010110001100, 0b000001001001011010100001111, 0b000001001101111000100001110, 0b000000101011111000100001110, 0b000010101101101000100001110, 0b101010000101101000100001110, 0b100000001101101000100011110, 0b001100000101110000100101110, 0b001100000111111000100001010, 0b001010001001101000100101110, 
 26,  35758444,  58761580,  52601132,  50504764,  237934,  44052844,  35955052,  16953454,  3317870,  52469870,  57712740,  51486828,  36800620,  18975084,  33727852,  34644334,  52453740, 
 26, 0b10001000011010000101101100, 0b11100000001010000101101100, 0b11001000101010000100101100, 0b11000000101010010000111100, 0b00000000111010000101101110, 0b10101000000011000101101100, 0b10001001001010000101101100, 0b01000000101011000001101110, 0b00001100101010000001101110, 0b11001000001010000001101110, 0b11011100001010000001100100, 0b11000100011010000001101100, 0b10001100011000100001101100, 0b01001000011000100101101100, 0b10000000101010010101101100, 0b10000100001010000101101110, 0b11001000000110000101101100, 
 25,  30631936,  29453440,  29615104,  29581315,  13320203,  29582400,  29453313,  13330434,  4418563,  12807184,  21654544,  23292928,  15887360,  15968256,  31678592,  12806784,  30499856, 
 25, 0b1110100110110100000000000, 0b1110000010110110010000000, 0b1110000111110010000000000, 0b1110000110110000000000011, 0b0110010110100000000001011, 0b1110000110110010001000000, 0b1110000010110110000000001, 0b0110010110110100000000010, 0b0010000110110110000000011, 0b0110000110110110000010000, 0b1010010100110110000010000, 0b1011000110110110000000000, 0b0111100100110110000000000, 0b0111100111010100000000000, 0b1111000110110000010000000, 0b0110000110110101010000000, 0b1110100010110010000010000, 
 24,  13692157,  13692877,  7400925,  7441917,  1701837,  13691773,  13688685,  12711885,  13760213,  13761741,  12713452,  13725165,  13663613,  13663965,  15781357,  15781565,  13684732, 
