bits,  st_st0,  st_st0_n,  st_st1,  st_st1_n,  st_st2,  st_st2_n,  st_st3,  st_st3_n,  st_st4,  st_st4_n,  st_st5,  st_st5_n,  st_st6,  st_st6_n,  st_st7,  st_st7_n,  st_st8,  st_st8_n,  st_st9,  st_st9_n, 
 9,  151,  91,  148,  65,  384,  103,  27,  10,  5,  131,  84,  386,  25,  401,  130,  8,  4,  352,  2,  0, 
 9, 0b010010111, 0b001011011, 0b010010100, 0b001000001, 0b110000000, 0b001100111, 0b000011011, 0b000001010, 0b000000101, 0b010000011, 0b001010100, 0b110000010, 0b000011001, 0b110010001, 0b010000010, 0b000001000, 0b000000100, 0b101100000, 0b000000010, 0b000000000, 
 8,  56,  160,  178,  131,  72,  20,  164,  13,  16,  37,  36,  0,  75,  196,  233,  98,  28,  32,  7,  128, 
 8, 0b00111000, 0b10100000, 0b10110010, 0b10000011, 0b01001000, 0b00010100, 0b10100100, 0b00001101, 0b00010000, 0b00100101, 0b00100100, 0b00000000, 0b01001011, 0b11000100, 0b11101001, 0b01100010, 0b00011100, 0b00100000, 0b00000111, 0b10000000, 
 7,  50,  8,  90,  86,  5,  20,  88,  9,  80,  65,  124,  18,  15,  96,  32,  66,  68,  33,  25,  118, 
 7, 0b0110010, 0b0001000, 0b1011010, 0b1010110, 0b0000101, 0b0010100, 0b1011000, 0b0001001, 0b1010000, 0b1000001, 0b1111100, 0b0010010, 0b0001111, 0b1100000, 0b0100000, 0b1000010, 0b1000100, 0b0100001, 0b0011001, 0b1110110, 
 6,  13,  8,  35,  18,  6,  19,  2,  20,  0,  33,  5,  10,  49,  46,  9,  43,  32,  16,  28,  21, 
 6, 0b001101, 0b001000, 0b100011, 0b010010, 0b000110, 0b010011, 0b000010, 0b010100, 0b000000, 0b100001, 0b000101, 0b001010, 0b110001, 0b101110, 0b001001, 0b101011, 0b100000, 0b010000, 0b011100, 0b010101, 
 5,  14,  2,  19,  29,  18,  0,  21,  25,  6,  8,  22,  3,  24,  12,  16,  17,  23,  1,  11,  9, 
 5, 0b01110, 0b00010, 0b10011, 0b11101, 0b10010, 0b00000, 0b10101, 0b11001, 0b00110, 0b01000, 0b10110, 0b00011, 0b11000, 0b01100, 0b10000, 0b10001, 0b10111, 0b00001, 0b01011, 0b01001, 
