bits,  st_state_1,  st_state_10,  st_state_11,  st_state_12,  st_state_13,  st_state_14,  st_state_15,  st_state_16,  st_state_17,  st_state_18,  st_state_19,  st_state_2,  st_state_20,  st_state_20_n,  st_state_21,  st_state_22,  st_state_23,  st_state_24,  st_state_25,  st_state_26,  st_state_27,  st_state_2_n,  st_state_3,  st_state_4,  st_state_4_n,  st_state_5,  st_state_6,  st_state_7,  st_state_8,  st_state_9, 
 9,  370,  176,  224,  258,  289,  56,  488,  128,  209,  349,  304,  158,  65,  57,  0,  325,  129,  6,  139,  256,  137,  32,  22,  480,  64,  132,  4,  264,  419,  8, 
 9, 0b101110010, 0b010110000, 0b011100000, 0b100000010, 0b100100001, 0b000111000, 0b111101000, 0b010000000, 0b011010001, 0b101011101, 0b100110000, 0b010011110, 0b001000001, 0b000111001, 0b000000000, 0b101000101, 0b010000001, 0b000000110, 0b010001011, 0b100000000, 0b010001001, 0b000100000, 0b000010110, 0b111100000, 0b001000000, 0b010000100, 0b000000100, 0b100001000, 0b110100011, 0b000001000, 
 8,  177,  5,  131,  189,  135,  17,  36,  160,  16,  128,  132,  2,  194,  129,  13,  148,  50,  32,  169,  136,  64,  4,  102,  195,  41,  9,  49,  99,  20,  203, 
 8, 0b10110001, 0b00000101, 0b10000011, 0b10111101, 0b10000111, 0b00010001, 0b00100100, 0b10100000, 0b00010000, 0b10000000, 0b10000100, 0b00000010, 0b11000010, 0b10000001, 0b00001101, 0b10010100, 0b00110010, 0b00100000, 0b10101001, 0b10001000, 0b01000000, 0b00000100, 0b01100110, 0b11000011, 0b00101001, 0b00001001, 0b00110001, 0b01100011, 0b00010100, 0b11001011, 
 7,  7,  5,  80,  9,  48,  32,  58,  1,  111,  98,  41,  19,  106,  21,  97,  66,  44,  14,  68,  96,  25,  4,  3,  0,  60,  71,  18,  40,  102,  52, 
 7, 0b0000111, 0b0000101, 0b1010000, 0b0001001, 0b0110000, 0b0100000, 0b0111010, 0b0000001, 0b1101111, 0b1100010, 0b0101001, 0b0010011, 0b1101010, 0b0010101, 0b1100001, 0b1000010, 0b0101100, 0b0001110, 0b1000100, 0b1100000, 0b0011001, 0b0000100, 0b0000011, 0b0000000, 0b0111100, 0b1000111, 0b0010010, 0b0101000, 0b1100110, 0b0110100, 
 6,  4,  25,  0,  45,  18,  8,  21,  40,  19,  38,  48,  33,  29,  41,  20,  34,  6,  3,  50,  39,  12,  1,  9,  54,  17,  31,  53,  7,  2,  14, 
 6, 0b000100, 0b011001, 0b000000, 0b101101, 0b010010, 0b001000, 0b010101, 0b101000, 0b010011, 0b100110, 0b110000, 0b100001, 0b011101, 0b101001, 0b010100, 0b100010, 0b000110, 0b000011, 0b110010, 0b100111, 0b001100, 0b000001, 0b001001, 0b110110, 0b010001, 0b011111, 0b110101, 0b000111, 0b000010, 0b001110, 
 5,  11,  13,  29,  3,  18,  12,  5,  0,  1,  15,  19,  10,  8,  17,  4,  22,  2,  23,  25,  9,  6,  14,  28,  30,  16,  24,  20,  26,  31,  7, 
 5, 0b01011, 0b01101, 0b11101, 0b00011, 0b10010, 0b01100, 0b00101, 0b00000, 0b00001, 0b01111, 0b10011, 0b01010, 0b01000, 0b10001, 0b00100, 0b10110, 0b00010, 0b10111, 0b11001, 0b01001, 0b00110, 0b01110, 0b11100, 0b11110, 0b10000, 0b11000, 0b10100, 0b11010, 0b11111, 0b00111, 
